	Simplified Flow Sheet of Clinker and Cement Manufacture........................................ 2-2 2-2. Labor Costs per Metric Ton of Cement	Current Employment Statistics (National): Customizable Data Tables” Available at As obtained on	Consumer Price Index All Items – U.S. City Average Data: Customizable Data Tables.” Available at As obtained on	Cement Association.	Cement Association. 2008b. “Market Research: Producer Price Indices—Competitive Building Materials.” Available at	Cement Association (PCA).	Department of Commerce, Bureau of the Census.	DC: Government Printing Office. Available at As obtained on	the Census.	DC: Government Printing Office. Available at As obtained on	Optimal Tariffs and Market Power: The Evidence.” American Economic Review 98(5):2032-2065.	Estimating Particulate MatterMortality Dose-Response Curves and Threshold Levels: An Analysis of Daily TimeSeries for the 20 Largest	A Micro-Econometric Model of Capital Utilization and Retirement: The Case of the U.S.	D&B Million Dollar Directory.	Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between	Multimarket Contact and Pricing: Evidence from the U.S.	Historical Statistics for Mineral and Material Commodities in the United States: Cement End Use Statistics.” U.S. Geological Survey Data Series 140, Version 1.2. Available at	Historical Statistics for Mineral and Material Commodities in the United States: Cement Supply and	Reanalysis of the Harvard Six Cities Study and the American Cancer Society Study of Particulate Air Pollution and Mortality. Special Report to the Health Effects Institute.	Reduction in Fine Particulate Air Pollution and Mortality.”	Estimating the Public Health Benefits of Proposed Air Pollution Regulations.	Price and Seller Concentration in Cement: Effective Oligopoly or	Circular A-4: Regulatory Analysis.	Invited Commentary: Particulate Matter-Mortality Exposure-Response Relations and Thresholds.”	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	U.S. and Canadian Portland Cement Industry: Plant Information Summary.	U.S. and Canadian Labor-Energy Input Survey	Flash Report: Capacity Expansion Update.” Available at < http://www.cement.org/econ/pdf/NONMEMBERCapacity Expansion.pdf>. As obtained on	Association (PCA). 2008a. “Cement and Concrete Basics: History & Manufacture of Portland Cement.” Available at concretebasics_history.asp>.	Association (PCA). 2008b. “Market Research: Producer Price Indices— Competitive Building Materials.” Available at	Association (PCA).	Cement Plant Operating Cost Study.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci.	Air Pollution and Cause-Specific Mortality in Milan, Italy, 1980–1989.” Arch Environ Health	The Cost of Environmental Regulation in a Concentrated Industry.” Available at	The Concentration-Response Relation between PM(2.5) and Daily Deaths.” Environ Health Perspectives	The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival.” Environmental Health Perspectives	Using Meta-Smoothing to Estimate Dose-Response Trends Across Multiple Studies, with Application to Air Pollution and Daily Death.”	Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix,	of the Census.	of the Census.	of the Census; generated by RTI International; using American FactFinder; “Sector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Department of Commerce, Bureau of Economic Analysis.	Department of Energy, Energy Information Administration.	Department of Energy, Energy Information Administration.	Department of Energy, Energy Information Administration.	Department of Energy, Energy Information Administration.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey. 2008b. Minerals Commodity Summaries, Cement	Current Employment Statistics (National): Customizable Data Tables.” Available at As obtained on	Statistics (BLS). 2007b. “State and Area Employment, Hours and Earnings	Consumer Price Index All Items – U.S. City Average Data: Customizable Data Tables.” Available at As obtained on	Regulatory Impact Analysis of Cement Kiln Dust Rulemaking. Appendix C,	Environmental Protection Agency (EPA).	Environmental Protection Agency (EPA).	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Environmental Protection Agency Science Advisory	Environmental Protection Agency Science Advisory	Advisory on Plans for Health Effects Analysis for EPA’s Second Prospective Analysis— Benefits and Costs of the Clean Air Act,	Environmental Protection Agency Science Advisory	Environmental Protection Agency Science Advisory	International Trade Commission (USITC). 2006. Gray Portland Cement and Cement Clinker from Japan Investigation No. 731-TA-461 (Second Review). Publication 3856. Available at	Trade Commission.	Cement Manufacture and the Environment Part I: Chemistry and	Microeconomic Analysis. 3rd Ed.
2004 Minerals Yearbook, Cement	0.5151515151515151	0.6486486486486487	0.6666666666666667	0.5652173913043479	0.5526315789473684	0.6153846153846154	0.6071428571428572	0.59375	0.7391304347826086	0.59375	0.6590909090909092	0.6153846153846154	0.6285714285714286	0.6153846153846154	0.6470588235294117	0.6060606060606061	0.55	0.5806451612903225	0.6486486486486487	0.6666666666666667	0.6470588235294117	0.65625	0.5862068965517242	0.6486486486486487	0.6	0.6	0.696969696969697	0.6818181818181819	0.6190476190476191	0.575	0.6923076923076923	0.6	0.641025641025641	0.6585365853658536	0.6285714285714286	0.641025641025641	0.6842105263157895	0.6666666666666667	0.59375	0.7083333333333333	0.7083333333333333	0.6585365853658536	0.5666666666666667	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.5277777777777778	0.6578947368421053	0.5945945945945945	0.6666666666666667	0.5882352941176471	0.6666666666666667	0.6666666666666667	0.6428571428571428	0.6428571428571428	0.6470588235294117	0.6206896551724138	0.6206896551724138	0.6571428571428571	0.6206896551724138	0.6206896551724138	0.653061224489796	0.5652173913043479	0.6129032258064516	0.5925925925925926
2005 Annual Survey of Manufactures	0.5588235294117647	0.5714285714285714	0.5945945945945945	0.625	0.5897435897435898	0.6666666666666667	0.6071428571428572	0.59375	0.7391304347826086	0.59375	0.5952380952380952	0.4571428571428572	0.5882352941176471	0.56	0.6060606060606061	0.5625	0.5128205128205128	0.48275862068965514	0.48484848484848486	0.5185185185185186	0.6060606060606061	0.5666666666666667	0.5357142857142857	0.6111111111111112	0.6	0.5517241379310345	0.65625	0.6511627906976745	0.55	0.6097560975609756	0.6923076923076923	0.6	0.5277777777777778	0.5135135135135135	0.5454545454545454	0.6052631578947368	0.5714285714285714	0.5945945945945945	0.59375	0.6521739130434783	0.6521739130434783	0.5526315789473684	0.5172413793103448	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.5483870967741935	0.48571428571428577	0.5833333333333333	0.5555555555555556	0.5945945945945945	0.5882352941176471	0.5714285714285714	0.5714285714285714	0.5384615384615384	0.5384615384615384	0.4666666666666667	0.46153846153846156	0.46153846153846156	0.53125	0.46153846153846156	0.46153846153846156	0.5957446808510638	0.7307692307692308	0.5172413793103448	0.5384615384615384
2005 Minerals Yearbook, Cement	0.5151515151515151	0.6486486486486487	0.6666666666666667	0.5652173913043479	0.5526315789473684	0.6153846153846154	0.6071428571428572	0.59375	0.7391304347826086	0.59375	0.627906976744186	0.6153846153846154	0.6285714285714286	0.6153846153846154	0.6470588235294117	0.6060606060606061	0.5853658536585367	0.5806451612903225	0.6486486486486487	0.6666666666666667	0.6470588235294117	0.65625	0.6333333333333333	0.6486486486486487	0.6	0.6	0.696969696969697	0.6818181818181819	0.6190476190476191	0.575	0.6923076923076923	0.6	0.641025641025641	0.6585365853658536	0.6285714285714286	0.6052631578947368	0.6842105263157895	0.6666666666666667	0.59375	0.7083333333333333	0.7083333333333333	0.6585365853658536	0.5666666666666667	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.5277777777777778	0.6578947368421053	0.5945945945945945	0.6666666666666667	0.5882352941176471	0.6666666666666667	0.6666666666666667	0.6428571428571428	0.6428571428571428	0.6470588235294117	0.6206896551724138	0.6206896551724138	0.6571428571428571	0.6206896551724138	0.6206896551724138	0.653061224489796	0.5652173913043479	0.6129032258064516	0.5925925925925926
2005 Minerals Yearbook,Cement	0.5151515151515151	0.6486486486486487	0.6666666666666667	0.5652173913043479	0.5526315789473684	0.6153846153846154	0.6071428571428572	0.59375	0.7391304347826086	0.59375	0.627906976744186	0.6153846153846154	0.6285714285714286	0.6153846153846154	0.6470588235294117	0.6060606060606061	0.5853658536585367	0.5806451612903225	0.6486486486486487	0.6666666666666667	0.6470588235294117	0.65625	0.6333333333333333	0.6486486486486487	0.6	0.6	0.696969696969697	0.6818181818181819	0.6190476190476191	0.575	0.6923076923076923	0.6	0.641025641025641	0.6585365853658536	0.6285714285714286	0.6052631578947368	0.6842105263157895	0.6666666666666667	0.59375	0.7083333333333333	0.7083333333333333	0.6585365853658536	0.5666666666666667	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.6333333333333333	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.6764705882352942	0.5277777777777778	0.6578947368421053	0.5945945945945945	0.6666666666666667	0.5882352941176471	0.6666666666666667	0.6666666666666667	0.6428571428571428	0.6428571428571428	0.6470588235294117	0.6206896551724138	0.6206896551724138	0.6571428571428571	0.6206896551724138	0.6206896551724138	0.653061224489796	0.5652173913043479	0.6129032258064516	0.5925925925925926
2006 Minerals Yearbook,Crushed Stone	0.4242424242424242	0.6052631578947368	0.625	0.6666666666666667	0.5128205128205128	0.7	0.6	0.6285714285714286	0.6666666666666667	0.6285714285714286	0.6222222222222222	0.5384615384615384	0.5833333333333333	0.6551724137931034	0.6	0.5151515151515151	0.5121951219512195	0.4838709677419355	0.5675675675675675	0.6129032258064516	0.6	0.6470588235294117	0.625	0.6052631578947368	0.5945945945945945	0.5483870967741935	0.6060606060606061	0.6739130434782609	0.5813953488372092	0.5365853658536586	0.7241379310344828	0.5483870967741935	0.5641025641025641	0.55	0.5833333333333333	0.6	0.6052631578947368	0.5897435897435898	0.5454545454545454	0.64	0.64	0.5853658536585367	0.6060606060606061	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6666666666666667	0.6285714285714286	0.6285714285714286	0.6285714285714286	0.6285714285714286	0.6285714285714286	0.6285714285714286	0.6285714285714286	0.6285714285714286	0.6285714285714286	0.4444444444444444	0.6153846153846154	0.5526315789473684	0.625	0.5833333333333333	0.7352941176470589	0.7352941176470589	0.71875	0.71875	0.6	0.6129032258064516	0.6129032258064516	0.5714285714285714	0.6129032258064516	0.6129032258064516	0.62	0.6153846153846154	0.5625	0.6333333333333333
Advisory on Plans for Health Effects Analysis for EPA�s Second Prospective Analysis�Benefits and Costs of the Clean Air Act, 1990�2020	0.5714285714285714	1.0	1.0	0.6666666666666667	1.0	0.6571428571428571	0.5714285714285714	0.5641025641025641	0.7878787878787878	0.5641025641025641	1.0	0.41463414634146345	0.525	0.6571428571428571	0.5	0.5384615384615384	1.0	0.4722222222222222	0.39473684210526316	1.0	0.45945945945945943	0.4571428571428572	0.631578947368421	1.0	1.0	0.5675675675675675	0.6153846153846154	1.0	1.0	1.0	0.6764705882352942	1.0	0.47619047619047616	1.0	1.0	1.0	1.0	1.0	0.4444444444444444	0.7272727272727273	0.7272727272727273	1.0	0.4571428571428572	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.5641025641025641	0.5641025641025641	0.5641025641025641	0.5641025641025641	0.5641025641025641	0.5641025641025641	0.5641025641025641	0.5641025641025641	0.5641025641025641	0.47619047619047616	1.0	1.0	1.0	0.5609756097560976	0.5833333333333333	0.5833333333333333	0.5588235294117647	0.5588235294117647	0.45945945945945943	0.4545454545454546	0.4545454545454546	1.0	0.4545454545454546	0.4545454545454546	0.5740740740740741	0.7058823529411764	0.5	0.6
Annual Energy Outlook 2008	0.6944444444444444	0.6666666666666667	0.6842105263157895	0.7083333333333333	0.6052631578947368	0.7407407407407407	0.7241379310344828	0.65625	0.7727272727272727	0.65625	0.6428571428571428	0.5945945945945945	0.7222222222222222	0.64	0.625	0.625	0.6341463414634146	0.6875	0.6666666666666667	0.5925925925925926	0.625	0.5862068965517242	0.5555555555555556	0.7027027027027026	0.6176470588235294	0.6666666666666667	0.6333333333333333	0.6976744186046512	0.6666666666666667	0.625	0.7692307692307692	0.5714285714285714	0.6578947368421053	0.641025641025641	0.6060606060606061	0.725	0.6666666666666667	0.6486486486486487	0.696969696969697	0.7391304347826086	0.7391304347826086	0.7073170731707317	0.5862068965517242	0.6071428571428572	0.6071428571428572	0.6071428571428572	0.6071428571428572	0.65625	0.65625	0.65625	0.65625	0.65625	0.65625	0.65625	0.65625	0.65625	0.6216216216216216	0.6756756756756757	0.5714285714285714	0.6842105263157895	0.6060606060606061	0.5384615384615384	0.5384615384615384	0.5	0.5	0.5333333333333333	0.5384615384615384	0.5384615384615384	0.6764705882352942	0.5384615384615384	0.5384615384615384	0.6666666666666667	0.76	0.6774193548387097	0.6153846153846154
Annual Energy Outlook 2009	0.6944444444444444	0.6666666666666667	0.6842105263157895	0.7083333333333333	0.641025641025641	0.7407407407407407	0.7241379310344828	0.65625	0.7727272727272727	0.65625	0.6428571428571428	0.5945945945945945	0.7222222222222222	0.64	0.625	0.625	0.6341463414634146	0.6875	0.6666666666666667	0.5925925925925926	0.625	0.5862068965517242	0.5555555555555556	0.7027027027027026	0.6176470588235294	0.6666666666666667	0.6333333333333333	0.6976744186046512	0.6976744186046512	0.6585365853658536	0.7692307692307692	0.5714285714285714	0.6578947368421053	0.641025641025641	0.6060606060606061	0.725	0.6666666666666667	0.6486486486486487	0.696969696969697	0.7391304347826086	0.7391304347826086	0.7073170731707317	0.5862068965517242	0.6071428571428572	0.6071428571428572	0.6071428571428572	0.6071428571428572	0.65625	0.65625	0.65625	0.65625	0.65625	0.65625	0.65625	0.65625	0.65625	0.6578947368421053	0.6756756756756757	0.5714285714285714	0.6842105263157895	0.6060606060606061	0.5384615384615384	0.5384615384615384	0.5	0.5	0.5333333333333333	0.5384615384615384	0.5384615384615384	0.6764705882352942	0.5384615384615384	0.5384615384615384	0.6938775510204082	0.76	0.6774193548387097	0.6153846153846154
Characterizing Uncertainty in Particulate Matter Benefits Using Expert Elicitation	0.5405405405405406	0.5526315789473684	0.5	0.6428571428571428	0.5365853658536586	0.6333333333333333	0.48275862068965514	0.5714285714285714	0.6923076923076923	0.5714285714285714	0.6382978723404256	0.4473684210526315	0.4411764705882353	0.5357142857142857	0.3548387096774194	0.40625	0.5348837209302326	0.3666666666666667	0.38235294117647056	0.5483870967741935	0.40625	0.4516129032258065	0.5161290322580645	0.4285714285714286	0.4117647058823529	0.4838709677419355	0.5454545454545454	0.46341463414634143	0.5348837209302326	0.5581395348837209	0.6551724137931034	0.4838709677419355	0.34285714285714286	0.5	0.48571428571428577	0.55	0.5135135135135135	0.45945945945945943	0.33333333333333337	0.6153846153846154	0.6153846153846154	0.5365853658536586	0.4	0.5625	0.5625	0.5625	0.5625	0.48484848484848486	0.48484848484848486	0.48484848484848486	0.48484848484848486	0.48484848484848486	0.48484848484848486	0.48484848484848486	0.48484848484848486	0.48484848484848486	0.4736842105263158	0.5641025641025641	0.575	0.5	0.48571428571428577	0.5483870967741935	0.5483870967741935	0.5172413793103448	0.5172413793103448	0.5	0.5	0.5	0.4242424242424242	0.5	0.5	0.6346153846153846	0.6896551724137931	0.4	0.5666666666666667
Circular A-4: Regulatory Analysis	0.6	0.5294117647058824	0.5142857142857142	0.5	0.5526315789473684	0.56	0.6071428571428572	0.5	0.6818181818181819	0.5	0.6590909090909092	0.4571428571428572	0.5	0.56	0.4666666666666667	0.5625	0.55	0.48275862068965514	0.5294117647058824	0.46153846153846156	0.5161290322580645	0.5172413793103448	0.04761904761904767	0.48484848484848486	0.46875	0.5	0.5666666666666667	0.5853658536585367	0.6190476190476191	0.575	0.5833333333333333	0.5	0.5675675675675675	0.5897435897435898	0.4516129032258065	0.6052631578947368	0.6111111111111112	0.5142857142857142	0.59375	0.6521739130434783	0.6521739130434783	0.5135135135135135	0.4642857142857143	0.5862068965517242	0.5862068965517242	0.5862068965517242	0.5862068965517242	0.59375	0.59375	0.59375	0.59375	0.59375	0.59375	0.59375	0.59375	0.59375	0.6052631578947368	0.5428571428571429	0.5945945945945945	0.5142857142857142	0.4516129032258065	0.5185185185185186	0.5185185185185186	0.48	0.48	0.5161290322580645	0.46153846153846156	0.46153846153846156	0.5757575757575757	0.46153846153846156	0.46153846153846156	0.5957446808510638	0.625	0.5172413793103448	0.5384615384615384
Consumer Price Index All Items � U.S. City Average Data: Customizable Data Tables	0.5365853658536586	1.0	1.0	0.5806451612903225	1.0	0.5757575757575757	0.6111111111111112	0.3529411764705882	0.75	0.3529411764705882	1.0	0.41463414634146345	0.4473684210526315	0.6176470588235294	0.5384615384615384	0.41666666666666663	1.0	0.4722222222222222	0.39473684210526316	1.0	0.5	0.4571428571428572	0.47058823529411764	1.0	1.0	0.34375	0.4571428571428572	1.0	1.0	1.0	0.6363636363636364	1.0	0.3157894736842105	1.0	1.0	1.0	1.0	1.0	0.5263157894736843	0.7272727272727273	0.7272727272727273	1.0	0.5	0.5142857142857142	0.5142857142857142	0.5142857142857142	0.5142857142857142	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4444444444444444	0.4	1.0	1.0	1.0	0.4054054054054054	0.5	0.5	0.46875	0.46875	0.41666666666666663	0.40625	0.40625	1.0	0.40625	0.40625	0.4901960784313726	0.5806451612903225	0.4571428571428572	0.5588235294117647
Current Employment Statistics (National): Customizable Data Tables	0.5135135135135135	0.1333333333333333	0.43243243243243246	0.6071428571428572	0.6136363636363636	0.5517241379310345	0.5483870967741935	0.5428571428571429	0.75	0.5428571428571429	0.6170212765957447	0.46153846153846156	0.4571428571428572	0.6	0.5555555555555556	0.5555555555555556	0.5454545454545454	0.4375	0.5263157894736843	0.6470588235294117	0.5555555555555556	0.46875	0.53125	0.4864864864864865	0.5526315789473684	0.5	0.5588235294117647	0.5777777777777777	0.5454545454545454	0.5681818181818181	0.6206896551724138	0.5	0.525	0.6136363636363636	0.5	0.4871794871794872	0.4864864864864865	0.5128205128205128	0.5	0.7241379310344828	0.7241379310344828	0.5121951219512195	0.4193548387096774	0.5757575757575757	0.5757575757575757	0.5757575757575757	0.5757575757575757	0.5428571428571429	0.5428571428571429	0.5428571428571429	0.5428571428571429	0.5428571428571429	0.5428571428571429	0.5428571428571429	0.5428571428571429	0.5428571428571429	0.525	0.16129032258064513	0.4736842105263158	0.43243243243243246	0.5405405405405406	0.5161290322580645	0.5161290322580645	0.5806451612903225	0.5806451612903225	0.5555555555555556	0.5161290322580645	0.5161290322580645	0.5675675675675675	0.5161290322580645	0.5161290322580645	0.56	0.6071428571428572	0.5151515151515151	0.5806451612903225
Current-Dollar and �Real� Gross Domestic Product	0.5428571428571429	1.0	1.0	0.5416666666666667	1.0	0.5384615384615384	0.5357142857142857	0.43333333333333335	0.7083333333333333	0.43333333333333335	1.0	0.4864864864864865	0.5294117647058824	0.5925925925925926	0.5	0.5454545454545454	1.0	0.5161290322580645	0.5142857142857142	1.0	0.5	0.5483870967741935	0.4642857142857143	1.0	1.0	0.48275862068965514	0.6363636363636364	1.0	1.0	1.0	0.6153846153846154	1.0	0.5897435897435898	1.0	1.0	1.0	1.0	1.0	0.53125	0.6799999999999999	0.6799999999999999	1.0	0.5	0.6129032258064516	0.6129032258064516	0.6129032258064516	0.6129032258064516	0.5757575757575757	0.5757575757575757	0.5757575757575757	0.5757575757575757	0.5757575757575757	0.5757575757575757	0.5757575757575757	0.5757575757575757	0.5757575757575757	0.5526315789473684	1.0	1.0	1.0	0.48484848484848486	0.6	0.6	0.5714285714285714	0.5714285714285714	0.5454545454545454	0.5	0.5	1.0	0.5	0.5	0.6122448979591837	0.5416666666666667	0.5	0.5714285714285714
Economic Analysis of Air Pollution Regulations: Portland Cement, Final Report	0.5135135135135135	0.4444444444444444	0.4736842105263158	0.5555555555555556	0.475	0.5517241379310345	0.5	0.40625	0.75	0.40625	0.5555555555555556	0.33333333333333337	0.4117647058823529	0.6451612903225806	0.32258064516129037	0.4242424242424242	0.47619047619047616	0.3870967741935484	0.3529411764705882	0.4137931034482759	0.32258064516129037	0.31034482758620685	0.3793103448275862	0.4	0.28125	0.4	0.5588235294117647	0.4390243902439024	0.5116279069767442	0.5	0.6206896551724138	0.4	0.36111111111111116	0.475	0.36363636363636365	0.5609756097560976	0.4444444444444444	0.38888888888888884	0.3548387096774194	0.6785714285714286	0.6785714285714286	0.39473684210526316	0.31034482758620685	0.3793103448275862	0.3793103448275862	0.3793103448275862	0.3793103448275862	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.4871794871794872	0.45945945945945943	0.4736842105263158	0.4736842105263158	0.3125	0.4666666666666667	0.4666666666666667	0.4285714285714286	0.4285714285714286	0.32258064516129037	0.3571428571428571	0.3571428571428571	0.3939393939393939	0.3571428571428571	0.3571428571428571	0.56	0.6071428571428572	0.3666666666666667	0.48275862068965514
Economic Analysis Resource Document	0.6176470588235294	0.4516129032258065	0.5294117647058824	0.44999999999999996	0.6052631578947368	0.5217391304347826	0.52	0.5172413793103448	0.7142857142857143	0.5172413793103448	0.6428571428571428	0.47058823529411764	0.5161290322580645	0.4545454545454546	0.4285714285714286	0.5806451612903225	0.5641025641025641	0.5	0.4516129032258065	0.41666666666666663	0.4285714285714286	0.5357142857142857	0.375	0.5	0.4838709677419355	0.5185185185185186	0.6333333333333333	0.6	0.6341463414634146	0.625	0.6086956521739131	0.5185185185185186	0.5428571428571429	0.6052631578947368	0.4137931034482759	0.5833333333333333	0.5	0.4375	0.5172413793103448	0.6818181818181819	0.6818181818181819	0.5675675675675675	0.29166666666666663	0.43999999999999995	0.43999999999999995	0.43999999999999995	0.43999999999999995	0.5172413793103448	0.5172413793103448	0.5172413793103448	0.5172413793103448	0.5172413793103448	0.5172413793103448	0.5172413793103448	0.5172413793103448	0.5172413793103448	0.5833333333333333	0.46875	0.5294117647058824	0.5294117647058824	0.4137931034482759	0.41666666666666663	0.41666666666666663	0.36363636363636365	0.36363636363636365	0.4285714285714286	0.34782608695652173	0.34782608695652173	0.5483870967741935	0.34782608695652173	0.34782608695652173	0.6666666666666667	0.5909090909090908	0.4814814814814815	0.36363636363636365
EPA�s Review of the National Ambient Air Quality Standards for Particulate Matter (Second Draft PM Staff Paper, January 2005)	0.5111111111111111	1.0	1.0	0.725	1.0	0.65	0.6097560975609756	0.5681818181818181	0.825	0.5681818181818181	1.0	0.36363636363636365	0.5333333333333333	0.6829268292682926	0.47619047619047616	0.5454545454545454	1.0	0.5238095238095238	0.41860465116279066	1.0	0.47619047619047616	0.5476190476190477	0.6590909090909092	1.0	1.0	0.6046511627906976	0.6444444444444444	1.0	1.0	1.0	0.7	1.0	0.4222222222222223	1.0	1.0	1.0	1.0	1.0	0.5	0.775	0.775	1.0	0.5121951219512195	0.5609756097560976	0.5609756097560976	0.5609756097560976	0.5609756097560976	0.5348837209302326	0.5348837209302326	0.5348837209302326	0.5348837209302326	0.5348837209302326	0.5348837209302326	0.5348837209302326	0.5348837209302326	0.5348837209302326	0.4222222222222223	1.0	1.0	1.0	0.5333333333333333	0.55	0.55	0.6	0.6	0.4390243902439024	0.5128205128205128	0.5128205128205128	1.0	0.5128205128205128	0.5128205128205128	0.41509433962264153	0.7560975609756098	0.5121951219512195	0.6
Final Regulatory Analysis: Control of Emissions from Nonroad Diesel Engines	0.5675675675675675	0.4117647058823529	0.4864864864864865	0.5769230769230769	0.5609756097560976	0.6206896551724138	0.5666666666666667	0.4193548387096774	0.7307692307692308	0.4193548387096774	0.6304347826086957	0.38888888888888884	0.47058823529411764	0.6206896551724138	0.3870967741935484	0.48484848484848486	0.4878048780487805	0.4516129032258065	0.4571428571428572	0.48275862068965514	0.4375	0.43333333333333335	0.3928571428571429	0.5	0.4411764705882353	0.4137931034482759	0.5757575757575757	0.44999999999999996	0.5909090909090908	0.5813953488372092	0.6896551724137931	0.4666666666666667	0.45945945945945943	0.5952380952380952	0.375	0.6097560975609756	0.5	0.4864864864864865	0.46875	0.6538461538461539	0.6538461538461539	0.4473684210526315	0.3793103448275862	0.3928571428571429	0.3928571428571429	0.3928571428571429	0.3928571428571429	0.5588235294117647	0.5588235294117647	0.5588235294117647	0.5588235294117647	0.5588235294117647	0.5588235294117647	0.5588235294117647	0.5588235294117647	0.5588235294117647	0.5384615384615384	0.4285714285714286	0.5641025641025641	0.4864864864864865	0.375	0.5333333333333333	0.5333333333333333	0.5	0.5	0.4375	0.4285714285714286	0.4285714285714286	0.5428571428571429	0.4285714285714286	0.4285714285714286	0.6	0.5769230769230769	0.43333333333333335	0.5
Gray Portland Cement and Cement Clinker from Japan Investigation No. 731-TA-461 (Second Review)	0.5217391304347826	0.5	0.5208333333333333	0.6666666666666667	0.5490196078431373	0.5897435897435898	0.6818181818181819	0.5116279069767442	0.8292682926829268	0.5116279069767442	0.43999999999999995	0.47916666666666663	0.5111111111111111	0.7209302325581395	0.5227272727272727	0.5555555555555556	0.5471698113207547	0.6	0.4666666666666667	0.627906976744186	0.5555555555555556	0.5238095238095238	0.5365853658536586	0.5	0.5531914893617021	0.5476190476190477	0.5909090909090908	0.5471698113207547	0.5740740740740741	0.5098039215686274	0.641025641025641	0.5476190476190477	0.46808510638297873	0.52	0.4772727272727273	0.5	0.5	0.4893617021276596	0.6086956521739131	0.7804878048780488	0.7804878048780488	0.42553191489361697	0.5909090909090908	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.5714285714285714	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.5306122448979591	0.4782608695652174	0.5510204081632653	0.5208333333333333	0.4772727272727273	0.525	0.525	0.575	0.575	0.5227272727272727	0.525	0.525	0.5652173913043479	0.525	0.525	0.15217391304347827	0.6666666666666667	0.5909090909090908	0.6097560975609756
Guidelines for Preparing Economic Analyses	0.5714285714285714	0.5	0.5277777777777778	0.5833333333333333	0.5641025641025641	0.5769230769230769	0.5714285714285714	0.4137931034482759	0.8	0.4137931034482759	0.6046511627906976	0.4285714285714286	0.5151515151515151	0.6296296296296297	0.3793103448275862	0.4838709677419355	0.525	0.4482758620689655	0.40625	0.4814814814814815	0.3214285714285714	0.37037037037037035	0.5	0.5	0.3870967741935484	0.4642857142857143	0.5806451612903225	0.5609756097560976	0.5609756097560976	0.5853658536585367	0.6538461538461539	0.40740740740740744	0.4117647058823529	0.5263157894736843	0.4193548387096774	0.6153846153846154	0.40625	0.4411764705882353	0.4666666666666667	0.72	0.72	0.4864864864864865	0.37037037037037035	0.3846153846153846	0.3846153846153846	0.3846153846153846	0.3846153846153846	0.4666666666666667	0.4666666666666667	0.4666666666666667	0.4666666666666667	0.4666666666666667	0.4666666666666667	0.4666666666666667	0.4666666666666667	0.4666666666666667	0.5	0.5142857142857142	0.48571428571428577	0.5277777777777778	0.4193548387096774	0.42307692307692313	0.42307692307692313	0.375	0.375	0.3214285714285714	0.29166666666666663	0.29166666666666663	0.4516129032258065	0.29166666666666663	0.29166666666666663	0.574468085106383	0.5833333333333333	0.4285714285714286	0.375
