	Clash in Alabama Over Tennessee Coal Ash,‚Äù The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of ‚ÄúAttachment A: Guidance for Implementing the Federalism 1% Test‚Äù to EPA‚Äôs Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA‚Äôs
ACAA webpage containing Frequently Asked Question	0.4042553191489362	0.21739130434782605	0.21739130434782605	0.37142857142857144	0.4666666666666667	0.33333333333333337	0.38235294117647056	0.4418604651162791	0.4347826086956522	0.4444444444444444	0.33333333333333337	0.3846153846153846
ACAA’s 2005 beneficial use data	1.0	0.46341463414634143	0.46341463414634143	0.5384615384615384	1.0	0.34883720930232553	1.0	0.42105263157894735	0.46341463414634143	0.4285714285714286	0.44999999999999996	1.0
ACAA’s annual CCR tonnage data	1.0	0.45945945945945943	0.45945945945945943	0.540983606557377	1.0	0.3846153846153846	1.0	0.47058823529411764	0.45945945945945943	0.5111111111111111	0.4444444444444444	1.0
Annual CCR Disposition for NAICS 22 Electric Utility Plants >100 MW Capacity (tons per year as of 2005)	0.5789473684210527	0.5	0.5	0.4	0.3647058823529412	0.4482758620689655	0.4358974358974359	0.4716981132075472	0.5	0.53125	0.4181818181818182	0.33333333333333337
ASTM D5396 - 04 Standard Specification for Reclaimed Perchloroethylene	0.5471698113207547	0.34615384615384615	0.34615384615384615	0.3421052631578947	0.3827160493827161	0.4444444444444444	0.45945945945945943	0.3877551020408163	0.42307692307692313	0.4	0.4117647058823529	0.295774647887324
ASTM Volume 15.05, Engine Coolants, Halogenated Organic Solvents and Fire Extinguishing Agents; Industrial and Specialty Chemicals	0.43333333333333335	0.423728813559322	0.38983050847457623	0.2530120481927711	0.31818181818181823	0.34426229508196726	0.3580246913580247	0.3928571428571429	0.35593220338983056	0.4029850746268657	0.3793103448275862	0.28205128205128205
avoided disposal cost incentive	0.5	0.3142857142857143	0.3142857142857143	0.5593220338983051	0.59375	0.29729729729729726	0.543859649122807	0.25	0.3142857142857143	0.4418604651162791	0.2941176470588235	0.5555555555555556
Better, Safer Ways to Handle Coal Slurry Do Exist	0.5217391304347826	0.4666666666666667	0.4222222222222223	0.42028985507246375	0.4864864864864865	0.44680851063829785	0.5223880597014925	0.47619047619047616	0.4666666666666667	0.5094339622641509	0.36363636363636365	0.46875
Biographical Directory of the US Congress	0.5	0.3023255813953488	0.2558139534883721	0.4328358208955224	0.5	0.4222222222222223	0.5076923076923077	0.4	0.34883720930232553	0.4509803921568627	0.23809523809523814	0.4193548387096774
CalStar Gives Sneak Peek of Low-Carbon Brick Factory	0.41666666666666663	0.276595744680851	0.276595744680851	0.3802816901408451	0.4473684210526315	0.5102040816326531	0.4492753623188406	0.40909090909090906	0.44680851063829785	0.4181818181818182	0.30434782608695654	0.4242424242424242
Coal Combustion Products -- Production & Use Statistics	0.4545454545454546	0.2558139534883721	0.2558139534883721	0.4328358208955224	0.4722222222222222	0.37777777777777777	0.5076923076923077	0.30000000000000004	0.34883720930232553	0.33333333333333337	0.33333333333333337	0.3870967741935484
Electric Utility Regulation	0.5897435897435898	0.368421052631579	0.368421052631579	0.5161290322580645	0.5522388059701493	0.4	0.5333333333333333	0.4285714285714286	0.42105263157894735	0.4782608695652174	0.29729729729729726	0.4736842105263158
Hazardous Waste Industry Review 2008-2009	0.574468085106383	0.4347826086956522	0.4347826086956522	0.5142857142857142	0.41333333333333333	0.41666666666666663	0.5	0.4418604651162791	0.4782608695652174	0.4444444444444444	0.4666666666666667	0.4461538461538461
Historical CCR beneficial use data for 1966-2008	0.5416666666666667	0.4042553191489362	0.4042553191489362	0.49295774647887325	0.39473684210526316	0.4285714285714286	0.4782608695652174	0.36363636363636365	0.4042553191489362	0.34545454545454546	0.4347826086956522	0.36363636363636365
