	What determines the value of a life? A Meta Analysis,	What determines the value of a life? A Meta Analysis,	IX-17 $6.1 million. The range of this factor also shifts rightwards from 1 to 10 million to $1.6 to $10.6 million. Figure IX-4 Normal Distribution for Cost Per Fatalities (M)	Hyundai Accent 4-door Car	Sentra 4-door Car	Hyundai Azera 4-door Car	Versa 5-door Car	Volkswagen Jetta 4-door Car	Dodge Caliber 4-door Car	Hyundai Sonata 4-door Car	Carlo 2-door Car	Volkswagen New GTI 3-door Car	Five Hundred 4-door Car	Fit 5-door Car	Volkswagen New Beetle 3-door Car	Volvo S80 4-door Car	Toyota Prius 5-door Car	Pontiac G6 4-door Car	Focus 4-door Car	Accord 4-door Car	Mazda Mazda3 4-door Car	BMW 3-Series 4-door Car	Acura RL 4-door Car	Dodge Charger 4-door Car	Kia Spectra 4-door Car	Saturn Ion 4-door Car	BMW 5-Series 4-door Car	Chrysler 300 4-door Car	Buick Lucerne 4-door Car	Infiniti EX35 Stationwagon Car	Hyundai Elantra 4-door Car	Volkswagen Jetta 4-door Car	Chevrolet Aveo 4-door Car	Subaru Legacy 4-door Car	Volkswagen Passat 4-door Car	Toyota Avalon 4-door Car	Cadillac STS 4-door Car	Fusion 4-door Car	Lexus ES 4-door Car	Matrix 5-door Car	Hyundai Santa Fe SUV	Kia Sportage SUV	Toyota RAV4 SUV	Toyota 4Runner SUV	Vitara	Saturn Vue SUV	Expedition EL	Chevrolet 1500 Suburban SUV	Subaru Tribeca SUV	Mazda CX-9 SUV	Cadillac Escalade SUV	Saturn Outlook SUV	Chevrolet 1500 Avalanche SUV 2010 923	Ford E-250 Cargo Van
The Economic Impact of Motor Vehicle Crashes 2000	0.8113207547169812	0.8113207547169812	0.8505747126436781	0.7755102040816326	0.7959183673469388	0.7959183673469388	0.8163265306122449	0.8367346938775511	0.8367346938775511	0.7755102040816326	0.8367346938775511	0.8571428571428571	0.8163265306122449	0.8163265306122449	0.8163265306122449	0.8163265306122449	0.7755102040816326	0.7755102040816326	0.8163265306122449	0.8163265306122449	0.8367346938775511	0.8163265306122449	0.8163265306122449	0.8367346938775511	0.7959183673469388	0.7959183673469388	0.8163265306122449	0.8163265306122449	0.8163265306122449	0.8367346938775511	0.7959183673469388	0.8367346938775511	0.7755102040816326	0.7959183673469388	0.8163265306122449	0.7755102040816326	0.8163265306122449	0.8163265306122449	0.8163265306122449	0.8367346938775511	0.8367346938775511	0.8367346938775511	0.8571428571428571	0.8367346938775511	0.9183673469387755	0.8775510204081632	0.8979591836734694	0.8367346938775511	0.8571428571428571	0.9183673469387755	0.8367346938775511	0.8775510204081632	0.8367346938775511	0.8571428571428571
Light Vehicle Rear Visibility Assessment	0.7735849056603774	0.7735849056603774	0.867816091954023	0.9	0.9	0.9	0.875	0.875	0.85	0.9	0.9	0.9	0.875	0.85	0.875	0.9	0.875	0.875	0.9	0.925	0.9	0.875	0.9	0.85	0.85	0.9	0.875	0.85	0.85	0.9	0.9	0.875	0.85	0.9	0.85	0.875	0.875	0.925	0.875	0.9	0.85	0.875	0.875	0.9	0.9	0.9	0.9	0.825	0.875	0.925	0.825	0.9	0.9	0.85
Not-in-Traffic Surveillance	0.8490566037735849	0.8490566037735849	0.9080459770114943	0.9259259259259259	0.8148148148148148	0.9259259259259259	0.8888888888888888	0.9629629629629629	0.8888888888888888	0.9259259259259259	0.8888888888888888	0.9310344827586207	0.9259259259259259	0.8518518518518519	0.90625	0.8888888888888888	0.8518518518518519	0.8148148148148148	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8518518518518519	0.8518518518518519	0.8888888888888888	0.8518518518518519	0.8888888888888888	0.8888888888888888	0.9259259259259259	0.8333333333333334	0.9259259259259259	0.9629629629629629	0.9259259259259259	0.9259259259259259	0.9285714285714286	0.8518518518518519	0.8888888888888888	0.8888888888888888	0.9259259259259259	0.8148148148148148	0.8148148148148148	0.8518518518518519	0.8888888888888888	0.8518518518518519	0.8518518518518519	0.8148148148148148	0.9259259259259259	0.8888888888888888	0.8518518518518519	0.9259259259259259	0.8518518518518519	0.8518518518518519	0.8378378378378378	0.7777777777777778
S. REP. 110-275 and S. Rep. No. 275	0.8490566037735849	0.8490566037735849	0.9080459770114943	0.8571428571428571	0.8285714285714286	0.8571428571428571	0.8571428571428571	0.8857142857142857	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8857142857142857	0.8285714285714286	0.8571428571428571	0.8857142857142857	0.8285714285714286	0.8571428571428571	0.8285714285714286	0.8571428571428571	0.8571428571428571	0.8285714285714286	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8285714285714286	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8857142857142857	0.8285714285714286	0.8857142857142857	0.8857142857142857	0.8285714285714286	0.8857142857142857	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.8285714285714286	0.8857142857142857	0.8857142857142857	0.8857142857142857	0.9714285714285714	0.8571428571428571	0.8857142857142857	0.8857142857142857	0.8571428571428571	0.8857142857142857	0.8857142857142857	0.8571428571428571	0.8378378378378378	0.8
Vehicle Survivability and Travel Mileage Schedules, Technical Report	0.7941176470588235	0.7941176470588235	0.8390804597701149	0.8382352941176471	0.8676470588235294	0.8382352941176471	0.8529411764705882	0.8235294117647058	0.8382352941176471	0.8382352941176471	0.8823529411764706	0.8235294117647058	0.8088235294117647	0.8823529411764706	0.7941176470588235	0.8676470588235294	0.8529411764705882	0.8823529411764706	0.8823529411764706	0.8823529411764706	0.8382352941176471	0.8676470588235294	0.8529411764705882	0.8529411764705882	0.8382352941176471	0.8529411764705882	0.8676470588235294	0.8529411764705882	0.8382352941176471	0.8529411764705882	0.8235294117647058	0.8235294117647058	0.8088235294117647	0.8235294117647058	0.8235294117647058	0.8529411764705882	0.8529411764705882	0.8823529411764706	0.8823529411764706	0.8676470588235294	0.8382352941176471	0.8676470588235294	0.9264705882352942	0.9117647058823529	0.9117647058823529	0.8823529411764706	0.9117647058823529	0.8382352941176471	0.8235294117647058	0.9117647058823529	0.8382352941176471	0.8823529411764706	0.7941176470588235	0.8970588235294118
A Suggested Approach for Discounting the Benefits and Costs of Environmental Regulation	0.7471264367816092	0.7471264367816092	0.8103448275862069	0.8275862068965517	0.8620689655172413	0.8505747126436781	0.8850574712643678	0.8505747126436781	0.8505747126436781	0.8390804597701149	0.8850574712643678	0.8620689655172413	0.8620689655172413	0.896551724137931	0.8275862068965517	0.8850574712643678	0.8390804597701149	0.8620689655172413	0.8735632183908046	0.8735632183908046	0.8850574712643678	0.8620689655172413	0.8620689655172413	0.8390804597701149	0.8735632183908046	0.8505747126436781	0.8620689655172413	0.8735632183908046	0.8390804597701149	0.8275862068965517	0.8505747126436781	0.8505747126436781	0.8505747126436781	0.8390804597701149	0.8620689655172413	0.8505747126436781	0.8735632183908046	0.8620689655172413	0.8850574712643678	0.8850574712643678	0.8735632183908046	0.9080459770114943	0.9310344827586207	0.896551724137931	0.9425287356321839	0.9195402298850575	0.9080459770114943	0.8850574712643678	0.8850574712643678	0.9425287356321839	0.8850574712643678	0.896551724137931	0.8850574712643678	0.896551724137931
Driver Performance Evaluations of Two Rear Parking Aids	0.7818181818181819	0.7818181818181819	0.8390804597701149	0.8363636363636363	0.8181818181818182	0.8363636363636363	0.8181818181818182	0.8181818181818182	0.7636363636363637	0.8181818181818182	0.8363636363636363	0.8363636363636363	0.7818181818181819	0.8545454545454545	0.8363636363636363	0.8363636363636363	0.8	0.8	0.8181818181818182	0.8363636363636363	0.8181818181818182	0.8181818181818182	0.8363636363636363	0.8	0.8	0.8	0.8181818181818182	0.8363636363636363	0.7818181818181819	0.8181818181818182	0.8	0.8181818181818182	0.7818181818181819	0.8	0.7818181818181819	0.7454545454545455	0.8363636363636363	0.8181818181818182	0.8363636363636363	0.8545454545454545	0.8727272727272727	0.8727272727272727	0.9090909090909091	0.8545454545454545	0.9090909090909091	0.8909090909090909	0.8909090909090909	0.8181818181818182	0.8727272727272727	0.9272727272727272	0.8545454545454545	0.8363636363636363	0.7818181818181819	0.8363636363636363
The  Danger to Young Pedestrians from Reversing Motor Vehicles. 18th  International Technical Conference on the Enhanced Safety of  Vehicles	0.7785714285714286	0.7785714285714286	0.7816091954022989	0.8928571428571429	0.9142857142857143	0.9	0.9214285714285714	0.8928571428571429	0.8928571428571429	0.8857142857142857	0.9214285714285714	0.9	0.9071428571428571	0.9357142857142857	0.8714285714285714	0.9214285714285714	0.8928571428571429	0.9071428571428571	0.9285714285714286	0.9357142857142857	0.9142857142857143	0.9142857142857143	0.9214285714285714	0.9	0.9071428571428571	0.9	0.9142857142857143	0.9142857142857143	0.9071428571428571	0.8642857142857143	0.8857142857142857	0.8928571428571429	0.8857142857142857	0.9071428571428571	0.8857142857142857	0.8928571428571429	0.9142857142857143	0.9214285714285714	0.9214285714285714	0.9214285714285714	0.9	0.9214285714285714	0.9214285714285714	0.9	0.9571428571428572	0.9214285714285714	0.9357142857142857	0.8857142857142857	0.9142857142857143	0.9428571428571428	0.9	0.9071428571428571	0.8571428571428571	0.9214285714285714
nan	0.9433962264150944	0.9433962264150944	0.9827586206896551	0.88	0.8823529411764706	0.9166666666666666	0.9375	0.9259259259259259	0.9583333333333334	0.88	0.9375	0.9310344827586207	0.9130434782608695	0.9285714285714286	0.9375	0.95	0.9565217391304348	0.9047619047619048	0.9375	0.9411764705882353	0.9565217391304348	0.9565217391304348	0.9473684210526315	0.9583333333333334	0.9545454545454546	0.9047619047619048	0.9565217391304348	0.9565217391304348	0.9166666666666666	0.9	0.8846153846153846	0.9259259259259259	0.96	0.9583333333333334	0.9285714285714286	0.9166666666666666	0.9565217391304348	0.8823529411764706	0.9473684210526315	0.9411764705882353	0.85	0.9375	0.9333333333333333	0.8888888888888888	0.8333333333333334	0.8571428571428571	0.9230769230769231	0.9259259259259259	0.9444444444444444	0.9285714285714286	0.9523809523809523	0.8888888888888888	0.9459459459459459	0.9
Driver Performance Research into Systems for the Reduction of Backing Incidents at General Motors	0.711340206185567	0.711340206185567	0.7701149425287356	0.8556701030927835	0.8865979381443299	0.865979381443299	0.8865979381443299	0.8556701030927835	0.845360824742268	0.8556701030927835	0.8969072164948454	0.8556701030927835	0.8556701030927835	0.9072164948453608	0.8350515463917526	0.8865979381443299	0.865979381443299	0.865979381443299	0.8969072164948454	0.8865979381443299	0.8969072164948454	0.865979381443299	0.8865979381443299	0.845360824742268	0.8556701030927835	0.8762886597938144	0.865979381443299	0.865979381443299	0.8556701030927835	0.8247422680412371	0.865979381443299	0.8556701030927835	0.845360824742268	0.865979381443299	0.845360824742268	0.8762886597938144	0.8762886597938144	0.8969072164948454	0.8865979381443299	0.8969072164948454	0.8762886597938144	0.8865979381443299	0.9278350515463918	0.8865979381443299	0.9484536082474226	0.9278350515463918	0.9278350515463918	0.8865979381443299	0.9175257731958762	0.9484536082474226	0.8969072164948454	0.8969072164948454	0.865979381443299	0.9072164948453608
