	NO PARSCIT CITATIONS
Discount rates in consumer' energy related decisions: a review of the literature	0.96875
Potential for Using Enhanced Aluminum Extrusions for Refrigerator Heat Exchangers	0.8666666666666667
An Experimental Analysis of Cycling Losses in Domestic Refrigerator-Freezers	0.875
Designing Environmental Policy: Lessons from the Regulation of Mercury Emissions	0.90625
Determination of Airside Heat Transfer Coefficient on Wire-on-Tube Type Heat Exchanger	0.8823529411764706
Recent Progress on the Air-side Performance of Fin-and-Tube Heat Exchangers	0.8387096774193549
Testing of propane/isobutane mixture in domestic refrigerators	0.9285714285714286
Simulating Effects of Multispeed Compressors on Refrigerator/Freezer Performance	0.8387096774193549
Refrigerator Energy Use in the Laboratory and in the Field	0.9310344827586207
Energy Use of Icemaking in Domestic Refrigerators	0.8888888888888888
Individual discount rates and the purchase and utilization of energy using durables	0.9333333333333333
Applying Cost Analyses to Drive Policy that Protects Children	0.8518518518518519
A general correlation for heat transfer during film condensation inside pipes	0.9259259259259259
Heat Transfer in Automobile Radiators of the Tubular type	0.8571428571428572
Pseudo-Pure Fluid Equations of State for the Refrigerant Blends R-410A, R-404A, R-507A, and R-407C	0.8285714285714285
Beyond Diffusion: An Affordability Model of the Growth of New Consumer Durables	0.875
Superinsulation in Refrigerators and Freezers	0.8846153846153846
Correlations for Predicting the Air-Side Nusselt Numbers and Friction Factors in Chilled-Water Cooling Coils	0.8
Higher Efficiencies by Means of Variable-Speed Technology in a Domestic Refrigeration Application	0.8529411764705882
A Comprehensive Evaluation of Temperatures within Home Refrigerators	0.8275862068965517
Heat Transfer and Pressure Drop of Spined Pipe in Cross-Flow – Part I: Pressure Drop Studies	0.8
Heat Transfer and Pressure Drop of Spined Pipe in Cross-Flow – Part II: Heat Transfer Studies	0.8
Design and modeling of hot-wall condensers in domestic refrigerators	0.9642857142857143
Assessment of Condensation Heat Transfer Correlations in the Modeling of Fin and Tube Heat Exchangers	0.875
Radiation and Natural Convection Heat Transfer from Wire¬and-Tube Heat Exchangers in Refrigeration Appliances	0.8285714285714285
Thermal performance analysis for hot-wall condenser and evaporator configurations in refrigeration appliances	0.935483870967742
An empirical model for sizing capillary tubes	0.9310344827586207
An Homogeneous Model for Adiabatic Capillary Tubes	0.8666666666666667
Modeling and optimisation of wire-and-tube condenser	0.9666666666666667
Modeling and Optimization of Wire-and-Tube Condenser	0.8666666666666667
An Experimental Study on New Egg-Crate Type Evaporators in Domestic Refrigerators	0.7878787878787878
Design and Modeling of New Egg Crate-Type Forced Flow Evaporators in Domestic Refrigerators	0.8484848484848485
Mixed Logit with Repeated Choices: Household's Choice of Appliance Efficiency Level	0.8857142857142857
Proposed Correlation of Data for Isothermal Two-Phase, Two-Component Flow in Pipes	0.8275862068965517
Rebates, loans, and customers’ choice of appliance efficiency level: combining stated- and revealed-preference data	0.9411764705882353
The Price Elasticity of Selective Demand: A Meta-Analysis of Econometric Models of Sales	0.8387096774193549
The application of propane/butane mixture for domestic refrigerators	0.9333333333333333
Analysis of a Domestic Refrigerator Cycle with an Ejector	0.8620689655172413
Domestic Refrigerators: recent developments	0.9285714285714286
Experimental Investigation of an Alternating Evaporator Duty Refrigerator/Freezer	0.875
Simulation and Test Results of Hydrocarbon Mixtures in a Modified-Lorenz-Meutzner Cycle Domestic Refrigerator	0.8529411764705882
Application of Tandem System to High-Efficiency Refrigerator/Freezer	0.8484848484848485
Consumer Durable Spending: Explanation and Prediction	0.8666666666666667
Experimental and Analytical Evaluation of a Ground-Coupled Refrigerator-Freezer	0.8787878787878788
