	What determines the value of a life? A Meta Analysis,	What determines the value of a life? A Meta Analysis,	IX-17 $6.1 million. The range of this factor also shifts rightwards from 1 to 10 million to $1.6 to $10.6 million. Figure IX-4 Normal Distribution for Cost Per Fatalities (M)	Hyundai Accent 4-door Car	Sentra 4-door Car	Hyundai Azera 4-door Car	Versa 5-door Car	Volkswagen Jetta 4-door Car	Dodge Caliber 4-door Car	Hyundai Sonata 4-door Car	Carlo 2-door Car	Volkswagen New GTI 3-door Car	Five Hundred 4-door Car	Fit 5-door Car	Volkswagen New Beetle 3-door Car	Volvo S80 4-door Car	Toyota Prius 5-door Car	Pontiac G6 4-door Car	Focus 4-door Car	Accord 4-door Car	Mazda Mazda3 4-door Car	BMW 3-Series 4-door Car	Acura RL 4-door Car	Dodge Charger 4-door Car	Kia Spectra 4-door Car	Saturn Ion 4-door Car	BMW 5-Series 4-door Car	Chrysler 300 4-door Car	Buick Lucerne 4-door Car	Infiniti EX35 Stationwagon Car	Hyundai Elantra 4-door Car	Volkswagen Jetta 4-door Car	Chevrolet Aveo 4-door Car	Subaru Legacy 4-door Car	Volkswagen Passat 4-door Car	Toyota Avalon 4-door Car	Cadillac STS 4-door Car	Fusion 4-door Car	Lexus ES 4-door Car	Matrix 5-door Car	Hyundai Santa Fe SUV	Kia Sportage SUV	Toyota RAV4 SUV	Toyota 4Runner SUV	Vitara	Saturn Vue SUV	Expedition EL	Chevrolet 1500 Suburban SUV	Subaru Tribeca SUV	Mazda CX-9 SUV	Cadillac Escalade SUV	Saturn Outlook SUV	Chevrolet 1500 Avalanche SUV 2010 923	Ford E-250 Cargo Van
The Economic Impact of Motor Vehicle Crashes 2000	0.5483870967741935	0.5483870967741935	0.5476190476190477	0.6666666666666667	0.7037037037037037	0.7419354838709677	0.6923076923076923	0.6333333333333333	0.7241379310344828	0.7333333333333334	0.72	0.6129032258064516	0.7333333333333334	0.7407407407407407	0.6451612903225806	0.7241379310344828	0.6896551724137931	0.6896551724137931	0.75	0.7777777777777778	0.7857142857142857	0.7	0.8	0.75	0.6428571428571428	0.7142857142857143	0.7	0.6428571428571428	0.7	0.6206896551724138	0.6551724137931034	0.6333333333333333	0.6785714285714286	0.78125	0.6333333333333333	0.6896551724137931	0.6666666666666667	0.7142857142857143	0.7333333333333334	0.7037037037037037	0.7666666666666666	0.6666666666666667	0.7931034482758621	0.6896551724137931	0.782608695652174	0.7307692307692308	0.6923076923076923	0.6	0.7037037037037037	0.8333333333333334	0.6153846153846154	0.7142857142857143	0.5483870967741935	0.6428571428571428
Light Vehicle Rear Visibility Assessment	0.5357142857142857	0.5357142857142857	0.6744186046511628	0.6153846153846154	0.76	0.7037037037037037	0.75	0.6296296296296297	0.6799999999999999	0.7407407407407407	0.8333333333333334	0.7	0.7857142857142857	0.8	0.6428571428571428	0.8214285714285714	0.7407407407407407	0.7407407407407407	0.8076923076923077	0.7916666666666666	0.8888888888888888	0.7931034482758621	0.72	0.76	0.7407407407407407	0.8148148148148149	0.7931034482758621	0.6923076923076923	0.7037037037037037	0.7586206896551724	0.7037037037037037	0.6296296296296297	0.6799999999999999	0.6538461538461539	0.6296296296296297	0.6923076923076923	0.7692307692307692	0.7692307692307692	0.7857142857142857	0.8076923076923077	0.6799999999999999	0.6666666666666667	0.7083333333333333	0.64	0.736842105263158	0.6818181818181819	0.75	0.6428571428571428	0.6521739130434783	0.8928571428571429	0.6666666666666667	0.72	0.6333333333333333	0.7857142857142857
Not-in-Traffic Surveillance	0.5555555555555556	0.5555555555555556	0.625	0.5217391304347826	0.55	0.625	0.7272727272727273	0.6538461538461539	0.6521739130434783	0.5454545454545454	0.7	0.6296296296296297	0.5454545454545454	0.6666666666666667	0.6153846153846154	0.6521739130434783	0.6086956521739131	0.6086956521739131	0.6818181818181819	0.7142857142857143	0.782608695652174	0.6799999999999999	0.6956521739130435	0.7391304347826086	0.5454545454545454	0.5714285714285714	0.6799999999999999	0.72	0.5652173913043479	0.64	0.5652173913043479	0.6538461538461539	0.5909090909090908	0.625	0.6538461538461539	0.5454545454545454	0.5	0.6363636363636364	0.6666666666666667	0.6818181818181819	0.6521739130434783	0.6363636363636364	0.7391304347826086	0.5454545454545454	0.7777777777777778	0.5789473684210527	0.7272727272727273	0.56	0.55	0.84	0.6956521739130435	0.5714285714285714	0.6071428571428572	0.7692307692307692
S. REP. 110-275 and S. Rep. No. 275	0.8285714285714285	0.8285714285714285	0.7045454545454546	0.7586206896551724	0.6521739130434783	0.75	0.6956521739130435	0.7666666666666666	0.7777777777777778	0.7407407407407407	0.7272727272727273	0.7419354838709677	0.7407407407407407	0.75	0.7333333333333334	0.7307692307692308	0.7407407407407407	0.7407407407407407	0.8076923076923077	0.7916666666666666	0.8	0.75	0.7692307692307692	0.76	0.6923076923076923	0.72	0.7037037037037037	0.7407407407407407	0.75	0.7586206896551724	0.75	0.7666666666666666	0.7777777777777778	0.75	0.7241379310344828	0.7857142857142857	0.7692307692307692	0.7692307692307692	0.6923076923076923	0.76	0.7777777777777778	0.7692307692307692	0.8076923076923077	0.7407407407407407	0.9565217391304348	0.7916666666666666	0.6956521739130435	0.6896551724137931	0.8518518518518519	0.8076923076923077	0.7692307692307692	0.8148148148148149	0.6774193548387097	0.5833333333333333
Vehicle Survivability and Travel Mileage Schedules, Technical Report	0.43333333333333335	0.43333333333333335	0.6	0.6	0.6785714285714286	0.6774193548387097	0.7142857142857143	0.6129032258064516	0.6551724137931034	0.6206896551724138	0.7857142857142857	0.6363636363636364	0.6666666666666667	0.7586206896551724	0.625	0.7	0.6206896551724138	0.7096774193548387	0.7241379310344828	0.7931034482758621	0.8	0.6774193548387097	0.7333333333333334	0.7241379310344828	0.6206896551724138	0.6896551724137931	0.6774193548387097	0.6666666666666667	0.6774193548387097	0.7272727272727273	0.6333333333333333	0.6129032258064516	0.6551724137931034	0.5862068965517242	0.6129032258064516	0.6206896551724138	0.6428571428571428	0.6896551724137931	0.7096774193548387	0.7241379310344828	0.6071428571428572	0.5925925925925926	0.6785714285714286	0.5185185185185186	0.8	0.6538461538461539	0.7142857142857143	0.5333333333333333	0.5769230769230769	0.8064516129032258	0.6428571428571428	0.6428571428571428	0.6176470588235294	0.75
A Suggested Approach for Discounting the Benefits and Costs of Environmental Regulation	0.4516129032258065	0.4516129032258065	0.5777777777777777	0.5666666666666667	0.6428571428571428	0.6451612903225806	0.7241379310344828	0.625	0.6206896551724138	0.6333333333333333	0.75	0.6857142857142857	0.6333333333333333	0.7241379310344828	0.59375	0.7096774193548387	0.6774193548387097	0.6774193548387097	0.6896551724137931	0.7142857142857143	0.8064516129032258	0.6451612903225806	0.6551724137931034	0.6428571428571428	0.5862068965517242	0.6551724137931034	0.6451612903225806	0.6774193548387097	0.6	0.6129032258064516	0.6	0.625	0.5714285714285714	0.6451612903225806	0.625	0.6333333333333333	0.6551724137931034	0.6551724137931034	0.6333333333333333	0.7333333333333334	0.7096774193548387	0.6551724137931034	0.7741935483870968	0.6774193548387097	0.8518518518518519	0.7142857142857143	0.6785714285714286	0.59375	0.7333333333333334	0.8484848484848485	0.6071428571428572	0.7	0.5882352941176471	0.71875
Driver Performance Evaluations of Two Rear Parking Aids	0.4838709677419355	0.4838709677419355	0.5348837209302326	0.6	0.7241379310344828	0.6774193548387097	0.7586206896551724	0.5666666666666667	0.6551724137931034	0.7096774193548387	0.7857142857142857	0.59375	0.6666666666666667	0.7586206896551724	0.5806451612903225	0.78125	0.6206896551724138	0.6666666666666667	0.7241379310344828	0.75	0.8387096774193549	0.7575757575757576	0.6896551724137931	0.7241379310344828	0.7096774193548387	0.7333333333333334	0.7575757575757576	0.75	0.6333333333333333	0.6451612903225806	0.6333333333333333	0.5666666666666667	0.6551724137931034	0.71875	0.5172413793103448	0.6206896551724138	0.6896551724137931	0.6896551724137931	0.7096774193548387	0.7666666666666666	0.7419354838709677	0.7333333333333334	0.7666666666666666	0.6666666666666667	0.8461538461538461	0.75	0.7142857142857143	0.7058823529411764	0.7241379310344828	0.9117647058823529	0.6896551724137931	0.6896551724137931	0.6944444444444444	0.75
The  Danger to Young Pedestrians from Reversing Motor Vehicles. 18th  International Technical Conference on the Enhanced Safety of  Vehicles	0.5135135135135135	0.5135135135135135	0.4565217391304348	0.6486486486486487	0.7142857142857143	0.7105263157894737	0.7428571428571429	0.6578947368421053	0.6944444444444444	0.6666666666666667	0.8	0.641025641025641	0.7027027027027026	0.7777777777777778	0.6666666666666667	0.6944444444444444	0.6285714285714286	0.7027027027027026	0.75	0.8055555555555556	0.8108108108108107	0.7105263157894737	0.7567567567567568	0.7142857142857143	0.7027027027027026	0.6857142857142857	0.7105263157894737	0.7027027027027026	0.7105263157894737	0.6486486486486487	0.6388888888888888	0.6578947368421053	0.6944444444444444	0.6756756756756757	0.6216216216216216	0.6666666666666667	0.6857142857142857	0.7222222222222222	0.7027027027027026	0.75	0.6944444444444444	0.7222222222222222	0.75	0.6285714285714286	0.8484848484848485	0.7352941176470589	0.7777777777777778	0.5945945945945945	0.7142857142857143	0.8157894736842105	0.6470588235294117	0.7222222222222222	0.625	0.736842105263158
nan	0.9090909090909091	0.9090909090909091	0.9473684210526316	0.8823529411764706	0.8333333333333334	0.875	0.9166666666666666	0.8888888888888888	0.9333333333333333	0.8666666666666667	0.9	0.9	0.8666666666666667	0.9166666666666666	0.8947368421052632	0.9333333333333333	0.9375	0.8666666666666667	0.9230769230769231	0.9090909090909091	0.9166666666666666	0.9411764705882353	0.9285714285714286	0.9230769230769231	0.9375	0.8461538461538461	0.9411764705882353	0.9375	0.875	0.8823529411764706	0.875	0.8888888888888888	0.9333333333333333	0.9411764705882353	0.8888888888888888	0.8666666666666667	0.9285714285714286	0.8461538461538461	0.9375	0.9230769230769231	0.8571428571428572	0.9285714285714286	0.9230769230769231	0.8666666666666667	0.8333333333333334	0.8	0.9166666666666666	0.8947368421052632	0.9230769230769231	0.9230769230769231	0.9285714285714286	0.8461538461538461	0.9090909090909091	0.8666666666666667
Driver Performance Research into Systems for the Reduction of Backing Incidents at General Motors	0.4375	0.4375	0.5333333333333333	0.6363636363636364	0.7096774193548387	0.7058823529411764	0.78125	0.6470588235294117	0.6875	0.65625	0.8064516129032258	0.6285714285714286	0.696969696969697	0.78125	0.6176470588235294	0.7647058823529411	0.65625	0.65625	0.75	0.8125	0.8181818181818181	0.6666666666666667	0.7575757575757576	0.7096774193548387	0.696969696969697	0.6774193548387097	0.6666666666666667	0.696969696969697	0.625	0.6764705882352942	0.6666666666666667	0.6470588235294117	0.6875	0.6666666666666667	0.6060606060606061	0.696969696969697	0.71875	0.71875	0.7352941176470589	0.75	0.6875	0.71875	0.7878787878787878	0.65625	0.8620689655172413	0.7333333333333334	0.78125	0.6571428571428571	0.75	0.8571428571428572	0.71875	0.6774193548387097	0.6842105263157895	0.8055555555555556
