	Clash in Alabama Over Tennessee Coal Ash,‚Äù The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of ‚ÄúAttachment A: Guidance for Implementing the Federalism 1% Test‚Äù to EPA‚Äôs Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA‚Äôs
Demand Responsiveness in Electricity Markets	0.625	0.40740740740740744	0.40740740740740744	0.574468085106383	0.6666666666666667	0.5	0.6170212765957447	0.46153846153846156	0.5172413793103448	0.6216216216216216	0.4444444444444444	0.6222222222222222
Energy & Water: Emerging Issues and Trands	0.7272727272727273	0.5862068965517242	0.5862068965517242	0.6458333333333333	0.7037037037037037	0.5666666666666667	0.6304347826086957	0.6428571428571428	0.6333333333333333	0.6388888888888888	0.5714285714285714	0.6666666666666667
EPA’s Action Development Process: Final Guidance for EPA Rulewriters: Regulatory Flexibility Act	1.0	0.4411764705882353	0.48571428571428577	0.39583333333333337	1.0	0.4285714285714286	1.0	0.5714285714285714	0.6052631578947368	0.5813953488372092	0.47058823529411764	1.0
EPA’s Action Development Process: Final Guidance for EPA Rulewriters: Regulatory Flexibility Act as amended by the Small Business Regulatory Enforcement Fairness Act	1.0	0.4444444444444444	0.4444444444444444	0.36734693877551017	1.0	0.4736842105263158	1.0	0.5675675675675675	0.5641025641025641	0.5454545454545454	0.4722222222222222	1.0
Estimation of Costs for Regulating Fossil Fuel Combustion Ash Management at Large Electric Utilities Under Part 258	0.641025641025641	0.5142857142857142	0.5555555555555556	0.5384615384615384	0.5272727272727273	0.5	0.5490196078431373	0.5588235294117647	0.5945945945945945	0.5	0.5428571428571429	0.4565217391304348
Estimation of the Marginal Greenhouse Gas Abatement Curve for the Beneficial Use of Fly Ash as a Substitute for Portland Cement in Ready-Mix Concrete Production	0.6341463414634146	0.4722222222222222	0.4722222222222222	0.42000000000000004	0.5	0.5384615384615384	0.4901960784313726	0.5555555555555556	0.5526315789473684	0.5348837209302326	0.5	0.45833333333333337
"Form EIA-860 ""Annual Electric Generator Report"" ""Existing Electric Generating Units in the United States, 2005"""	0.7045454545454546	0.5641025641025641	0.5263157894736843	0.5185185185185186	0.5087719298245614	0.4736842105263158	0.5555555555555556	0.6052631578947368	0.5641025641025641	0.5116279069767442	0.5897435897435898	0.5
GDP Calculator	0.7931034482758621	0.6923076923076923	0.7407407407407407	0.7659574468085106	0.8113207547169812	0.7142857142857143	0.782608695652174	0.6521739130434783	0.7407407407407407	0.7647058823529411	0.6799999999999999	0.7674418604651163
Guidelines and Discount Rates for Benefit-Cost Analysis of Federal Programs	0.6756756756756757	0.4516129032258065	0.5	0.5	0.6	0.5294117647058824	0.5714285714285714	0.5483870967741935	0.5882352941176471	0.6	0.4838709677419355	0.5111111111111111
Human and Ecological Risk Assessment of Coal Combustion Wastes	0.6060606060606061	0.5	0.5	0.5625	0.6296296296296297	0.53125	0.6041666666666667	0.6	0.59375	0.6052631578947368	0.5333333333333333	0.5454545454545454
