	Clash in Alabama Over Tennessee Coal Ash,‚Äù The New York Times,	Plant-by-plant disaggregated data comparison to statewide benchmarks	State-by-state aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3: On a plant-by-plant basis, EPA compared the plant ZCTA percentage children, to the respective statewide average percentage children. Step 4: For purpose of summary, EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below. There are no data displayed for DC, ID, RI or VT because there are no coal-fired electric utility plants in those states.	administration, and enforcement costs to RCRA-authorized state government programs/agencies. Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132, not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA. EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods (i.e., numerical tests) for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù:	25 million test: Annualized direct compliance cost expenditures to state/local governments	1% test: Annualized direct compliance costs faced by state/local governments is likely to equal or exceed 1% of their annual revenues* [* Note: Page 29 of ‚ÄúAttachment A: Guidance for Implementing the Federalism 1% Test‚Äù to EPA‚Äôs Nov	Private sector $100 million direct cost threshold test	State/local government $100 million direct cost threshold test*	25 million threshold test: sub-total State/Local govt cost $96.7	State/local govt cost as percentage of State/Local government electric utility annual revenues	227% 0.131% 0.215% **Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plant-by-plant internet research on type of ownership. Size class determined according to the following numerical criteria consistent with EPA‚Äôs
A Novel Approach to the handling and disposal of coal combustion products	0.8356164383561644	0.8356164383561644	0.821917808219178	0.884453781512605	0.9105571847507331	0.7777777777777778	0.8318965517241379	0.7671232876712328	0.8082191780821918	0.821917808219178	0.7978723404255319	0.8443579766536965
ACAA webpage containing Frequently Asked Question	0.8387096774193549	0.8529411764705882	0.8309859154929577	0.9222689075630253	0.9413489736070382	0.7888888888888889	0.8706896551724138	0.8148148148148148	0.7777777777777778	0.875	0.7978723404255319	0.8832684824902723
ACAA’s 2005 beneficial use data	1.0	0.8529411764705882	0.8450704225352113	0.9495798319327731	1.0	0.8333333333333334	1.0	0.7962962962962963	0.8253968253968254	0.84375	0.8617021276595744	1.0
ACAA’s annual CCR tonnage data	1.0	0.8382352941176471	0.8169014084507042	0.9495798319327731	1.0	0.8111111111111111	1.0	0.8333333333333334	0.8412698412698413	0.84375	0.851063829787234	1.0
Annual CCR Disposition for NAICS 22 Electric Utility Plants >100 MW Capacity (tons per year as of 2005)	0.8058252427184466	0.8252427184466019	0.7961165048543689	0.8697478991596639	0.8973607038123167	0.8058252427184466	0.7974137931034483	0.7864077669902912	0.8155339805825242	0.8058252427184466	0.8446601941747572	0.8132295719844358
ASTM D5396 - 04 Standard Specification for Reclaimed Perchloroethylene	0.8285714285714286	0.8428571428571429	0.8591549295774648	0.8970588235294118	0.9193548387096774	0.7666666666666667	0.8620689655172413	0.7571428571428571	0.7714285714285715	0.8857142857142857	0.776595744680851	0.8326848249027238
ASTM Volume 15.05, Engine Coolants, Halogenated Organic Solvents and Fire Extinguishing Agents; Industrial and Specialty Chemicals	0.8	0.7538461538461538	0.7538461538461538	0.8361344537815126	0.8709677419354839	0.7846153846153846	0.7844827586206896	0.8153846153846154	0.7923076923076923	0.8307692307692308	0.7461538461538462	0.7821011673151751
avoided disposal cost incentive	0.8064516129032258	0.7794117647058824	0.8028169014084507	0.9390756302521008	0.9545454545454546	0.7777777777777778	0.8922413793103449	0.7592592592592593	0.7777777777777778	0.796875	0.8191489361702128	0.8988326848249028
Better, Safer Ways to Handle Coal Slurry Do Exist	0.7580645161290323	0.8235294117647058	0.7887323943661971	0.9222689075630253	0.9413489736070382	0.7666666666666667	0.8663793103448276	0.7777777777777778	0.7619047619047619	0.8125	0.8085106382978723	0.8793774319066148
Biographical Directory of the US Congress	0.7741935483870968	0.7794117647058824	0.8028169014084507	0.9243697478991597	0.9457478005865103	0.7444444444444445	0.8706896551724138	0.7777777777777778	0.7619047619047619	0.828125	0.7978723404255319	0.8871595330739299
CalStar Gives Sneak Peek of Low-Carbon Brick Factory	0.8064516129032258	0.7647058823529411	0.7746478873239436	0.9222689075630253	0.9428152492668622	0.8	0.8706896551724138	0.8518518518518519	0.7777777777777778	0.84375	0.7553191489361702	0.8832684824902723
Coal Combustion Products -- Production & Use Statistics	0.8225806451612904	0.7941176470588235	0.7887323943661971	0.9096638655462185	0.9325513196480938	0.8	0.8577586206896551	0.8545454545454545	0.8095238095238095	0.8125	0.7872340425531915	0.8599221789883269
Electric Utility Regulation	0.8870967741935484	0.8382352941176471	0.8450704225352113	0.9495798319327731	0.9633431085043989	0.8333333333333334	0.9094827586206896	0.7777777777777778	0.8095238095238095	0.828125	0.8085106382978723	0.914396887159533
