"Journal Data Filtered By:  Selected JCR Year: 2008 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,
Rank,Full Journal Title,Issn,Total Cites,Journal Impact Factor,Citable Items,Eigenfactor Score,
95,ANNUAL REVIEW OF GENOMICS AND HUMAN GENETICS,1527-8204,"1,415",12.029,21,0.011160,
96,ANNUAL REVIEW OF ENTOMOLOGY,0066-4170,"6,376",11.918,26,0.011870,
97,TRENDS IN ECOLOGY & EVOLUTION,0169-5347,"16,830",11.904,92,0.064690,
98,PSYCHOLOGICAL REVIEW,0033-295X,"17,810",11.765,48,0.026460,
98,PSYCHOLOGICAL REVIEW,0033-295X,"17,810",11.765,48,0.026460,
100,IMMUNOLOGICAL REVIEWS,0105-2896,"10,029",11.761,114,0.063070,
101,MASS SPECTROMETRY REVIEWS,0277-7037,"2,644",11.507,26,0.012210,
102,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,"60,121",11.438,462,0.227420,
103,HEPATOLOGY,0270-9139,"41,145",11.355,384,0.118570,
104,PROGRESS IN LIPID RESEARCH,0163-7827,"2,741",11.237,26,0.010480,
105,NATURE STRUCTURAL & MOLECULAR BIOLOGY,1545-9985,"17,436",10.987,165,0.117420,
106,ANNUAL REVIEW OF MEDICINE,0066-4219,"4,057",10.985,34,0.013430,
107,TRENDS IN COGNITIVE SCIENCES,1364-6613,"9,143",10.981,70,0.053230,
107,TRENDS IN COGNITIVE SCIENCES,1364-6613,"9,143",10.981,70,0.053230,
109,ANNUAL REVIEW OF MICROBIOLOGY,0066-4227,"6,508",10.902,24,0.019560,
110,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1433-7851,"139,534",10.879,"1,797",0.513860,
111,ANNUAL REVIEW OF BIOMEDICAL ENGINEERING,1523-9829,"2,122",10.789,15,0.009510,
112,CURRENT BIOLOGY,0960-9822,"33,409",10.777,352,0.252790,
