"Journal Data Filtered By:  Selected JCR Year: 2010 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,
Rank,Full Journal Title,Issn,Total Cites,Journal Impact Factor,5-Year Impact Factor,Citable Items,,Eigenfactor Score
219,SCHIZOPHRENIA BULLETIN,0586-7614,"8,966",8.273,8.530,106,,0.027940
221,CYTOKINE & GROWTH FACTOR REVIEWS,1359-6101,"4,252",8.239,9.832,50,,0.015430
222,EPIDEMIOLOGIC REVIEWS,0193-936X,"2,329",8.238,13.389,13,,0.005540
223,CANCER RESEARCH,0008-5472,"139,396",8.234,8.438,"1,052",,0.399760
224,ANTIOXIDANTS & REDOX SIGNALING,1523-0864,"7,980",8.209,7.139,188,,0.035410
225,CLINICAL INFECTIOUS DISEASES,1058-4838,"41,482",8.186,7.898,407,,0.136310
226,Advances in Catalysis,0360-0564,"1,449",8.167,8.500,3,,0.001280
227,JOURNAL OF AUTOIMMUNITY,0896-8411,"3,543",8.136,5.189,109,,0.010290
228,HUMAN MOLECULAR GENETICS,0964-6906,"33,206",8.058,8.145,453,,0.132770
229,Annual Review of Earth and Planetary Sciences,0084-6597,"3,896",8.048,9.654,21,,0.012950
230,Polymer Reviews,1558-3724,688,8.024,7.732,18,,0.003820
231,NEUROLOGY,0028-3878,"72,139",8.017,7.518,509,,0.158960
232,ACM COMPUTING SURVEYS,0360-0300,"2,888",8.000,10.910,15,,0.005670
233,BIOMATERIALS,0142-9612,"57,047",7.883,9.076,"1,013",,0.134600
234,Annual Review of Nuclear and Particle Science,0163-8998,"1,812",7.882,9.853,25,,0.006810
235,Annual Review of Nutrition,0199-9885,"3,983",7.878,9.806,21,,0.007000
236,STEM CELLS,1066-5099,"16,123",7.871,8.632,209,,0.079660
237,NUCLEIC ACIDS RESEARCH,0305-1048,"100,444",7.836,7.314,"1,101",,0.326950
238,EMBO REPORTS,1469-221X,"9,402",7.822,7.488,95,,0.055130
239,Pain Physician,1533-3159,"1,739",7.793,Not Available,54,,0.004170
240,PSYCHOLOGICAL REVIEW,0033-295X,"19,676",7.784,11.361,46,,0.021150
240,PSYCHOLOGICAL REVIEW,0033-295X,"19,676",7.784,11.361,46,,0.021150
242,SEMINARS IN CANCER BIOLOGY,1044-579X,"3,820",7.758,7.975,49,,0.014180
243,Nature Clinical Practice Endocrinology & Metabolism,1745-8366,"1,222",7.717,6.714,0,,0.008340
244,CURRENT OPINION IN MICROBIOLOGY,1369-5274,"6,743",7.714,8.248,104,,0.031080
245,Nature Clinical Practice Neurology,1745-834X,"1,206",7.707,7.491,0,,0.008460
246,ACTA NEUROPATHOLOGICA,0001-6322,"9,540",7.695,5.963,127,,0.023470
247,PHYSIOLOGY,1548-9213,"1,950",7.657,8.321,31,,0.013100
248,PHYSICAL REVIEW LETTERS,0031-9007,"335,522",7.622,7.155,"3,118",,1.233130
249,BIOTECHNOLOGY ADVANCES,0734-9750,"3,874",7.600,9.038,79,,0.011940
250,TRENDS IN MICROBIOLOGY,0966-842X,"7,314",7.500,7.928,71,,0.024720
251,MOLECULAR INTERVENTIONS,1534-0384,"1,154",7.478,7.608,20,,0.003670
252,ANNALS OF SURGERY,0003-4932,"32,990",7.474,8.992,291,,0.067640
253,Nature Reviews Cardiology,1759-5002,440,7.467,7.467,57,,0.002350
254,JOURNAL OF ECONOMIC LITERATURE,0022-0515,"4,846",7.432,8.076,19,,0.014720
255,ONCOGENE,0950-9232,"59,299",7.414,7.109,597,,0.198170
256,CLINICAL CANCER RESEARCH,1078-0432,"58,094",7.338,7.166,629,,0.224210
257,Small,1613-6810,"11,496",7.336,8.057,388,,0.067350
258,MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,0037-976X,"1,560",7.333,8.136,11,,0.001590
259,JOURNAL OF PATHOLOGY,0022-3417,"13,094",7.274,6.140,137,,0.036760
260,JOURNAL OF NEUROSCIENCE,0270-6474,"139,902",7.271,8.068,"1,661",,0.469700
261,CORTEX,0010-9452,"4,788",7.251,5.270,106,,0.011560
262,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,1079-5642,"30,841",7.215,7.544,345,,0.088360
263,Advances in Immunology,0065-2776,"2,364",7.195,8.759,23,,0.010160
264,JOURNAL OF CONTROLLED RELEASE,0168-3659,"24,331",7.164,7.424,369,,0.049740
265,MOLECULAR THERAPY,1525-0016,"11,493",7.149,6.500,235,,0.042960
266,AGING CELL,1474-9718,"3,371",7.148,7.978,92,,0.019910
267,DIABETES CARE,0149-5992,"42,325",7.141,7.285,509,,0.113620
268,CANCER AND METASTASIS REVIEWS,0167-7659,"3,770",7.140,8.912,58,,0.013630
269,Nature Clinical Practice Rheumatology,1745-8382,"1,252",7.113,6.137,0,,0.008160
270,ARCHIVES OF NEUROLOGY,0003-9942,"21,011",7.108,6.628,176,,0.048650
271,JOURNAL OF BONE AND MINERAL RESEARCH,0884-0431,"21,130",7.059,7.084,283,,0.048880
272,CELLULAR AND MOLECULAR LIFE SCIENCES,1420-682X,"15,469",7.047,6.609,301,,0.068530
273,JOURNAL OF MEDICAL GENETICS,0022-2593,"11,726",7.037,6.030,135,,0.036210
274,JOURNAL OF NUCLEAR MEDICINE,0161-5505,"20,687",7.022,6.766,267,,0.047120
275,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,0161-4940,"2,582",7.000,9.256,9,,0.002450
276,DIABETOLOGIA,0012-186X,"21,508",6.973,6.227,276,,0.066790
277,PLANT JOURNAL,0960-7412,"28,226",6.948,7.325,351,,0.082620
278,HYPERTENSION,0194-911X,"29,821",6.908,6.949,335,,0.070990
279,DEVELOPMENT,0950-1991,"50,197",6.898,7.476,410,,0.154000
280,CURRENT OPINION IN NEUROBIOLOGY,0959-4388,"10,126",6.891,8.594,104,,0.042410
281,CLINICAL CHEMISTRY,0009-9147,"25,205",6.886,5.831,186,,0.046920
282,GENOME BIOLOGY,1474-7596,"14,195",6.885,7.354,173,,0.076460
283,AMERICAN JOURNAL OF GASTROENTEROLOGY,0002-9270,"26,386",6.882,6.531,269,,0.067870
284,EMERGING INFECTIOUS DISEASES,1080-6040,"20,276",6.859,6.996,332,,0.073700
285,CEREBRAL CORTEX,1047-3211,"17,284",6.844,7.200,264,,0.073340
286,CURRENT OPINION IN PHARMACOLOGY,1471-4892,"4,519",6.817,6.734,102,,0.021050
286,Mucosal Immunology,1933-0219,"1,033",6.817,7.643,61,,0.007640
288,CANCER TREATMENT REVIEWS,0305-7372,"3,091",6.811,5.515,97,,0.011060
