	On-Farm Energy Use Characterizations, Report Number IE052, Â©American Council for an Energy-Efficient	Characterization of the U.S. Industrial Commercial Boiler Population, submitted to Oak Ridge National Laboratory,	74 FR 16447, Mandatory Greenhouse Gas Reporting Regulations; Proposed Rule,	Memorandum from Chris Steuer, Marian Van Pelt and Robert Lanza regarding Methodology Description for Industrial Sector GHG Threshold Analysis,	National Laboratory (LBNL). Energy Data Sourcebook for the U.S. Residential Sector. Prepared by Energy Analysis Program, Environmental Energy Technologies Division, LBNL,	http://enduse.lbl.gov/info/Pubs95_99.html National Multi-Housing Council (NMHC), Quick Facts Apartment Stock: Distribution of Apartments by Size of Property, NMHC tabulation of unpublished data from the U.S. Census Bureau&apos;s	Economic Census,	Residential Energy Consumption Survey,	Environmental Protection Agency (EPA), Supporting Data for Threshold Analysis Subpart X â€“ PP, Greenhouse Gas Mandatory Reporting Rulemaking,	Environmental Protection Agency (EPA), Emissions & Generation Resource Integrated Database (eGRID)	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Adipic Acid Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Process Emissions from Cement: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Process Emissions From Electronics Manufacture (Semiconductors, MEMs, Liquid Crystal Displays, and Photovoltaics),	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Ethanol Facilities: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Emissions of HFC-23 from Production of HCFC-22: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Hydrogen Production: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Iron and Steel Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Lead Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Silicon Carbide Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Titanium Dioxide Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Underground Coal Mines: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Zinc Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Emissions Thresholds Evaluation (GHG Thresholds TSD) and Methodology for Estimating New and Modified Sources that Would Be Subject to PSD Permitting for GHGs (GHG PSD Sources TSD), both of which can be found at EPA-HQ-OAR-2009-0517. Significant uncertainties exist in the following estimates due to the lack of historical record and permitting experience upon which to base resource needs for including GHG sources.	Evaluation of ICR-based Resource Requirements for Permitting Authorities at Different Possible GHG Permitting Thresholds aNew commercial/residential permits take 10% of the time needed for new industrial permits bSalaries from Title V ICR adjusted to 2007 dollars using	bLabor cost of $77.22/hr from Prevention of Significant Deterioration and Non-Attainment Area New Source Review (Renewal),
Technical Support Document for Ethanol Facilities Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.4878048780487805	0.42105263157894735	0.34375	0.2777777777777778	0.3055555555555556	0.41463414634146345	0.6551724137931034	0.3666666666666667	0.25	0.34375	0.12903225806451613	0.15625	0.20588235294117652	0.09677419354838712	0.19999999999999996	0.15625	0.15625	0.15625	0.4193548387096774	0.18181818181818177	0.15625	0.18181818181818177	0.15625	0.42553191489361697	0.43181818181818177	0.41666666666666663
Technical Support Document for Process Emissions from Cement Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.4878048780487805	0.3783783783783784	0.3939393939393939	0.22857142857142854	0.3055555555555556	0.41463414634146345	0.6071428571428572	0.31034482758620685	0.25	0.34375	0.12903225806451613	0.09677419354838712	0.20588235294117652	0.15625	0.19999999999999996	0.15625	0.15625	0.15625	0.4193548387096774	0.125	0.15625	0.125	0.15625	0.42553191489361697	0.39534883720930236	0.41666666666666663
Technical Support Document for Process Emissions From Electronics Manufacture Semiconductors MEMsLiquid Crystal Displays and Photovoltaics	0.5348837209302326	0.4358974358974359	0.5	0.3421052631578947	0.32432432432432434	0.3902439024390244	0.6206896551724138	0.3870967741935484	0.3589743589743589	0.4571428571428572	0.2647058823529411	0.23529411764705888	0.12121212121212122	0.23529411764705888	0.2702702702702703	0.2857142857142857	0.2857142857142857	0.23529411764705888	0.48484848484848486	0.2571428571428571	0.2857142857142857	0.2571428571428571	0.2857142857142857	0.5	0.4444444444444444	0.43243243243243246
Technical Support Document for Process Emissions from Magnesium Production and Processing Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.5121951219512195	0.4054054054054054	0.375	0.2571428571428571	0.2857142857142857	0.4390243902439024	0.6428571428571428	0.3448275862068966	0.22857142857142854	0.32258064516129037	0.09999999999999998	0.12903225806451613	0.23529411764705888	0.12903225806451613	0.22857142857142854	0.12903225806451613	0.12903225806451613	0.12903225806451613	0.4	0.15625	0.12903225806451613	0.15625	0.12903225806451613	0.4130434782608695	0.41860465116279066	0.4
Technical Support Document for Process Emissions from Primary Production of Aluminum Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.4878048780487805	0.42105263157894735	0.3939393939393939	0.22857142857142854	0.2571428571428571	0.41463414634146345	0.6551724137931034	0.3666666666666667	0.19999999999999996	0.29032258064516125	0.06666666666666665	0.09677419354838712	0.20588235294117652	0.09677419354838712	0.19999999999999996	0.09677419354838712	0.09677419354838712	0.09677419354838712	0.3666666666666667	0.125	0.09677419354838712	0.125	0.09677419354838712	0.3913043478260869	0.39534883720930236	0.37142857142857144
Technical Support Document for the Adipic Acid Production Sector Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.5121951219512195	0.4054054054054054	0.375	0.20588235294117652	0.2857142857142857	0.4	0.6896551724137931	0.4	0.22857142857142854	0.32258064516129037	0.09999999999999998	0.12903225806451613	0.23529411764705888	0.12903225806451613	0.22857142857142854	0.12903225806451613	0.12903225806451613	0.12903225806451613	0.4	0.15625	0.12903225806451613	0.15625	0.12903225806451613	0.4130434782608695	0.41860465116279066	0.3529411764705882
Technical Support Document for the Ferroalloy Production Sector Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.5121951219512195	0.4054054054054054	0.32258064516129037	0.2571428571428571	0.33333333333333337	0.4	0.6896551724137931	0.4	0.2777777777777778	0.375	0.16129032258064513	0.1875	0.23529411764705888	0.12903225806451613	0.22857142857142854	0.1875	0.1875	0.1875	0.4516129032258065	0.21212121212121215	0.1875	0.21212121212121215	0.1875	0.44680851063829785	0.4545454545454546	0.4
Technical Support Document for the Glass Manufacturing Sector Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.5365853658536586	0.38888888888888884	0.3548387096774194	0.23529411764705888	0.3142857142857143	0.42500000000000004	0.6785714285714286	0.3793103448275862	0.2571428571428571	0.3548387096774194	0.1333333333333333	0.16129032258064513	0.2647058823529411	0.16129032258064513	0.2571428571428571	0.16129032258064513	0.16129032258064513	0.16129032258064513	0.43333333333333335	0.1875	0.16129032258064513	0.1875	0.16129032258064513	0.4347826086956522	0.4418604651162791	0.38235294117647056
Technical Support Document for the Hydrogen Production Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.5476190476190477	0.4054054054054054	0.375	0.20588235294117652	0.33333333333333337	0.4	0.6896551724137931	0.4	0.2777777777777778	0.375	0.16129032258064513	0.1875	0.2857142857142857	0.1875	0.22857142857142854	0.12903225806451613	0.1875	0.1875	0.4516129032258065	0.21212121212121215	0.1875	0.21212121212121215	0.1875	0.4130434782608695	0.41860465116279066	0.4
Technical Support Document for the Iron and Steel Sector Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.5121951219512195	0.36111111111111116	0.375	0.20588235294117652	0.33333333333333337	0.4390243902439024	0.6896551724137931	0.4	0.2777777777777778	0.32258064516129037	0.16129032258064513	0.1875	0.2857142857142857	0.1875	0.2777777777777778	0.1875	0.12903225806451613	0.1875	0.4516129032258065	0.21212121212121215	0.1875	0.21212121212121215	0.1875	0.44680851063829785	0.41860465116279066	0.4
