	Available at: http://www.lrc.rpi.edu/ Inputs	Manufacturing and Construction Division, ‘‘New Privately Owned Housing Unit Starts’’	Available at: http://www.census.gov/ Solid State Lighting Multi-Year Program Plan.51 Lastly, using markup based on currently-available LED lamps, DOE was market until after	Department of Energy, Office of Energy Efficiency and Renewable Energy, ‘‘Energy Conservation Program for Commercial and Industrial Equipment: High-Intensity Discharge Lamps Analysis of Potential Energy Savings’’	Scenarios In the
Full Spectrum QA	0.6086956521739131	0.7777777777777778	0.6944444444444444	0.725	0.7
Measure Life Report Residential and CommercialIndustrial Lighting and HVAC Measures	0.4482758620689655	0.5384615384615384	0.46153846153846156	0.4	0.5555555555555556
National MercuryLamp Recycling Rate and Availability of Lamp Recycling Services in the US	0.43333333333333335	0.4473684210526315	0.32432432432432434	0.3902439024390244	0.5862068965517242
RevisedUpdated EULs Based on Retention and Persistence Studies Results	0.4814814814814815	0.5277777777777778	0.4864864864864865	0.5	0.5416666666666667
The Rare Gets More Rare The Rare Gases Market Update	0.6538461538461539	0.7297297297297297	0.6842105263157895	0.7441860465116279	0.6190476190476191
Protected Coating For Energy Efficient Lamp	0.6551724137931034	0.5833333333333333	0.5	0.5128205128205128	0.625
Circular No A94 Appendix C 	0.52	0.6388888888888888	0.6666666666666667	0.6666666666666667	0.6521739130434783
Energy Efficiency and Renewable Office of Building Research and Standards	0.4642857142857143	0.4722222222222222	0.38888888888888884	0.41025641025641024	0.52
Fluorescent and Incandescent Lamps Energy Conservation Standard Advance Notice of Proposed Rulemaking	0.5151515151515151	0.475	0.3589743589743589	0.3414634146341463	0.6129032258064516
LifeCycle Costing Manual for the Federal Energy Management Program 	0.5666666666666667	0.4722222222222222	0.38888888888888884	0.44999999999999996	0.5769230769230769
Rulemaking Framework Document for General Service Fluorescent Lamps Incandescent Reflector Lamps and General Service Incandescent Lamps	0.4666666666666667	0.5128205128205128	0.39473684210526316	0.41463414634146345	0.5714285714285714
Stocks Bonds Bills and Inflation Valuation Edition 2001 Yearbook	0.5333333333333333	0.6341463414634146	0.4871794871794872	0.6	0.5384615384615384
The IESNA Lighting Handbook Reference and Application 9th Edition	0.5161290322580645	0.6190476190476191	0.475	0.45238095238095233	0.5714285714285714
73 FR 13620 13629	0.9642857142857143	0.975	0.9523809523809523	0.9565217391304348	0.9545454545454546
Energy Efficiency Standards for Consumer Products Fluorescent Lamps Ballast Final Rule	0.59375	0.5	0.42105263157894735	0.4	0.6071428571428572
Energy Independence and Security Act of 2007	0.5357142857142857	0.6052631578947368	0.5263157894736843	0.5365853658536586	0.5416666666666667
for Fluorescent Lamps  InstantStart and ColdCathode Types  Dimensional and Electrical Characterstics 	0.5	0.5384615384615384	0.42105263157894735	0.4	0.5
for Fluorescent Lamps  RapidStart Types  Dimensional and Electrical Characteristics	0.5483870967741935	0.5384615384615384	0.42105263157894735	0.4	0.5555555555555556
An Evaluation of Residential CFL HoursofUse Methodologies and Estimates Recommendations for Evaluators and Program Managers	0.53125	0.4473684210526315	0.41025641025641024	0.3902439024390244	0.6333333333333333
nan	0.8947368421052632	0.935483870967742	0.9411764705882353	0.9473684210526316	0.8461538461538461
