	Comments submitted to OSHA docket S029 Exhibit 314 by	Institute of Electrical and Electronics Engineers IEEE Standard for Fall Protection for Utility Work IEEE Standard 13072004 httpstandardsieeeorgreadingieeestdnumericalhtml accessed	Occupational Safety and Health Administration 29 CFR Part	Occupational Safety and Health Administration Fixed Ladders Used on Outdoor Advertising StructuresBillboards in the Outdoor Advertising Industry	Occupational Safety and Health Administration Preliminary Regulatory Impact and Regulatory Flexibility Analysis of Draft Subparts D and I of 29 CFR Part	0030 Machine Shops Turned Product and Screw Nut	Electric Lighting Equipment Manufacturing	Household Appliance Manufacturing 279213 163 1712962 371 63608 2015 1236 0001 0019 Professional and Commercial Equipment and Supplies Merchant Wholesalers	Accessories	0024 Lawn and Garden Equipment and Supplies Stores	0039 Sporting Goods Hobby and Musical Instrument Stores	0050 Electronic Shopping and MailOrder Houses 12662263 13335 949551 396 	0095 Deep Sea Coastal and Great Lakes Water Transportation 1019668 645 1580880 417 	Rural Bus Transportation	Employee Bus Transportation	0102 Other Transit and Ground Passenger Transportation	Support Activities for Air Transportation	Motion Picture and Video Industries	Television Broadcasting	Other Subscription Programming	0263 Data Processing Hosting and Related Services	Monetary Authorities  Central Bank	0005 Securities and Commodity Contracts Intermediation and Brokerage	0000 Agencies Brokerages and Other Insurance Related Activities	Pools and Funds	Offices of Real Estate Agents and Brokers	Activities Related to Real Estate	Automotive Equipment Rental and Leasing	0040 Commercial and Industrial Machinery and Equipment Rental and Leasing	Legal Services 73138890 164606 444327 852  37841 657652 400 0001 0011 Accounting Tax Preparation Bookkeeping and Payroll Services	Specialized Design Services 12493910 29234 427376 623  26635 138628 474 0001 0018 Computer Systems Design and Related Services	Scientific Research and Development	Home Health Care Services	Health Care Services	General Medical and Surgical Hospitals	Psychiatric and Substance Abuse Hospitals 103678 48 2159950 508  109669 210 437 0000 0004 Specialty except Psychiatric and Substance Abuse Hospitals 140371 130 1079779 508 	0013 Residential Mental Retardation Mental Health and Substance Abuse Facilities 1155914 4046 285693 508 	Facilities for the Elderly	Care Facilities	Individual and Family Services 8057734 27310 295047 508  14981 86180 316 0001 0021 Community Food and Housing and Emergency and Other Relief Services 3126011 6774 461472 508 	Vocational Rehabilitation Services	Care Services	0006 Promoters of Performing Arts Sports and Similar Events 2931291	Boarding Houses	0091 Electronic and Precision Equipment Repair and	Death Care Services	Grantmaking and Giving Services	receipts and payroll data from US Census Bureau Statistics of US Businesses	1 Discussions with Outdoor Amusement Business Association OABA staff indicate that very few office and multifamily residential buildings use fixed ladders greater than 20 feet in height A5 Based on this data ERG estimated that all 28906 estimated fixed ladders on lift towers are infrequently climbed A4 Communications Towers Radio Television Cellular and Microwave Virtually all communication towers have fixed ladders The Federal Communications Commission FCC Antenna Structure Registration Database lists 93000 registered Albee	Economic Census Manufacturing As downloaded from httpfactfindercensusgovservletIQRTablebmydsnameEC0200A1NAICS20023133langen on	As downloaded from ftpftpeiadoegovpubconsumptionresidential2001hctableshousingunithouseholdpdf on August 24	United States Environmental Protection Agency	As downloaded from httpwwwepagovsafewatercwssvrhtml on August 23	Telephone conversation between Joe Shefchik and Ayesha Berlind	Telephone conversation between Wendell Kido Chief Policy and Planning Division Sacramento County Regional Sanitation District and Ayesha Berlind	Telephone conversation between
2006 Performance And Accountability Report	0.8301886792452831	0.8722222222222222	0.7719298245614035	0.8541666666666666	0.8421052631578947	0.8085106382978723	0.9285714285714286	0.8506493506493507	0.8809523809523809	0.78	0.7636363636363637	0.8333333333333334	0.8192771084337349	0.8095238095238095	0.8333333333333334	0.6666666666666666	0.9047619047619048	0.8095238095238095	0.8571428571428571	0.8571428571428571	0.7755102040816326	0.8809523809523809	0.75	0.746031746031746	0.8095238095238095	0.8809523809523809	0.8333333333333334	0.8571428571428571	0.7671232876712328	0.8449612403100775	0.8888888888888888	0.8571428571428571	0.8571428571428571	0.8809523809523809	0.8333333333333334	0.8953488372093024	0.819047619047619	0.8571428571428571	0.7857142857142857	0.8850574712643678	0.8571428571428571	0.8809523809523809	0.7164179104477612	0.8333333333333334	0.7	0.8571428571428571	0.8095238095238095	0.8266666666666667	0.9320754716981132	0.8571428571428571	0.8317757009345794	0.8666666666666667	0.875	0.8064516129032258	0.8402777777777778	0.7857142857142857
Community Water System Survey 2000	0.7358490566037735	0.9055555555555556	0.8245614035087719	0.8611111111111112	0.868421052631579	0.8297872340425532	0.8536585365853658	0.9025974025974026	0.8823529411764706	0.78	0.8363636363636363	0.8611111111111112	0.7951807228915663	0.8823529411764706	0.8529411764705882	0.8518518518518519	0.8780487804878049	0.8571428571428571	0.9117647058823529	0.9411764705882353	0.8163265306122449	0.8235294117647058	0.7941176470588235	0.7936507936507936	0.8529411764705882	0.8780487804878049	0.8529411764705882	0.8205128205128205	0.8082191780821918	0.9069767441860465	0.873015873015873	0.8571428571428571	0.7352941176470589	0.7352941176470589	0.9210526315789473	0.8895348837209303	0.8380952380952381	0.7941176470588235	0.8529411764705882	0.8563218390804598	0.8823529411764706	0.7647058823529411	0.7910447761194029	0.8529411764705882	0.84	0.7352941176470589	0.7941176470588235	0.8266666666666667	0.9471698113207547	0.8333333333333334	0.8785046728971962	0.8222222222222222	0.828125	0.8225806451612904	0.8819444444444444	0.8823529411764706
Handbook for Manufacturing Safer Consumer Products Chinese	0.896551724137931	0.8277777777777777	0.8448275862068966	0.7916666666666666	0.8355263157894737	0.7586206896551724	0.8103448275862069	0.7727272727272727	0.8793103448275862	0.8103448275862069	0.8620689655172413	0.8472222222222222	0.8313253012048193	0.8275862068965517	0.8275862068965517	0.8103448275862069	0.7931034482758621	0.6896551724137931	0.8275862068965517	0.7586206896551724	0.7931034482758621	0.8103448275862069	0.8235294117647058	0.7777777777777778	0.8448275862068966	0.8103448275862069	0.8275862068965517	0.8103448275862069	0.7808219178082192	0.8449612403100775	0.8571428571428571	0.8275862068965517	0.7586206896551724	0.7931034482758621	0.7931034482758621	0.877906976744186	0.8380952380952381	0.8275862068965517	0.8448275862068966	0.8735632183908046	0.7931034482758621	0.8448275862068966	0.7910447761194029	0.8103448275862069	0.8620689655172413	0.8103448275862069	0.7413793103448276	0.76	0.9113207547169812	0.7698412698412699	0.8130841121495327	0.7758620689655172	0.859375	0.8548387096774194	0.8055555555555556	0.8275862068965517
Regulatory Reform of the US Manufacturing Sector	0.8867924528301887	0.85	0.7543859649122807	0.8263888888888888	0.8223684210526315	0.8541666666666666	0.6875	0.8571428571428571	0.8958333333333334	0.82	0.7454545454545455	0.8611111111111112	0.8313253012048193	0.7916666666666666	0.7708333333333334	0.8148148148148148	0.8125	0.8125	0.7708333333333334	0.8333333333333334	0.8571428571428571	0.75	0.7941176470588235	0.8095238095238095	0.8541666666666666	0.7916666666666666	0.7916666666666666	0.7916666666666666	0.821917808219178	0.8527131782945736	0.873015873015873	0.8125	0.8125	0.7916666666666666	0.8333333333333334	0.8895348837209303	0.8095238095238095	0.75	0.8333333333333334	0.8735632183908046	0.8125	0.8541666666666666	0.7761194029850746	0.875	0.9	0.7916666666666666	0.8125	0.76	0.9320754716981132	0.8492063492063492	0.8317757009345794	0.8541666666666666	0.828125	0.7903225806451613	0.8263888888888888	0.7916666666666666
1999 Building activities Compare activities by number of buildings	0.8333333333333334	0.8222222222222222	0.8636363636363636	0.7847222222222222	0.7960526315789473	0.803030303030303	0.7727272727272727	0.8311688311688312	0.8787878787878788	0.8181818181818182	0.7575757575757576	0.8888888888888888	0.8192771084337349	0.8333333333333334	0.8484848484848485	0.8333333333333334	0.6818181818181818	0.7575757575757576	0.8333333333333334	0.803030303030303	0.8181818181818182	0.7727272727272727	0.8088235294117647	0.803030303030303	0.8636363636363636	0.803030303030303	0.7272727272727273	0.7878787878787878	0.7945205479452054	0.8527131782945736	0.8333333333333334	0.803030303030303	0.803030303030303	0.8181818181818182	0.8333333333333334	0.8604651162790697	0.780952380952381	0.7272727272727273	0.8181818181818182	0.8563218390804598	0.7878787878787878	0.8636363636363636	0.8955223880597015	0.8484848484848485	0.7424242424242424	0.8181818181818182	0.7878787878787878	0.8133333333333334	0.9075471698113208	0.8015873015873016	0.794392523364486	0.803030303030303	0.8484848484848485	0.8333333333333334	0.8194444444444444	0.803030303030303
2002 Economic Census	0.9056603773584906	0.9277777777777778	0.8947368421052632	0.9236111111111112	0.9210526315789473	0.7872340425531915	0.8536585365853658	0.9025974025974026	0.8	0.82	0.8	0.8333333333333334	0.9036144578313253	0.9583333333333334	0.9259259259259259	0.8333333333333334	0.8292682926829268	0.8	0.8695652173913043	0.8666666666666667	0.8163265306122449	0.7941176470588235	0.8235294117647058	0.8253968253968254	0.8	0.8536585365853658	0.8787878787878788	0.8205128205128205	0.863013698630137	0.9069767441860465	0.9206349206349206	0.8857142857142857	0.84	0.95	0.8157894736842105	0.9302325581395349	0.9047619047619048	0.9230769230769231	0.8	0.9252873563218391	0.8529411764705882	0.75	0.8208955223880597	0.8	0.78	0.95	0.8387096774193549	0.8533333333333334	0.9679245283018868	0.9047619047619048	0.8878504672897196	0.8222222222222222	0.890625	0.8709677419354839	0.9166666666666666	0.8
Alternating tread type stair is approved as safe for use	0.8392857142857143	0.8277777777777777	0.8245614035087719	0.7777777777777778	0.7960526315789473	0.7678571428571429	0.8035714285714286	0.8181818181818182	0.875	0.7857142857142857	0.8392857142857143	0.8333333333333334	0.7831325301204819	0.8214285714285714	0.8392857142857143	0.8571428571428571	0.8035714285714286	0.7678571428571429	0.8214285714285714	0.8214285714285714	0.7678571428571429	0.8035714285714286	0.75	0.8095238095238095	0.8928571428571429	0.75	0.7321428571428571	0.7678571428571429	0.7671232876712328	0.8372093023255814	0.8333333333333334	0.7321428571428571	0.7678571428571429	0.8035714285714286	0.7678571428571429	0.8488372093023255	0.7714285714285715	0.8035714285714286	0.8571428571428571	0.867816091954023	0.7678571428571429	0.8392857142857143	0.8208955223880597	0.8392857142857143	0.8392857142857143	0.8035714285714286	0.7678571428571429	0.7733333333333333	0.909433962264151	0.8095238095238095	0.7850467289719626	0.7857142857142857	0.796875	0.7903225806451613	0.7916666666666666	0.8214285714285714
Application of Gannett Outdoor Companies for a Variance Concerning Fixed Ladders	0.8375	0.7888888888888889	0.725	0.7638888888888888	0.7828947368421053	0.7875	0.8	0.7857142857142857	0.8875	0.775	0.8	0.875	0.8674698795180723	0.8375	0.8	0.7875	0.775	0.7625	0.85	0.825	0.7875	0.775	0.7875	0.775	0.875	0.75	0.8	0.7875	0.8125	0.8062015503875969	0.7936507936507936	0.8125	0.8125	0.8375	0.825	0.8372093023255814	0.7904761904761904	0.8125	0.875	0.8218390804597702	0.7625	0.875	0.8375	0.8875	0.775	0.8375	0.7875	0.775	0.8849056603773585	0.7936507936507936	0.794392523364486	0.7875	0.8	0.775	0.7430555555555556	0.8
Changes to the Chemical Accident Prevention Rule Risk Management Program in 2004	0.8125	0.7944444444444444	0.825	0.7708333333333334	0.7894736842105263	0.8	0.7875	0.8311688311688312	0.9	0.8125	0.8	0.8625	0.8554216867469879	0.8625	0.8375	0.7875	0.775	0.8	0.85	0.7625	0.7875	0.775	0.8375	0.825	0.8875	0.7375	0.825	0.7625	0.8125	0.8372093023255814	0.8492063492063492	0.8	0.8375	0.85	0.7875	0.8197674418604651	0.7714285714285715	0.85	0.8625	0.8333333333333334	0.8125	0.875	0.825	0.8875	0.7125	0.85	0.8	0.825	0.8867924528301887	0.8253968253968254	0.794392523364486	0.775	0.85	0.75	0.75	0.8
Circumstances under which installation of fixed industrial stairs with a slope between 50 degrees and 70 degrees from the horizontal would be considered a de minimis violation	0.8514285714285714	0.8166666666666667	0.8228571428571428	0.7485714285714286	0.7885714285714286	0.8514285714285714	0.8628571428571429	0.8285714285714286	0.9428571428571428	0.8514285714285714	0.84	0.8457142857142858	0.8	0.8857142857142857	0.8857142857142857	0.8228571428571428	0.8571428571428571	0.8628571428571429	0.8971428571428571	0.8857142857142857	0.84	0.8685714285714285	0.8057142857142857	0.8057142857142857	0.9257142857142857	0.8342857142857143	0.8685714285714285	0.8571428571428571	0.7485714285714286	0.8171428571428572	0.8	0.8628571428571429	0.8971428571428571	0.9142857142857143	0.8514285714285714	0.8685714285714285	0.7828571428571428	0.8742857142857143	0.9257142857142857	0.8857142857142857	0.8685714285714285	0.9371428571428572	0.8285714285714286	0.9314285714285714	0.84	0.92	0.8742857142857143	0.7885714285714286	0.7886792452830189	0.8171428571428572	0.8057142857142857	0.8457142857142858	0.8114285714285714	0.7885714285714286	0.7485714285714286	0.8685714285714285
