	What determines the value of a life A Meta Analysis	IX17 61 million The range of this factor also shifts rightwards from 1 to 10 million to 16 to 106 million Figure IX4 Normal Distribution for Cost Per Fatalities M	Hyundai Accent 4door Car	Sentra 4door Car	Hyundai Azera 4door Car	Versa 5door Car	Volkswagen Jetta 4door Car	Dodge Caliber 4door Car	Hyundai Sonata 4door Car	Carlo 2door Car	Volkswagen New GTI 3door Car	Five Hundred 4door Car	Fit 5door Car	Volkswagen New Beetle 3door Car	Volvo S80 4door Car	Toyota Prius 5door Car	Pontiac G6 4door Car	Focus 4door Car	Accord 4door Car	Mazda Mazda3 4door Car	BMW 3Series 4door Car	Acura RL 4door Car	Dodge Charger 4door Car	Kia Spectra 4door Car	Saturn Ion 4door Car	BMW 5Series 4door Car	Chrysler 300 4door Car	Buick Lucerne 4door Car	Infiniti EX35 Stationwagon Car	Hyundai Elantra 4door Car	Chevrolet Aveo 4door Car	Subaru Legacy 4door Car	Volkswagen Passat 4door Car	Toyota Avalon 4door Car	Cadillac STS 4door Car	Fusion 4door Car	Lexus ES 4door Car	Matrix 5door Car	Hyundai Santa Fe SUV	Kia Sportage SUV	Toyota RAV4 SUV	Toyota 4Runner SUV	Vitara	Saturn Vue SUV	Expedition EL	Chevrolet 1500 Suburban SUV	Subaru Tribeca SUV	Mazda CX9 SUV	Cadillac Escalade SUV	Saturn Outlook SUV	Chevrolet 1500 Avalanche SUV 2010 923	Ford E250 Cargo Van
The Economic Impact of Motor Vehicle Crashes 2000	0.8235294117647058	0.8395061728395061	0.7755102040816326	0.7959183673469388	0.7959183673469388	0.8163265306122449	0.8367346938775511	0.8163265306122449	0.7755102040816326	0.8367346938775511	0.8571428571428571	0.8163265306122449	0.8163265306122449	0.8163265306122449	0.8163265306122449	0.7755102040816326	0.7551020408163265	0.8163265306122449	0.8163265306122449	0.8367346938775511	0.8163265306122449	0.8163265306122449	0.8163265306122449	0.7755102040816326	0.7959183673469388	0.8163265306122449	0.8163265306122449	0.8163265306122449	0.8367346938775511	0.7755102040816326	0.7755102040816326	0.7959183673469388	0.8163265306122449	0.7551020408163265	0.8163265306122449	0.8163265306122449	0.8163265306122449	0.8367346938775511	0.8367346938775511	0.8367346938775511	0.8571428571428571	0.8367346938775511	0.9183673469387755	0.8775510204081632	0.8979591836734694	0.8367346938775511	0.8571428571428571	0.9183673469387755	0.8367346938775511	0.8775510204081632	0.8367346938775511	0.8571428571428571
Light Vehicle Rear Visibility Assessment	0.7647058823529411	0.8580246913580247	0.9	0.9	0.9	0.875	0.875	0.85	0.9	0.9	0.9	0.875	0.85	0.875	0.9	0.875	0.875	0.9	0.925	0.9	0.875	0.9	0.85	0.85	0.9	0.875	0.85	0.85	0.9	0.9	0.85	0.9	0.85	0.875	0.875	0.925	0.875	0.9	0.85	0.875	0.875	0.9	0.9	0.9	0.9	0.825	0.875	0.925	0.825	0.9	0.9	0.85
NotinTraffic Surveillance	0.8431372549019608	0.9012345679012346	0.92	0.8	0.92	0.88	0.9615384615384616	0.88	0.96	0.88	0.9285714285714286	0.92	0.88	0.9032258064516129	0.88	0.88	0.8	0.88	0.88	0.88	0.92	0.84	0.88	0.92	0.84	0.92	0.92	0.96	0.8	0.96	1.0	0.92	0.9259259259259259	0.88	0.84	0.88	0.92	0.8	0.8	0.84	0.88	0.84	0.84	0.8	0.92	0.8888888888888888	0.88	0.88	0.84	0.84	0.8378378378378378	0.8
S REP 110275 and S Rep No 275	0.8431372549019608	0.9197530864197531	0.896551724137931	0.8620689655172413	0.896551724137931	0.8620689655172413	0.896551724137931	0.896551724137931	0.896551724137931	0.8620689655172413	0.896551724137931	0.8620689655172413	0.8620689655172413	0.9032258064516129	0.8275862068965517	0.896551724137931	0.8620689655172413	0.896551724137931	0.896551724137931	0.8275862068965517	0.896551724137931	0.8620689655172413	0.8620689655172413	0.8620689655172413	0.8620689655172413	0.8620689655172413	0.896551724137931	0.8620689655172413	0.9	0.8620689655172413	0.896551724137931	0.8620689655172413	0.896551724137931	0.896551724137931	0.8620689655172413	0.896551724137931	0.8620689655172413	0.896551724137931	0.8275862068965517	0.8620689655172413	0.8620689655172413	0.8620689655172413	0.9655172413793104	0.8275862068965517	0.896551724137931	0.8620689655172413	0.8620689655172413	0.8620689655172413	0.896551724137931	0.8620689655172413	0.7837837837837838	0.7931034482758621
Vehicle Survivability and Travel Mileage Schedules Technical Report	0.7910447761194029	0.8333333333333334	0.835820895522388	0.8656716417910447	0.835820895522388	0.8507462686567164	0.8208955223880597	0.835820895522388	0.835820895522388	0.8805970149253731	0.8208955223880597	0.8059701492537313	0.8805970149253731	0.7910447761194029	0.8656716417910447	0.8507462686567164	0.8805970149253731	0.8805970149253731	0.8805970149253731	0.835820895522388	0.8656716417910447	0.8507462686567164	0.8507462686567164	0.835820895522388	0.8507462686567164	0.8656716417910447	0.8507462686567164	0.835820895522388	0.8507462686567164	0.8208955223880597	0.8059701492537313	0.8208955223880597	0.8208955223880597	0.8507462686567164	0.8507462686567164	0.8805970149253731	0.8805970149253731	0.8656716417910447	0.835820895522388	0.8656716417910447	0.9253731343283582	0.9104477611940298	0.9104477611940298	0.8805970149253731	0.9104477611940298	0.835820895522388	0.8208955223880597	0.9104477611940298	0.835820895522388	0.8805970149253731	0.7910447761194029	0.8955223880597015
A Suggested Approach for Discounting the Benefits and Costs of Environmental Regulation	0.7471264367816092	0.7962962962962963	0.8275862068965517	0.8620689655172413	0.8505747126436781	0.8850574712643678	0.8505747126436781	0.8505747126436781	0.8390804597701149	0.8850574712643678	0.8620689655172413	0.8620689655172413	0.896551724137931	0.8275862068965517	0.8850574712643678	0.8390804597701149	0.8620689655172413	0.8735632183908046	0.8735632183908046	0.8850574712643678	0.8620689655172413	0.8620689655172413	0.8390804597701149	0.8735632183908046	0.8505747126436781	0.8620689655172413	0.8735632183908046	0.8390804597701149	0.8275862068965517	0.8505747126436781	0.8505747126436781	0.8390804597701149	0.8620689655172413	0.8505747126436781	0.8735632183908046	0.8620689655172413	0.8850574712643678	0.8850574712643678	0.8735632183908046	0.9080459770114943	0.9310344827586207	0.896551724137931	0.9425287356321839	0.9195402298850575	0.9080459770114943	0.8850574712643678	0.8850574712643678	0.9425287356321839	0.8850574712643678	0.896551724137931	0.8850574712643678	0.896551724137931
Driver Performance Evaluations of Two Rear Parking Aids	0.7454545454545455	0.8271604938271605	0.8363636363636363	0.8181818181818182	0.8363636363636363	0.8181818181818182	0.8181818181818182	0.7636363636363637	0.8181818181818182	0.8363636363636363	0.8363636363636363	0.7818181818181819	0.8545454545454545	0.8363636363636363	0.8363636363636363	0.8	0.7818181818181819	0.8181818181818182	0.8363636363636363	0.8181818181818182	0.8181818181818182	0.8363636363636363	0.8	0.8	0.8	0.8181818181818182	0.8363636363636363	0.7818181818181819	0.8181818181818182	0.7818181818181819	0.7818181818181819	0.8	0.7818181818181819	0.7454545454545455	0.8363636363636363	0.8181818181818182	0.8181818181818182	0.8545454545454545	0.8727272727272727	0.8727272727272727	0.9090909090909091	0.8545454545454545	0.9090909090909091	0.8909090909090909	0.8909090909090909	0.8181818181818182	0.8727272727272727	0.9272727272727272	0.8545454545454545	0.8363636363636363	0.7818181818181819	0.8363636363636363
The  Danger to Young Pedestrians from Reversing Motor Vehicles 18th  International Technical Conference on the Enhanced Safety of  Vehicles	0.7697841726618705	0.7839506172839507	0.8920863309352518	0.9136690647482014	0.8992805755395683	0.920863309352518	0.8920863309352518	0.8920863309352518	0.8848920863309353	0.920863309352518	0.8992805755395683	0.9064748201438849	0.935251798561151	0.8705035971223022	0.920863309352518	0.8920863309352518	0.9064748201438849	0.9280575539568345	0.935251798561151	0.9136690647482014	0.9136690647482014	0.920863309352518	0.8992805755395683	0.9064748201438849	0.8992805755395683	0.9136690647482014	0.9136690647482014	0.9064748201438849	0.8633093525179856	0.8848920863309353	0.8848920863309353	0.9064748201438849	0.8848920863309353	0.8920863309352518	0.9136690647482014	0.920863309352518	0.920863309352518	0.920863309352518	0.8992805755395683	0.920863309352518	0.920863309352518	0.8992805755395683	0.9568345323741008	0.920863309352518	0.935251798561151	0.8848920863309353	0.9136690647482014	0.9424460431654677	0.8992805755395683	0.9064748201438849	0.8561151079136691	0.920863309352518
nan	0.9411764705882353	0.9814814814814815	0.875	0.875	0.9130434782608695	0.9333333333333333	0.9230769230769231	0.9565217391304348	0.875	0.9333333333333333	0.9285714285714286	0.9090909090909091	0.9230769230769231	0.9354838709677419	0.9473684210526315	0.9545454545454546	0.9	0.9333333333333333	0.9375	0.9545454545454546	0.9523809523809523	0.9444444444444444	0.9565217391304348	0.9523809523809523	0.9	0.9523809523809523	0.9545454545454546	0.9130434782608695	0.9	0.88	0.9583333333333334	0.9565217391304348	0.9259259259259259	0.9130434782608695	0.9545454545454546	0.875	0.9444444444444444	0.9375	0.85	0.9375	0.9333333333333333	0.8888888888888888	0.8333333333333334	0.8571428571428571	0.9230769230769231	0.9259259259259259	0.9444444444444444	0.9230769230769231	0.9523809523809523	0.8888888888888888	0.9459459459459459	0.8947368421052632
Driver Performance Research into Systems for the Reduction of Backing Incidents at General Motors	0.6907216494845361	0.7530864197530864	0.8556701030927835	0.8865979381443299	0.865979381443299	0.8865979381443299	0.8556701030927835	0.845360824742268	0.8556701030927835	0.8969072164948454	0.8556701030927835	0.8556701030927835	0.9072164948453608	0.8350515463917526	0.8865979381443299	0.865979381443299	0.865979381443299	0.8969072164948454	0.8865979381443299	0.8969072164948454	0.865979381443299	0.8865979381443299	0.845360824742268	0.8556701030927835	0.8762886597938144	0.865979381443299	0.865979381443299	0.8556701030927835	0.8247422680412371	0.865979381443299	0.845360824742268	0.865979381443299	0.845360824742268	0.8762886597938144	0.8762886597938144	0.8969072164948454	0.8865979381443299	0.8969072164948454	0.8762886597938144	0.8865979381443299	0.9278350515463918	0.8865979381443299	0.9484536082474226	0.9278350515463918	0.9278350515463918	0.8865979381443299	0.9175257731958762	0.9484536082474226	0.8969072164948454	0.8969072164948454	0.865979381443299	0.9072164948453608
