	Clash in Alabama Over Tennessee Coal Ash” The New York Times	Plantbyplant disaggregated data comparison to statewide benchmarks	Statebystate aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3 On a plantbyplant basis EPA compared the plant ZCTA percentage children to the respective statewide average percentage children Step 4 For purpose of summary EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below There are no data displayed for DC ID RI or VT because there are no coalfired electric utility plants in those states	administration and enforcement costs to RCRAauthorized state government programsagencies Consistent with the “direct cost” scope of EO 13132 not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA EPA’s 2008 guidance194 for compliance with EO 13132 describes two numerical methods ie numerical tests for evaluating whether an EPA rule may have federalism implications with respect to “substantial direct compliance costs”	25 million test Annualized direct compliance cost expenditures to statelocal governments	1 test Annualized direct compliance costs faced by statelocal governments is likely to equal or exceed 1 of their annual revenues  Note Page 29 of “Attachment A Guidance for Implementing the Federalism 1 Test” to EPA’s Nov	Private sector 100 million direct cost threshold test	Statelocal government 100 million direct cost threshold test	25 million threshold test subtotal StateLocal govt cost 967	Statelocal govt cost as percentage of StateLocal government electric utility annual revenues	227 0131 0215 Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plantbyplant internet research on type of ownership Size class determined according to the following numerical criteria consistent with EPA’s
Form EIA860 Annual Electric Generator Report Existing Electric Generating Units in the United States 2005	0.7209302325581395	0.5555555555555556	0.5142857142857142	0.5102040816326531	0.4901960784313726	0.3939393939393939	0.5	0.5588235294117647	0.48484848484848486	0.4444444444444444	0.5428571428571429	0.4782608695652174
GDP Calculator	0.8	0.6799999999999999	0.7307692307692308	0.7441860465116279	0.7916666666666666	0.6923076923076923	0.7674418604651163	0.6363636363636364	0.7083333333333333	0.7241379310344828	0.6666666666666667	0.7560975609756098
Guidelines and Discount Rates for BenefitCost Analysis of Federal Programs	0.6756756756756757	0.4666666666666667	0.5161290322580645	0.4772727272727273	0.5800000000000001	0.4838709677419355	0.5333333333333333	0.5172413793103448	0.5333333333333333	0.5714285714285714	0.4482758620689655	0.5116279069767442
Human and Ecological Risk Assessment of Coal Combustion Wastes	0.6176470588235294	0.48275862068965514	0.48275862068965514	0.5227272727272727	0.5918367346938775	0.5	0.5777777777777777	0.5862068965517242	0.5517241379310345	0.5454545454545454	0.5172413793103448	0.5238095238095238
Industrial Production Capacity Utilization	0.7352941176470589	0.46153846153846156	0.5185185185185186	0.6136363636363636	0.6170212765957447	0.4814814814814815	0.6046511627906976	0.52	0.5925925925925926	0.625	0.5	0.5853658536585367
Introduction to the Hazard Ranking System	0.6857142857142857	0.40740740740740744	0.34615384615384615	0.5454545454545454	0.5833333333333333	0.48275862068965514	0.5681818181818181	0.5185185185185186	0.42307692307692313	0.4838709677419355	0.4444444444444444	0.5476190476190477
NAICS  North American Industrial Classification System	0.5625	0.4642857142857143	0.40740740740740744	0.47619047619047616	0.5531914893617021	0.48275862068965514	0.5348837209302326	0.46153846153846156	0.42307692307692313	0.4838709677419355	0.3846153846153846	0.5121951219512195
National Seismic Hazard Maps	0.65625	0.46153846153846156	0.4	0.6444444444444444	0.6734693877551021	0.42307692307692313	0.6363636363636364	0.45833333333333337	0.41666666666666663	0.5333333333333333	0.43999999999999995	0.6190476190476191
OMB Circular A4	0.7241379310344828	0.7857142857142857	0.7857142857142857	0.75	0.7708333333333334	0.7037037037037037	0.8260869565217391	0.76	0.7692307692307692	0.7741935483870968	0.7307692307692308	0.7619047619047619
Plant managers conference slide presentation	0.6774193548387097	0.2727272727272727	0.34782608695652173	0.5952380952380952	0.6304347826086957	0.375	0.5853658536585367	0.33333333333333337	0.36363636363636365	0.5	0.31818181818181823	0.5641025641025641
