	Analysis of Piping Replacement Thresholds Appendix D Methodology for Calculating Compliance Costs Appendix E Access Model Structure and Specifications Appendix F Analysis of Statistical Relationship between State Regulatory Programs and Confirmed Release Data Appendix G Expert Consultation Selection and Data Collection Methodology Appendix H Expert Consultation Responses Appendix I Methodology for Calculating Avoided Cleanup Costs Appendix J Estimation of Future UST System and Release Universes for the Alternative 62 United States Department of Health and Human Services Public Health Service Agency for Toxic Substances and Disease Registry “Toxicological Profile for Polycyclic Aromatic Hydrocarbons”	Sources Cited quot2005 US Motor Fuel Station Count 168987quot	Association of State and Territorial Solid Waste Management Officials State Fund Survey Results	Committee on Vehicle Emission Inspection and Maintenance Programs Evaluating Vehicle Emissions Inspection and Maintenance Programs	Analyzing Gasoline Demand Elasticities A Survey” Energy Economics	Petroleum Hydrocarbon Vapor Intrusion Investigations Current General Practice” Leaking Underground Storage Tanks	memoranda and analyses submitted under Contract EPW05018 “US Environmental Protection Agency Underground Storage TanksLeaking Underground Storage Tanks Analytical and Technical Support” Eckert Andrew and	Methodology Statement ESRI Data—Business Locations and Business Summary” httpwwwesricomlibrarywhitepaperspdfsinfousabusinessdatabasepdf ICF quotEconomic Impact Analysis of Additional Mechanisms for Local Government Entities to Demonstrate Financial Responsibility for Underground Storage Tanksquot	Executive Order 12866 “Regulatory Planning and Review”	The Economics of Price Zones and Territorial Restrictions in Gasoline Marketing” Federal Trade Commission	The Measurement of Environmental and Resource Values Theory and Methods Resources for the Future	Determinants of Storelevel Price Elasticity”	Approaches to Assessing the Benefits Costs	Detailed Assessment of UST Universe by Tank Purpose and Designquot Work Assignment 125 Task 6	Methodology for Secondary Containment for Pipingquot Work Assignment 119 Task 5	Methodology to Estimate Avoided Costs Associated with a Typical UST Leakquot	Preliminary Assessment and Scoping of Data Related to Potential Revisions to the UST Regulations” Work Assignment 125 Tasks	Entities Screening Analysis of UST Universe by Industry Sector” Work Assignment 325 Task 4	The Economics of Gasoline Retailing Petroleum Distribution and Retailing Issues in the USquot	MarketFacts	National Association of Convenience Stores	of Convenience Stores “Consumer Fuels Report” February 2008 as cited in “Testimony of Bill Douglass Douglass Distributing Company	of Convenience Stores “How do retailers get – and sell – gasoline”	of Convenience Stores “Who sells gasoline in the United States”	Department of Environmental Services quotUnderground Storage Tank Programquot	Benzene toxicity and risk assessment 19721992 implications for future regulation” Environ Health Perspect	A Preliminary Meta Analysis of Contingent Values for Ground Water Revisited” In The Economic Value of Water Quality	MarketFacts 2008quot National Petroleum News Rhode Island Department of Environmental Management Underground Storage Tank Environmental Results Program Final Report Tables IIV Risk Management Association Statement Studies Sector 447	Risk Analysis to Support Revisions to Underground Storage Tank UST Regulations”	Distributing Company on behalf of the National Association of Convenience Stores before the House Judiciary Committee AntiTrust Task Force Hearing to Examine the Consumer Effects of Rising Gas Prices	of Labor Statistics quotEmployer Costs for Employee Compensationquot	Bureau of Labor Statistics quotOccupational Employment and Wagesquot	of Transportation Statistics “Sales Price of Transportation Fuel to EndUsers in National Transportation Statistics	Economic Census Retail Trade Industry Series Gasoline Stations	Industry Statistics Sampler NAICS 447 Geographic Distribution Gasoline Stations	of Health and Human Services Public Health Service Agency for Toxic Substances and Disease Registry “Toxicological Profile for Polycyclic Aromatic Hydrocarbons”	Environmental Protection Agency “ERP States Produce Results”	Environmental Protection Agency Office of Underground Storage Tanks “Evaluation of Releases from New and Upgraded Underground Storage Tank Systems peer review draft”	Environmental Protection Agency Office of Underground Storage Tanks “Petroleum Releases at Underground Storage Tank Facilities in Florida”	Environmental Protection Agency Office of Underground Storage Tanks	Environmental Protection Agency quotRegulatory Impact Analysis of Technical Standards for Underground Storage Tanksquot	Environmental Protection Agency quotStatus of State Fund Programsquot accessed on September 9 2010 httpwwwepagovouststatesfndstatushtm US Environmental Protection Agency “Summary of the updated Regulatory Impact Analysis RIA for the Reconsideration of the 2008 Ozone National Ambient Air Quality Standard NAAQSquot US Environmental Protection Agency quotUnderground Storage Tanks Technical and Financial Requirements and State Program Approval Proceduresquot Supporting Statement for EPA Information Collection Request Number 136008	Revenue Service SOI TaxStats Table 7 Corporation Returns with Net Income for 2007 Accessible online at httpwwwirsgovtaxstatsarticle0id17069300html	US Office of Management and Budget Circular No A76	Office of Management and Budget Circular No A94 Revised	of Environmental Quality quotUnderground Storage Tank Programquot	of Environmental Conservation	Underground Storage Tank FieldBased Research Project Report Submitted to the California State Water Resources Control Board under contract to the
US Petroleum Industry Statistics Definitions	0.3538461538461538	0.375	0.276595744680851	0.28888888888888886	0.276595744680851	0.2962962962962963	0.4	0.3650793650793651	0.43999999999999995	0.4	0.28888888888888886	0.2093023255813954	0.42105263157894735	0.28301886792452835	0.3076923076923077	0.3877551020408163	0.2857142857142857	0.3090909090909091	0.18367346938775508	0.6	0.3157894736842105	0.34545454545454546	0.37777777777777777	0.33333333333333337	0.19148936170212771	0.38181818181818183	0.34545454545454546	0.3548387096774194	0.34782608695652173	0.33333333333333337	0.2558139534883721	0.276595744680851	0.26086956521739135	0.2093023255813954	0.26530612244897955	0.28301886792452835	0.276595744680851	0.3090909090909091	0.28301886792452835	0.19148936170212771	0.21568627450980393	0.42028985507246375	0.4137931034482759	0.30434782608695654	0.36170212765957444	0.24444444444444446	0.33333333333333337	0.2941176470588235
Underground Storage Tank FieldBased Research Project Report	0.3623188405797102	0.3846153846153846	0.2941176470588235	0.30612244897959184	0.4117647058823529	0.31034482758620685	0.34375	0.31343283582089554	0.4444444444444444	0.2962962962962963	0.30612244897959184	0.44680851063829785	0.33333333333333337	0.33333333333333337	0.2857142857142857	0.3207547169811321	0.2666666666666667	0.38983050847457623	0.24528301886792447	0.5294117647058824	0.4285714285714286	0.3220338983050848	0.4285714285714286	0.34693877551020413	0.21568627450980393	0.35593220338983056	0.38983050847457623	0.303030303030303	0.24	0.2786885245901639	0.4042553191489362	0.33333333333333337	0.24	0.3191489361702128	0.3584905660377359	0.33333333333333337	0.33333333333333337	0.288135593220339	0.26315789473684215	0.2549019607843137	0.19999999999999996	0.36986301369863017	0.3870967741935484	0.36	0.37254901960784315	0.30612244897959184	0.5	0.09090909090909094
Where Has Our Petroleum Storage Capacity Gone	0.3529411764705882	0.4509803921568627	0.28	0.25	0.31999999999999995	0.26315789473684215	0.33333333333333337	0.3939393939393939	0.4339622641509434	0.3584905660377359	0.375	0.34782608695652173	0.31707317073170727	0.3571428571428571	0.23636363636363633	0.34615384615384615	0.3220338983050848	0.4137931034482759	0.3076923076923077	0.6363636363636364	0.36585365853658536	0.3793103448275862	0.375	0.33333333333333337	0.31999999999999995	0.3448275862068966	0.31034482758620685	0.4461538461538461	0.3877551020408163	0.2666666666666667	0.26086956521739135	0.24	0.3877551020408163	0.26086956521739135	0.23076923076923073	0.3214285714285714	0.31999999999999995	0.3448275862068966	0.3571428571428571	0.28	0.2962962962962963	0.41666666666666663	0.3770491803278688	0.34693877551020413	0.36	0.375	0.3846153846153846	0.2592592592592593
Methodology to Estimate Avoided Costs Associated with a Typical UST Leak	0.3142857142857143	0.4716981132075472	0.3076923076923077	0.28	0.34615384615384615	0.288135593220339	0.23076923076923073	0.23529411764705888	0.49090909090909096	0.34545454545454546	0.31999999999999995	0.41666666666666663	0.39534883720930236	0.3448275862068966	0.26315789473684215	0.03703703703703709	0.3114754098360656	0.33333333333333337	0.37037037037037035	0.6	0.39534883720930236	0.4	0.4	0.36	0.2692307692307693	0.4	0.33333333333333337	0.31343283582089554	0.2941176470588235	0.29032258064516125	0.33333333333333337	0.34615384615384615	0.4117647058823529	0.33333333333333337	0.33333333333333337	0.3793103448275862	0.34615384615384615	0.2666666666666667	0.31034482758620685	0.23076923076923073	0.2142857142857143	0.3513513513513513	0.3650793650793651	0.37254901960784315	0.3846153846153846	0.31999999999999995	0.41463414634146345	0.3214285714285714
Phone conversation and email from Lynne Smith Geologist VA DEQ and Russ Ellison VA DEQ	0.28767123287671237	0.5	0.23636363636363633	0.24528301886792447	0.19999999999999996	0.29032258064516125	0.32352941176470584	0.2676056338028169	0.3793103448275862	0.31034482758620685	0.2075471698113207	0.2549019607843137	0.3913043478260869	0.3114754098360656	0.30000000000000004	0.29824561403508776	0.25	0.33333333333333337	0.19298245614035092	0.6842105263157895	0.34782608695652173	0.33333333333333337	0.39622641509433965	0.3584905660377359	0.23636363636363633	0.33333333333333337	0.17460317460317465	0.2857142857142857	0.33333333333333337	0.19999999999999996	0.2941176470588235	0.2727272727272727	0.37037037037037035	0.2549019607843137	0.26315789473684215	0.21311475409836067	0.19999999999999996	0.2698412698412699	0.24590163934426235	0.19999999999999996	0.18644067796610164	0.35064935064935066	0.36363636363636365	0.37037037037037035	0.3090909090909091	0.24528301886792447	0.36363636363636365	0.3220338983050848
2009 NACS Convenience Store Industry Fact Book	0.42028985507246375	0.3076923076923077	0.33333333333333337	0.3877551020408163	0.37254901960784315	0.3793103448275862	0.40625	0.3731343283582089	0.4814814814814815	0.4814814814814815	0.3877551020408163	0.44680851063829785	0.38095238095238093	0.4035087719298246	0.3571428571428571	0.39622641509433965	0.4	0.35593220338983056	0.4716981132075472	0.5294117647058824	0.2857142857142857	0.3220338983050848	0.4285714285714286	0.4285714285714286	0.4117647058823529	0.38983050847457623	0.423728813559322	0.36363636363636365	0.36	0.34426229508196726	0.4042553191489362	0.4117647058823529	0.4	0.3191489361702128	0.3207547169811321	0.4385964912280702	0.37254901960784315	0.38983050847457623	0.368421052631579	0.33333333333333337	0.34545454545454546	0.34246575342465757	0.32258064516129037	0.36	0.2941176470588235	0.4285714285714286	0.44999999999999996	0.38181818181818183
Actions Concerning Regulations That Significantly Affect Energy Supply Distribution or Use	0.2571428571428571	0.4339622641509434	0.2692307692307693	0.31999999999999995	0.3076923076923077	0.3220338983050848	0.29230769230769227	0.23529411764705888	0.4545454545454546	0.34545454545454546	0.28	0.33333333333333337	0.2558139534883721	0.27586206896551724	0.26315789473684215	0.2592592592592593	0.24590163934426235	0.30000000000000004	0.18518518518518523	0.6571428571428571	0.3023255813953488	0.2666666666666667	0.4	0.31999999999999995	0.23076923076923073	0.4	0.30000000000000004	0.28358208955223885	0.2549019607843137	0.19354838709677424	0.20833333333333337	0.2692307692307693	0.2941176470588235	0.25	0.2222222222222222	0.24137931034482762	0.3076923076923077	0.2666666666666667	0.27586206896551724	0.23076923076923073	0.1785714285714286	0.32432432432432434	0.3015873015873016	0.33333333333333337	0.34615384615384615	0.31999999999999995	0.36585365853658536	0.2142857142857143
Consultation and Coordination With Indian Governments	0.4285714285714286	0.4347826086956522	0.33333333333333337	0.2093023255813954	0.33333333333333337	0.34615384615384615	0.4137931034482759	0.4098360655737705	0.5	0.375	0.3023255813953488	0.41463414634146345	0.38888888888888884	0.4117647058823529	0.36	0.4042553191489362	0.40740740740740744	0.39622641509433965	0.3191489361702128	0.6428571428571428	0.33333333333333337	0.4339622641509434	0.39534883720930236	0.3023255813953488	0.37777777777777777	0.4339622641509434	0.28301886792452835	0.4666666666666667	0.40909090909090906	0.38181818181818183	0.36585365853658536	0.37777777777777777	0.4545454545454546	0.2195121951219512	0.276595744680851	0.4117647058823529	0.37777777777777777	0.4716981132075472	0.4509803921568627	0.37777777777777777	0.34693877551020413	0.4925373134328358	0.3928571428571429	0.40909090909090906	0.33333333333333337	0.39534883720930236	0.23529411764705888	0.34693877551020413
Federalism	0.6603773584905661	0.5555555555555556	0.48571428571428577	0.5151515151515151	0.5428571428571429	0.6190476190476191	0.6666666666666667	0.6470588235294117	0.6842105263157895	0.5263157894736843	0.4545454545454546	0.5483870967741935	0.6153846153846154	0.6097560975609756	0.6	0.6216216216216216	0.6363636363636364	0.627906976744186	0.5675675675675675	0.4444444444444444	0.5384615384615384	0.5813953488372092	0.5757575757575757	0.5757575757575757	0.5428571428571429	0.627906976744186	0.627906976744186	0.64	0.5882352941176471	0.6	0.5483870967741935	0.5428571428571429	0.5294117647058824	0.4838709677419355	0.5675675675675675	0.6097560975609756	0.5428571428571429	0.627906976744186	0.5609756097560976	0.5428571428571429	0.5897435897435898	0.6842105263157895	0.6521739130434783	0.5882352941176471	0.5428571428571429	0.5757575757575757	0.41666666666666663	0.5384615384615384
Protection of Children From Environmental Health Risks and Safety Risks	0.30434782608695654	0.42307692307692313	0.2549019607843137	0.26530612244897955	0.33333333333333337	0.31034482758620685	0.34375	0.31343283582089554	0.40740740740740744	0.2222222222222222	0.18367346938775508	0.23404255319148937	0.38095238095238093	0.368421052631579	0.2857142857142857	0.3207547169811321	0.30000000000000004	0.35593220338983056	0.28301886792452835	0.5294117647058824	0.2857142857142857	0.3220338983050848	0.30612244897959184	0.30612244897959184	0.2549019607843137	0.288135593220339	0.288135593220339	0.33333333333333337	0.36	0.180327868852459	0.276595744680851	0.33333333333333337	0.31999999999999995	0.23404255319148937	0.3584905660377359	0.26315789473684215	0.2549019607843137	0.288135593220339	0.22807017543859653	0.21568627450980393	0.19999999999999996	0.34246575342465757	0.3870967741935484	0.4	0.33333333333333337	0.26530612244897955	0.25	0.23636363636363633
nan	0.9130434782608696	0.8620689655172413	0.8571428571428572	0.8461538461538461	0.8571428571428572	0.8857142857142857	0.9024390243902439	0.9090909090909091	0.8709677419354839	0.8709677419354839	0.8461538461538461	0.8333333333333334	0.7894736842105263	0.8823529411764706	0.8787878787878788	0.9333333333333333	0.8918918918918919	0.8888888888888888	0.8666666666666667	0.8181818181818181	0.7894736842105263	0.8888888888888888	0.8461538461538461	0.8461538461538461	0.8571428571428572	0.8888888888888888	0.8888888888888888	0.9069767441860466	0.8518518518518519	0.8947368421052632	0.8333333333333334	0.8571428571428572	0.8518518518518519	0.8333333333333334	0.8666666666666667	0.8823529411764706	0.8571428571428572	0.8888888888888888	0.8823529411764706	0.8571428571428572	0.875	0.92	0.8974358974358975	0.8518518518518519	0.8571428571428572	0.8461538461538461	0.7647058823529411	0.875
Regulatory Impact Analysis of Technical Standards for Underground Storage Tanks	0.2857142857142857	0.4339622641509434	0.1923076923076923	0.28	0.3076923076923077	0.2542372881355932	0.29230769230769227	0.23529411764705888	0.4545454545454546	0.3090909090909091	0.24	0.375	0.3023255813953488	0.24137931034482762	0.19298245614035092	0.2222222222222222	0.180327868852459	0.23333333333333328	0.18518518518518523	0.6	0.34883720930232553	0.30000000000000004	0.4	0.31999999999999995	0.1923076923076923	0.33333333333333337	0.2666666666666667	0.25373134328358204	0.17647058823529416	0.22580645161290325	0.29166666666666663	0.2692307692307693	0.2941176470588235	0.20833333333333337	0.2222222222222222	0.24137931034482762	0.2692307692307693	0.19999999999999996	0.2068965517241379	0.15384615384615385	0.0714285714285714	0.29729729729729726	0.2698412698412699	0.2941176470588235	0.3076923076923077	0.24	0.41463414634146345	0.1785714285714286
Summary of the updated Regulatory Impact Analysis RIA for the Reconsideration of the 2008 Ozone National Ambient Air Quality Standard NAAQS	0.33333333333333337	0.4137931034482759	0.26315789473684215	0.34545454545454546	0.33333333333333337	0.375	0.34285714285714286	0.34246575342465757	0.4	0.43333333333333335	0.34545454545454546	0.4339622641509434	0.375	0.33333333333333337	0.32258064516129037	0.38983050847457623	0.303030303030303	0.32307692307692304	0.288135593220339	0.7	0.375	0.2615384615384615	0.4545454545454546	0.4181818181818182	0.368421052631579	0.3538461538461538	0.32307692307692304	0.25	0.3571428571428571	0.28358208955223885	0.3207547169811321	0.26315789473684215	0.3928571428571429	0.3207547169811321	0.22033898305084743	0.3015873015873016	0.33333333333333337	0.29230769230769227	0.33333333333333337	0.29824561403508776	0.24590163934426235	0.21518987341772156	0.20588235294117652	0.3214285714285714	0.29824561403508776	0.38181818181818183	0.4782608695652174	0.3114754098360656
Analysing Gasoline Demand Elasticities A Survey	0.33333333333333337	0.4285714285714286	0.20833333333333337	0.26086956521739135	0.08333333333333337	0.3090909090909091	0.34426229508196726	0.3125	0.37254901960784315	0.37254901960784315	0.26086956521739135	0.2272727272727273	0.3846153846153846	0.2962962962962963	0.3207547169811321	0.28	0.29824561403508776	0.2857142857142857	0.24	0.6129032258064516	0.28205128205128205	0.3214285714285714	0.34782608695652173	0.34782608695652173	0.20833333333333337	0.3571428571428571	0.2857142857142857	0.3650793650793651	0.276595744680851	0.24137931034482762	0.2727272727272727	0.25	0.36170212765957444	0.18181818181818177	0.19999999999999996	0.2592592592592593	0.16666666666666663	0.2857142857142857	0.2592592592592593	0.16666666666666663	0.23076923076923073	0.4285714285714286	0.38983050847457623	0.3191489361702128	0.29166666666666663	0.26086956521739135	0.29729729729729726	0.3846153846153846
Benzene toxicity and risk assessment 19721992 implications for future regulation	0.4285714285714286	0.3584905660377359	0.34615384615384615	0.36	0.34615384615384615	0.38983050847457623	0.41538461538461535	0.4117647058823529	0.38181818181818183	0.4181818181818182	0.36	0.41666666666666663	0.34883720930232553	0.31034482758620685	0.26315789473684215	0.40740740740740744	0.3114754098360656	0.3666666666666667	0.40740740740740744	0.6	0.4418604651162791	0.33333333333333337	0.43999999999999995	0.43999999999999995	0.3076923076923077	0.1333333333333333	0.43333333333333335	0.4029850746268657	0.37254901960784315	0.3548387096774194	0.33333333333333337	0.2692307692307693	0.4117647058823529	0.375	0.33333333333333337	0.3793103448275862	0.3846153846153846	0.3666666666666667	0.3793103448275862	0.3076923076923077	0.3214285714285714	0.3783783783783784	0.3015873015873016	0.33333333333333337	0.3076923076923077	0.36	0.41463414634146345	0.3214285714285714
A tale of two cities Price uniformity and price volatility in gasoline retailing	0.33333333333333337	0.4693877551020408	0.20833333333333337	0.21739130434782605	0.25	0.3090909090909091	0.3114754098360656	0.34375	0.33333333333333337	0.37254901960784315	0.26086956521739135	0.2727272727272727	0.28205128205128205	0.2592592592592593	0.24528301886792447	0.28	0.26315789473684215	0.3214285714285714	0.31999999999999995	0.6129032258064516	0.28205128205128205	0.3214285714285714	0.30434782608695654	0.34782608695652173	0.20833333333333337	0.2857142857142857	0.2857142857142857	0.33333333333333337	0.276595744680851	0.27586206896551724	0.2727272727272727	0.25	0.3191489361702128	0.31818181818181823	0.28	0.2592592592592593	0.20833333333333337	0.2142857142857143	0.2592592592592593	0.16666666666666663	0.1923076923076923	0.37142857142857144	0.3220338983050848	0.3191489361702128	0.25	0.26086956521739135	0.29729729729729726	0.3076923076923077
Determinants of Storelevel Price Elasticity	0.39682539682539686	0.4782608695652174	0.28888888888888886	0.3023255813953488	0.24444444444444446	0.3846153846153846	0.4137931034482759	0.4098360655737705	0.41666666666666663	0.375	0.2558139534883721	0.07317073170731703	0.38888888888888884	0.33333333333333337	0.36	0.4042553191489362	0.33333333333333337	0.3584905660377359	0.276595744680851	0.5714285714285714	0.2222222222222222	0.3584905660377359	0.34883720930232553	0.34883720930232553	0.19999999999999996	0.3584905660377359	0.3584905660377359	0.4	0.40909090909090906	0.3090909090909091	0.2195121951219512	0.28888888888888886	0.31818181818181823	0.2682926829268293	0.36170212765957444	0.2941176470588235	0.24444444444444446	0.3207547169811321	0.2941176470588235	0.19999999999999996	0.26530612244897955	0.4626865671641791	0.4642857142857143	0.40909090909090906	0.37777777777777777	0.2558139534883721	0.17647058823529416	0.3877551020408163
