	Analysis of Piping Replacement Thresholds Appendix D Methodology for Calculating Compliance Costs Appendix E Access Model Structure and Specifications Appendix F Analysis of Statistical Relationship between State Regulatory Programs and Confirmed Release Data Appendix G Expert Consultation Selection and Data Collection Methodology Appendix H Expert Consultation Responses Appendix I Methodology for Calculating Avoided Cleanup Costs Appendix J Estimation of Future UST System and Release Universes for the Alternative 62 United States Department of Health and Human Services Public Health Service Agency for Toxic Substances and Disease Registry “Toxicological Profile for Polycyclic Aromatic Hydrocarbons”	Sources Cited quot2005 US Motor Fuel Station Count 168987quot	Association of State and Territorial Solid Waste Management Officials State Fund Survey Results	Committee on Vehicle Emission Inspection and Maintenance Programs Evaluating Vehicle Emissions Inspection and Maintenance Programs	Analyzing Gasoline Demand Elasticities A Survey” Energy Economics	Petroleum Hydrocarbon Vapor Intrusion Investigations Current General Practice” Leaking Underground Storage Tanks	memoranda and analyses submitted under Contract EPW05018 “US Environmental Protection Agency Underground Storage TanksLeaking Underground Storage Tanks Analytical and Technical Support” Eckert Andrew and	Methodology Statement ESRI Data—Business Locations and Business Summary” httpwwwesricomlibrarywhitepaperspdfsinfousabusinessdatabasepdf ICF quotEconomic Impact Analysis of Additional Mechanisms for Local Government Entities to Demonstrate Financial Responsibility for Underground Storage Tanksquot	Executive Order 12866 “Regulatory Planning and Review”	The Economics of Price Zones and Territorial Restrictions in Gasoline Marketing” Federal Trade Commission	The Measurement of Environmental and Resource Values Theory and Methods Resources for the Future	Determinants of Storelevel Price Elasticity”	Approaches to Assessing the Benefits Costs	Detailed Assessment of UST Universe by Tank Purpose and Designquot Work Assignment 125 Task 6	Methodology for Secondary Containment for Pipingquot Work Assignment 119 Task 5	Methodology to Estimate Avoided Costs Associated with a Typical UST Leakquot	Preliminary Assessment and Scoping of Data Related to Potential Revisions to the UST Regulations” Work Assignment 125 Tasks	Entities Screening Analysis of UST Universe by Industry Sector” Work Assignment 325 Task 4	The Economics of Gasoline Retailing Petroleum Distribution and Retailing Issues in the USquot	MarketFacts	National Association of Convenience Stores	of Convenience Stores “Consumer Fuels Report” February 2008 as cited in “Testimony of Bill Douglass Douglass Distributing Company	of Convenience Stores “How do retailers get – and sell – gasoline”	of Convenience Stores “Who sells gasoline in the United States”	Department of Environmental Services quotUnderground Storage Tank Programquot	Benzene toxicity and risk assessment 19721992 implications for future regulation” Environ Health Perspect	A Preliminary Meta Analysis of Contingent Values for Ground Water Revisited” In The Economic Value of Water Quality	MarketFacts 2008quot National Petroleum News Rhode Island Department of Environmental Management Underground Storage Tank Environmental Results Program Final Report Tables IIV Risk Management Association Statement Studies Sector 447	Risk Analysis to Support Revisions to Underground Storage Tank UST Regulations”	Distributing Company on behalf of the National Association of Convenience Stores before the House Judiciary Committee AntiTrust Task Force Hearing to Examine the Consumer Effects of Rising Gas Prices	of Labor Statistics quotEmployer Costs for Employee Compensationquot	Bureau of Labor Statistics quotOccupational Employment and Wagesquot	of Transportation Statistics “Sales Price of Transportation Fuel to EndUsers in National Transportation Statistics	Economic Census Retail Trade Industry Series Gasoline Stations	Industry Statistics Sampler NAICS 447 Geographic Distribution Gasoline Stations	of Health and Human Services Public Health Service Agency for Toxic Substances and Disease Registry “Toxicological Profile for Polycyclic Aromatic Hydrocarbons”	Environmental Protection Agency “ERP States Produce Results”	Environmental Protection Agency Office of Underground Storage Tanks “Evaluation of Releases from New and Upgraded Underground Storage Tank Systems peer review draft”	Environmental Protection Agency Office of Underground Storage Tanks “Petroleum Releases at Underground Storage Tank Facilities in Florida”	Environmental Protection Agency Office of Underground Storage Tanks	Environmental Protection Agency quotRegulatory Impact Analysis of Technical Standards for Underground Storage Tanksquot	Environmental Protection Agency quotStatus of State Fund Programsquot accessed on September 9 2010 httpwwwepagovouststatesfndstatushtm US Environmental Protection Agency “Summary of the updated Regulatory Impact Analysis RIA for the Reconsideration of the 2008 Ozone National Ambient Air Quality Standard NAAQSquot US Environmental Protection Agency quotUnderground Storage Tanks Technical and Financial Requirements and State Program Approval Proceduresquot Supporting Statement for EPA Information Collection Request Number 136008	Revenue Service SOI TaxStats Table 7 Corporation Returns with Net Income for 2007 Accessible online at httpwwwirsgovtaxstatsarticle0id17069300html	US Office of Management and Budget Circular No A76	Office of Management and Budget Circular No A94 Revised	of Environmental Quality quotUnderground Storage Tank Programquot	of Environmental Conservation	Underground Storage Tank FieldBased Research Project Report Submitted to the California State Water Resources Control Board under contract to the
ERP States Produce Results	0.4915254237288136	0.4285714285714286	0.36585365853658536	0.33333333333333337	0.36585365853658536	0.45833333333333337	0.4814814814814815	0.5087719298245614	0.40909090909090906	0.40909090909090906	0.33333333333333337	0.3513513513513513	0.5	0.4893617021276596	0.4347826086956522	0.4418604651162791	0.43999999999999995	0.4693877551020408	0.3023255813953488	0.5	0.375	0.4693877551020408	0.4358974358974359	0.4358974358974359	0.31707317073170727	0.4693877551020408	0.4285714285714286	0.4642857142857143	0.4	0.4117647058823529	0.3513513513513513	0.36585365853658536	0.30000000000000004	0.2432432432432432	0.4418604651162791	0.4042553191489362	0.2682926829268293	0.3877551020408163	0.36170212765957444	0.31707317073170727	0.33333333333333337	0.5238095238095238	0.5	0.44999999999999996	0.41463414634146345	0.3846153846153846	0.4	0.37777777777777777
Evaluation of Releases from New and Upgraded Underground Storage Tank Systems � Peer Review Draft	0.28767123287671237	0.5	0.2727272727272727	0.3207547169811321	0.3090909090909091	0.29032258064516125	0.2941176470588235	0.2676056338028169	0.3793103448275862	0.3448275862068966	0.28301886792452835	0.2941176470588235	0.4782608695652174	0.21311475409836067	0.30000000000000004	0.26315789473684215	0.21875	0.3015873015873016	0.22807017543859653	0.6842105263157895	0.3913043478260869	0.3015873015873016	0.39622641509433965	0.39622641509433965	0.12727272727272732	0.33333333333333337	0.33333333333333337	0.22857142857142854	0.2222222222222222	0.19999999999999996	0.33333333333333337	0.3090909090909091	0.2592592592592593	0.2941176470588235	0.33333333333333337	0.2786885245901639	0.2727272727272727	0.1428571428571429	0.21311475409836067	0.1636363636363637	0.15254237288135597	0.2987012987012987	0.33333333333333337	0.37037037037037035	0.34545454545454546	0.16981132075471694	0.36363636363636365	0.2542372881355932
Evaluation of Releases from New and Upgraded Underground Storage Tanks	0.33333333333333337	0.46153846153846156	0.2549019607843137	0.30612244897959184	0.33333333333333337	0.31034482758620685	0.3125	0.28358208955223885	0.40740740740740744	0.33333333333333337	0.26530612244897955	0.36170212765957444	0.4285714285714286	0.26315789473684215	0.3214285714285714	0.24528301886792447	0.2666666666666667	0.288135593220339	0.24528301886792447	0.6470588235294117	0.33333333333333337	0.3220338983050848	0.34693877551020413	0.34693877551020413	0.13725490196078427	0.35593220338983056	0.35593220338983056	0.24242424242424243	0.19999999999999996	0.24590163934426235	0.3191489361702128	0.2941176470588235	0.24	0.276595744680851	0.3584905660377359	0.33333333333333337	0.2941176470588235	0.15254237288135597	0.22807017543859653	0.17647058823529416	0.1636363636363637	0.31506849315068497	0.29032258064516125	0.31999999999999995	0.2941176470588235	0.18367346938775508	0.30000000000000004	0.23636363636363633
Evaluation of Three Environmental Results Programs ERPs	0.375	0.5319148936170213	0.26086956521739135	0.2272727272727273	0.34782608695652173	0.39622641509433965	0.38983050847457623	0.3870967741935484	0.3877551020408163	0.26530612244897955	0.18181818181818177	0.2857142857142857	0.3513513513513513	0.34615384615384615	0.33333333333333337	0.375	0.3090909090909091	0.37037037037037035	0.20833333333333337	0.6551724137931034	0.3513513513513513	0.37037037037037035	0.40909090909090906	0.36363636363636365	0.21739130434782605	0.33333333333333337	0.2592592592592593	0.34426229508196726	0.33333333333333337	0.2857142857142857	0.33333333333333337	0.34782608695652173	0.33333333333333337	0.2857142857142857	0.41666666666666663	0.2692307692307693	0.26086956521739135	0.2962962962962963	0.2692307692307693	0.21739130434782605	0.19999999999999996	0.4117647058823529	0.368421052631579	0.4222222222222223	0.30434782608695654	0.2272727272727273	0.19999999999999996	0.28
Final Report � Environmental Results Project � Vermont Underground Storage Tank Facilities	0.33333333333333337	0.4181818181818182	0.2592592592592593	0.23076923076923073	0.33333333333333337	0.24590163934426235	0.31343283582089554	0.3142857142857143	0.4035087719298246	0.29824561403508776	0.23076923076923073	0.36	0.4666666666666667	0.30000000000000004	0.3220338983050848	0.2857142857142857	0.2698412698412699	0.32258064516129037	0.25	0.5675675675675675	0.4222222222222223	0.32258064516129037	0.42307692307692313	0.3846153846153846	0.14814814814814814	0.3548387096774194	0.32258064516129037	0.24637681159420288	0.24528301886792447	0.25	0.36	0.33333333333333337	0.24528301886792447	0.28	0.3928571428571429	0.33333333333333337	0.2592592592592593	0.22580645161290325	0.19999999999999996	0.18518518518518523	0.1724137931034483	0.3421052631578947	0.3846153846153846	0.39622641509433965	0.37037037037037035	0.23076923076923073	0.39534883720930236	0.1724137931034483
Methodology for Secondary Containment for Piping	0.3538461538461538	0.41666666666666663	0.276595744680851	0.19999999999999996	0.36170212765957444	0.33333333333333337	0.3666666666666667	0.3650793650793651	0.43999999999999995	0.28	0.28888888888888886	0.3023255813953488	0.26315789473684215	0.3584905660377359	0.1923076923076923	0.30612244897959184	0.3214285714285714	0.4181818181818182	0.30612244897959184	0.6	0.3157894736842105	0.34545454545454546	0.33333333333333337	0.28888888888888886	0.276595744680851	0.34545454545454546	0.3090909090909091	0.3870967741935484	0.3913043478260869	0.29824561403508776	0.2558139534883721	0.276595744680851	0.34782608695652173	0.3023255813953488	0.26530612244897955	0.3207547169811321	0.3191489361702128	0.34545454545454546	0.3584905660377359	0.276595744680851	0.2549019607843137	0.42028985507246375	0.3793103448275862	0.26086956521739135	0.3191489361702128	0.28888888888888886	0.33333333333333337	0.2549019607843137
Occupational Employment and Wage	0.4838709677419355	0.5111111111111111	0.2727272727272727	0.2857142857142857	0.31818181818181823	0.4117647058823529	0.4035087719298246	0.4666666666666667	0.36170212765957444	0.44680851063829785	0.33333333333333337	0.4	0.4285714285714286	0.4	0.34693877551020413	0.34782608695652173	0.39622641509433965	0.3846153846153846	0.3913043478260869	0.7037037037037037	0.48571428571428577	0.42307692307692313	0.47619047619047616	0.4285714285714286	0.31818181818181823	0.3846153846153846	0.3846153846153846	0.4915254237288136	0.39534883720930236	0.40740740740740744	0.30000000000000004	0.18181818181818177	0.39534883720930236	0.30000000000000004	0.34782608695652173	0.43999999999999995	0.31818181818181823	0.34615384615384615	0.36	0.2727272727272727	0.33333333333333337	0.48484848484848486	0.4545454545454546	0.34883720930232553	0.36363636363636365	0.33333333333333337	0.3939393939393939	0.375
Office of Management and Budget Circular No A94	0.4626865671641791	0.4	0.26530612244897955	0.3191489361702128	0.3877551020408163	0.4642857142857143	0.4838709677419355	0.41538461538461535	0.46153846153846156	0.3846153846153846	0.36170212765957444	0.4666666666666667	0.30000000000000004	0.4545454545454546	0.2962962962962963	0.4117647058823529	0.4482758620689655	0.4035087719298246	0.4117647058823529	0.625	0.30000000000000004	0.4035087719298246	0.4042553191489362	0.4042553191489362	0.3877551020408163	0.4035087719298246	0.368421052631579	0.40625	0.45833333333333337	0.38983050847457623	0.37777777777777777	0.30612244897959184	0.41666666666666663	0.37777777777777777	0.2941176470588235	0.4181818181818182	0.3877551020408163	0.368421052631579	0.38181818181818183	0.30612244897959184	0.39622641509433965	0.43661971830985913	0.33333333333333337	0.125	0.061224489795918324	0.4042553191489362	0.368421052631579	0.3584905660377359
Permit Application Review Summary Former Pease AFB Remediation Project 090113	0.36986301369863017	0.3571428571428571	0.2727272727272727	0.3584905660377359	0.34545454545454546	0.3870967741935484	0.32352941176470584	0.352112676056338	0.3793103448275862	0.4482758620689655	0.3207547169811321	0.37254901960784315	0.4347826086956522	0.34426229508196726	0.30000000000000004	0.368421052631579	0.3125	0.39682539682539686	0.4035087719298246	0.631578947368421	0.3913043478260869	0.3015873015873016	0.4339622641509434	0.4716981132075472	0.34545454545454546	0.33333333333333337	0.39682539682539686	0.34285714285714286	0.33333333333333337	0.32307692307692304	0.37254901960784315	0.34545454545454546	0.37037037037037035	0.33333333333333337	0.368421052631579	0.34426229508196726	0.2727272727272727	0.3015873015873016	0.3114754098360656	0.3090909090909091	0.288135593220339	0.2987012987012987	0.2727272727272727	0.40740740740740744	0.3090909090909091	0.39622641509433965	0.4545454545454546	0.288135593220339
Permit Application Review Summary Former Pease AFB Remediation Project FY040453	0.3783783783783784	0.4035087719298246	0.2857142857142857	0.37037037037037035	0.3571428571428571	0.39682539682539686	0.33333333333333337	0.36111111111111116	0.423728813559322	0.4576271186440678	0.33333333333333337	0.3846153846153846	0.44680851063829785	0.3548387096774194	0.34426229508196726	0.3793103448275862	0.32307692307692304	0.34375	0.4137931034482759	0.641025641025641	0.4042553191489362	0.3125	0.4444444444444444	0.4814814814814815	0.3571428571428571	0.40625	0.40625	0.323943661971831	0.34545454545454546	0.33333333333333337	0.3846153846153846	0.3571428571428571	0.38181818181818183	0.34615384615384615	0.3448275862068966	0.3548387096774194	0.2857142857142857	0.3125	0.32258064516129037	0.3214285714285714	0.30000000000000004	0.3589743589743589	0.34328358208955223	0.4181818181818182	0.3214285714285714	0.40740740740740744	0.4666666666666667	0.30000000000000004
Petroleum Hydrocarbon Vapor Intrusion Investigations Current General Practice	0.30434782608695654	0.46153846153846156	0.33333333333333337	0.1428571428571429	0.2941176470588235	0.13793103448275867	0.34375	0.34328358208955223	0.40740740740740744	0.37037037037037035	0.30612244897959184	0.36170212765957444	0.38095238095238093	0.33333333333333337	0.3214285714285714	0.3584905660377359	0.3666666666666667	0.35593220338983056	0.28301886792452835	0.6470588235294117	0.38095238095238093	0.3220338983050848	0.34693877551020413	0.3877551020408163	0.2941176470588235	0.3220338983050848	0.2542372881355932	0.36363636363636365	0.36	0.24590163934426235	0.276595744680851	0.2941176470588235	0.4	0.23404255319148937	0.2075471698113207	0.29824561403508776	0.2941176470588235	0.35593220338983056	0.368421052631579	0.2941176470588235	0.2727272727272727	0.3972602739726028	0.3548387096774194	0.4	0.33333333333333337	0.34693877551020413	0.35	0.3090909090909091
