	Comments submitted to OSHA docket S029 Exhibit 314 by	Institute of Electrical and Electronics Engineers IEEE Standard for Fall Protection for Utility Work IEEE Standard 13072004 httpstandardsieeeorgreadingieeestdnumericalhtml accessed	Occupational Safety and Health Administration 29 CFR Part	Occupational Safety and Health Administration Fixed Ladders Used on Outdoor Advertising StructuresBillboards in the Outdoor Advertising Industry	Occupational Safety and Health Administration Preliminary Regulatory Impact and Regulatory Flexibility Analysis of Draft Subparts D and I of 29 CFR Part	0030 Machine Shops Turned Product and Screw Nut	Electric Lighting Equipment Manufacturing	Household Appliance Manufacturing 279213 163 1712962 371 63608 2015 1236 0001 0019 Professional and Commercial Equipment and Supplies Merchant Wholesalers	Accessories	0024 Lawn and Garden Equipment and Supplies Stores	0039 Sporting Goods Hobby and Musical Instrument Stores	0050 Electronic Shopping and MailOrder Houses 12662263 13335 949551 396 	0095 Deep Sea Coastal and Great Lakes Water Transportation 1019668 645 1580880 417 	Rural Bus Transportation	Employee Bus Transportation	0102 Other Transit and Ground Passenger Transportation	Support Activities for Air Transportation	Motion Picture and Video Industries	Television Broadcasting	Other Subscription Programming	0263 Data Processing Hosting and Related Services	Monetary Authorities  Central Bank	0005 Securities and Commodity Contracts Intermediation and Brokerage	0000 Agencies Brokerages and Other Insurance Related Activities	Pools and Funds	Offices of Real Estate Agents and Brokers	Activities Related to Real Estate	Automotive Equipment Rental and Leasing	0040 Commercial and Industrial Machinery and Equipment Rental and Leasing	Legal Services 73138890 164606 444327 852  37841 657652 400 0001 0011 Accounting Tax Preparation Bookkeeping and Payroll Services	Specialized Design Services 12493910 29234 427376 623  26635 138628 474 0001 0018 Computer Systems Design and Related Services	Scientific Research and Development	Home Health Care Services	Health Care Services	General Medical and Surgical Hospitals	Psychiatric and Substance Abuse Hospitals 103678 48 2159950 508  109669 210 437 0000 0004 Specialty except Psychiatric and Substance Abuse Hospitals 140371 130 1079779 508 	0013 Residential Mental Retardation Mental Health and Substance Abuse Facilities 1155914 4046 285693 508 	Facilities for the Elderly	Care Facilities	Individual and Family Services 8057734 27310 295047 508  14981 86180 316 0001 0021 Community Food and Housing and Emergency and Other Relief Services 3126011 6774 461472 508 	Vocational Rehabilitation Services	Care Services	0006 Promoters of Performing Arts Sports and Similar Events 2931291	Boarding Houses	0091 Electronic and Precision Equipment Repair and	Death Care Services	Grantmaking and Giving Services	receipts and payroll data from US Census Bureau Statistics of US Businesses	1 Discussions with Outdoor Amusement Business Association OABA staff indicate that very few office and multifamily residential buildings use fixed ladders greater than 20 feet in height A5 Based on this data ERG estimated that all 28906 estimated fixed ladders on lift towers are infrequently climbed A4 Communications Towers Radio Television Cellular and Microwave Virtually all communication towers have fixed ladders The Federal Communications Commission FCC Antenna Structure Registration Database lists 93000 registered Albee	Economic Census Manufacturing As downloaded from httpfactfindercensusgovservletIQRTablebmydsnameEC0200A1NAICS20023133langen on	As downloaded from ftpftpeiadoegovpubconsumptionresidential2001hctableshousingunithouseholdpdf on August 24	United States Environmental Protection Agency	As downloaded from httpwwwepagovsafewatercwssvrhtml on August 23	Telephone conversation between Joe Shefchik and Ayesha Berlind	Telephone conversation between Wendell Kido Chief Policy and Planning Division Sacramento County Regional Sanitation District and Ayesha Berlind	Telephone conversation between
2006 Performance And Accountability Report	0.4117647058823529	0.3214285714285714	0.21568627450980393	0.33333333333333337	0.25	0.37777777777777777	0.38095238095238093	0.3220338983050848	0.6	0.34782608695652173	0.30612244897959184	0.3846153846153846	0.4901960784313726	0.4054054054054054	0.35	0.36363636363636365	0.35	0.3846153846153846	0.4358974358974359	0.33333333333333337	0.30434782608695654	0.41463414634146345	0.37777777777777777	0.34782608695652173	0.5151515151515151	0.34883720930232553	0.4054054054054054	0.34883720930232553	0.31999999999999995	0.3448275862068966	0.3214285714285714	0.3023255813953488	0.4871794871794872	0.5675675675675675	0.38095238095238093	0.2727272727272727	0.3207547169811321	0.3846153846153846	0.5294117647058824	0.3666666666666667	0.4	0.6363636363636364	0.26530612244897955	0.5	0.24444444444444446	0.6111111111111112	0.4871794871794872	0.2727272727272727	0.38235294117647056	0.288135593220339	0.22448979591836737	0.31818181818181823	0.28888888888888886	0.33333333333333337	0.2727272727272727	0.4
Community Water System Survey 2000	0.3913043478260869	0.37254901960784315	0.34782608695652173	0.4285714285714286	0.4117647058823529	0.4	0.5135135135135135	0.40740740740740744	0.6	0.31707317073170727	0.36363636363636365	0.44680851063829785	0.4347826086956522	0.4375	0.3142857142857143	0.3846153846153846	0.3142857142857143	0.4117647058823529	0.4117647058823529	0.3513513513513513	0.36585365853658536	0.33333333333333337	0.25	0.41463414634146345	0.5714285714285714	0.5263157894736843	0.5	0.42105263157894735	0.37777777777777777	0.4339622641509434	0.33333333333333337	0.368421052631579	0.2941176470588235	0.375	0.4054054054054054	0.43999999999999995	0.45833333333333337	0.47058823529411764	0.4482758620689655	0.38181818181818183	0.37142857142857144	0.3571428571428571	0.36363636363636365	0.4193548387096774	0.4	0.3548387096774194	0.3529411764705882	0.28205128205128205	0.46031746031746035	0.37037037037037035	0.36363636363636365	0.33333333333333337	0.4	0.4418604651162791	0.36	0.4285714285714286
Handbook for Manufacturing Safer Consumer Products Chinese	0.33333333333333337	0.3214285714285714	0.2549019607843137	0.2962962962962963	0.25	0.28888888888888886	0.33333333333333337	0.288135593220339	0.6	0.4347826086956522	0.26530612244897955	0.34615384615384615	0.4901960784313726	0.5135135135135135	0.44999999999999996	0.36363636363636365	0.35	0.28205128205128205	0.3846153846153846	0.19047619047619047	0.34782608695652173	0.31707317073170727	0.24444444444444446	0.34782608695652173	0.5151515151515151	0.34883720930232553	0.5135135135135135	0.4418604651162791	0.31999999999999995	0.4482758620689655	0.4285714285714286	0.3023255813953488	0.28205128205128205	0.3513513513513513	0.23809523809523814	0.38181818181818183	0.3584905660377359	0.3846153846153846	0.47058823529411764	0.3666666666666667	0.35	0.4545454545454546	0.3877551020408163	0.33333333333333337	0.37777777777777777	0.38888888888888884	0.28205128205128205	0.2727272727272727	0.4117647058823529	0.3220338983050848	0.30612244897959184	0.31818181818181823	0.33333333333333337	0.33333333333333337	0.2727272727272727	0.4
Regulatory Reform of the US Manufacturing Sector	0.5	0.3207547169811321	0.29166666666666663	0.2941176470588235	0.3207547169811321	0.38095238095238093	0.23076923076923073	0.3928571428571429	0.6296296296296297	0.4418604651162791	0.30434782608695654	0.3877551020408163	0.5833333333333333	0.4117647058823529	0.3513513513513513	0.46341463414634143	0.3513513513513513	0.38888888888888884	0.38888888888888884	0.28205128205128205	0.39534883720930236	0.3157894736842105	0.33333333333333337	0.34883720930232553	0.6	0.35	0.47058823529411764	0.4	0.276595744680851	0.49090909090909096	0.39622641509433965	0.25	0.33333333333333337	0.4117647058823529	0.28205128205128205	0.46153846153846156	0.4	0.33333333333333337	0.4838709677419355	0.368421052631579	0.29729729729729726	0.5333333333333333	0.4347826086956522	0.4545454545454546	0.38095238095238093	0.4545454545454546	0.38888888888888884	0.2195121951219512	0.41538461538461535	0.3214285714285714	0.34782608695652173	0.2682926829268293	0.33333333333333337	0.37777777777777777	0.3076923076923077	0.4054054054054054
1999 Building activities Compare activities by number of buildings	0.3846153846153846	0.33333333333333337	0.2692307692307693	0.23636363636363633	0.26315789473684215	0.4347826086956522	0.34883720930232553	0.33333333333333337	0.6129032258064516	0.4042553191489362	0.24	0.3584905660377359	0.42307692307692313	0.368421052631579	0.2682926829268293	0.37777777777777777	0.31707317073170727	0.4	0.25	0.3023255813953488	0.4042553191489362	0.33333333333333337	0.26086956521739135	0.3191489361702128	0.5294117647058824	0.31818181818181823	0.42105263157894735	0.31818181818181823	0.2941176470588235	0.3220338983050848	0.26315789473684215	0.2727272727272727	0.35	0.42105263157894735	0.3023255813953488	0.3571428571428571	0.40740740740740744	0.35	0.4285714285714286	0.3114754098360656	0.36585365853658536	0.47058823529411764	0.28	0.3513513513513513	0.26086956521739135	0.45945945945945943	0.35	0.15555555555555556	0.33333333333333337	0.2666666666666667	0.19999999999999996	0.28888888888888886	0.26086956521739135	0.26530612244897955	0.2142857142857143	0.31707317073170727
2002 Economic Census	0.36585365853658536	0.4782608695652174	0.46341463414634143	0.5909090909090908	0.5217391304347826	0.48571428571428577	0.5	0.4693877551020408	0.5	0.38888888888888884	0.4871794871794872	0.47619047619047616	0.6097560975609756	0.5555555555555556	0.4	0.47058823529411764	0.4666666666666667	0.4482758620689655	0.5172413793103448	0.4375	0.5	0.4838709677419355	0.37142857142857144	0.5	0.5652173913043479	0.5151515151515151	0.4814814814814815	0.4545454545454546	0.4	0.5833333333333333	0.4782608695652174	0.5151515151515151	0.4482758620689655	0.5555555555555556	0.5	0.5555555555555556	0.5348837209302326	0.5172413793103448	0.5	0.48	0.5333333333333333	0.4782608695652174	0.4871794871794872	0.46153846153846156	0.37142857142857144	0.5384615384615384	0.5172413793103448	0.4117647058823529	0.5517241379310345	0.4693877551020408	0.4358974358974359	0.47058823529411764	0.48571428571428577	0.631578947368421	0.5555555555555556	0.5333333333333333
Alternating tread type stair is approved as safe for use	0.5217391304347826	0.37254901960784315	0.30434782608695654	0.26530612244897955	0.33333333333333337	0.4	0.3513513513513513	0.40740740740740744	0.52	0.36585365853658536	0.31818181818181823	0.4042553191489362	0.4782608695652174	0.3125	0.2571428571428571	0.33333333333333337	0.19999999999999996	0.3529411764705882	0.23529411764705888	0.3513513513513513	0.36585365853658536	0.2777777777777778	0.35	0.2682926829268293	0.4285714285714286	0.26315789473684215	0.3125	0.21052631578947367	0.33333333333333337	0.3584905660377359	0.37254901960784315	0.26315789473684215	0.4117647058823529	0.4375	0.2432432432432432	0.4	0.45833333333333337	0.2941176470588235	0.4482758620689655	0.4181818181818182	0.37142857142857144	0.5	0.2727272727272727	0.29032258064516125	0.35	0.4838709677419355	0.3529411764705882	0.23076923076923073	0.46031746031746035	0.33333333333333337	0.2272727272727273	0.23076923076923073	0.19999999999999996	0.2558139534883721	0.28	0.3142857142857143
Application of Gannett Outdoor Companies for a Variance Concerning Fixed Ladders	0.4339622641509434	0.3793103448275862	0.24528301886792447	0.2142857142857143	0.24137931034482762	0.44680851063829785	0.31818181818181823	0.3770491803278688	0.5625	0.33333333333333337	0.33333333333333337	0.40740740740740744	0.4339622641509434	0.4358974358974359	0.38095238095238093	0.34782608695652173	0.33333333333333337	0.36585365853658536	0.36585365853658536	0.31818181818181823	0.45833333333333337	0.39534883720930236	0.36170212765957444	0.33333333333333337	0.48571428571428577	0.28888888888888886	0.4358974358974359	0.28888888888888886	0.3076923076923077	0.4	0.4137931034482759	0.33333333333333337	0.41463414634146345	0.4871794871794872	0.2727272727272727	0.4385964912280702	0.4545454545454546	0.36585365853658536	0.38888888888888884	0.3870967741935484	0.4285714285714286	0.5428571428571429	0.37254901960784315	0.42105263157894735	0.36170212765957444	0.5263157894736843	0.36585365853658536	0.26086956521739135	0.34285714285714286	0.3770491803278688	0.2941176470588235	0.34782608695652173	0.276595744680851	0.4	0.33333333333333337	0.4285714285714286
Changes to the Chemical Accident Prevention Rule Risk Management Program in 2004	0.33333333333333337	0.288135593220339	0.2592592592592593	0.368421052631579	0.288135593220339	0.33333333333333337	0.37777777777777777	0.29032258064516125	0.5757575757575757	0.34693877551020413	0.34615384615384615	0.3090909090909091	0.4444444444444444	0.44999999999999996	0.4418604651162791	0.3191489361702128	0.39534883720930236	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.26530612244897955	0.2727272727272727	0.29166666666666663	0.18367346938775508	0.5	0.30434782608695654	0.35	0.30434782608695654	0.2075471698113207	0.3114754098360656	0.288135593220339	0.30434782608695654	0.33333333333333337	0.4	0.33333333333333337	0.3448275862068966	0.2857142857142857	0.4285714285714286	0.45945945945945943	0.3015873015873016	0.34883720930232553	0.5	0.3076923076923077	0.4358974358974359	0.29166666666666663	0.4358974358974359	0.33333333333333337	0.36170212765957444	0.323943661971831	0.25806451612903225	0.1923076923076923	0.276595744680851	0.25	0.37254901960784315	0.27586206896551724	0.39534883720930236
Circumstances under which installation of fixed industrial stairs with a slope between 50 degrees and 70 degrees from the horizontal would be considered a de minimis violation	0.4181818181818182	0.33333333333333337	0.34545454545454546	0.27586206896551724	0.30000000000000004	0.34693877551020413	0.34782608695652173	0.3015873015873016	0.6470588235294117	0.36	0.3207547169811321	0.3571428571428571	0.4181818181818182	0.46341463414634143	0.40909090909090906	0.375	0.36363636363636365	0.4418604651162791	0.34883720930232553	0.30434782608695654	0.4	0.4222222222222223	0.30612244897959184	0.31999999999999995	0.5675675675675675	0.4042553191489362	0.46341463414634143	0.36170212765957444	0.2962962962962963	0.3548387096774194	0.2666666666666667	0.276595744680851	0.34883720930232553	0.41463414634146345	0.34782608695652173	0.3220338983050848	0.4035087719298246	0.39534883720930236	0.4736842105263158	0.3125	0.36363636363636365	0.5135135135135135	0.3584905660377359	0.44999999999999996	0.34693877551020413	0.44999999999999996	0.39534883720930236	0.29166666666666663	0.33333333333333337	0.2698412698412699	0.16981132075471694	0.375	0.22448979591836737	0.3076923076923077	0.2542372881355932	0.2727272727272727
Economic Report of the President	0.4666666666666667	0.36	0.28888888888888886	0.41666666666666663	0.36	0.33333333333333337	0.33333333333333337	0.39622641509433965	0.5	0.4	0.4418604651162791	0.4347826086956522	0.5555555555555556	0.4193548387096774	0.3529411764705882	0.368421052631579	0.3529411764705882	0.33333333333333337	0.3939393939393939	0.2777777777777778	0.4	0.48571428571428577	0.4358974358974359	0.4	0.5555555555555556	0.29729729729729726	0.3548387096774194	0.3513513513513513	0.31818181818181823	0.5384615384615384	0.48	0.18918918918918914	0.3939393939393939	0.4838709677419355	0.38888888888888884	0.4693877551020408	0.4893617021276596	0.2727272727272727	0.5	0.4444444444444444	0.3529411764705882	0.5555555555555556	0.34883720930232553	0.4666666666666667	0.23076923076923073	0.4666666666666667	0.3939393939393939	0.3157894736842105	0.5161290322580645	0.39622641509433965	0.34883720930232553	0.3157894736842105	0.33333333333333337	0.38095238095238093	0.34693877551020413	0.3529411764705882
