	Industrywide Uses of Chlorine by Industry 27 22 Use of Caustic Soda by Industry 27 23 Use of Caustic Potash by Industry  28 24 Income or Loss as Net a Percentage of Sales Basic Chemicals Resins and Synthetics NAICS 3251 and 3252 2000–2005  214 31 Capital Cost Factor ton Cl2 produced vs Capacity  35 41 Price Trends Alkalis and Chlorine Manufacturing	Oxychem Completes Taft	Chlorine Ensuring Rail Transportation Safety”	Potassium Carbonate Handbook” httpwwwarmandproductscompdfsk2so3P112pdf Accessed	ASHTA Chemicals Inc 2009a About ASHTA httpwwwashtachemicalscomaboutfshtm	Inc 2009b Potassium Hydroxide	Investment under Uncertainty	Energy Information Administration	Potassium Hydroxide” httpwwwercoworldwidecom productspotassiumhydroxideasp Accessed	Distributional Effects of Environmental and Energy Policy An Introduction	Potassium Carbonate Faces Pressures from the Video Glass” Chemical Market Reporter	Site Fact Sheet Ashtabula Complex” httpwwwmillenniumchemcomNRrdonlyres6AE8BF59D7CD4768951F37AE6F1C73210SiteFactSheetAshtabulapdf Accessed	Occidental Chemical Corporation 2008a “OxyChem Caustic Potash Handbook” httpwwwoxycomOurBusinesseschemicalsPageschemproductsbasicalkaliaspx alkkoh Accessed	Occidental Chemical Corporation 2008b “OxyChem Caustic Soda Handbook” httpwwwoxycomOurBusinesseschemicalsDocumentscausticsodacausticpdf	Form 10K405 Filed	Form 10K Filed	BBT Capital Markets Presentation Manufacturing and Materials Conference” httpwwwolincom Accessed	Bill Would End Mercury Use at Chlorine Plants” httpchronicleaugustacomstories031308met190792shtml Accessed	Accessed	Chlorine Product Bulletin” httpcorporateportalppgcomNAChemicalsCADProductInformationBull EnglishEN Accessed	PPG Reaches Agreement with State of Maryland” PPG News Release httpcorporateportalppgcomPPGNewsroomNews20090811htm	The Effects of Environmental Regulation on Technology Diffusion The Case of	Special Focus on Chlorine”	The Innovation Group TIG	of Labor Statistics	of Labor Statistics 2009b LAU Local Area Unemployment Statistics Series Id	413 US Bureau of Labor Statistics	Quarterly Financial Report for Manufacturing Mining and Trade Corporations 1st Quarter reports httpwwwcensusgovprodwwwabsqfrmmhtml Accessed	Economic Census	httpfactfindercensusgovservletDatasetMainPageServletprogramECNtabIdE CN1submenuIddatasets4langents24636668839 Accessed	Bureau generated by RTI International using American FactFinder “Sector 31 Manufacturing Industry Series Industry Statistics by Employment Size	Department of Transportation	Environmental Protection Agency EPA	Federal Trade Commission FTC	Soda Ash httpmineralsusgsgovmineralspubs commoditysodaashmcs2009sodaapdf Accessed August 4	Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US” Environ Sci Technol	Environmental Protection Agency—Science Advisory Board US	The Value of a Statistical Life A Critical Review of Market Estimates throughout the World”	Environmental Protection Agency RE Docket No EPAHQOAR20020017—National Emission Standards for Hazardous Air Pollutants	EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act	EPAHQOAR20020017—National Emission Standards for Hazardous Air Pollutants Mercury Emissions from Mercury Cell ChlorAlkali Plants—Memo “Updated Cost Impacts Associated with the Conversion from Chlorine Production Utilizing Mercury Cell ChlorAlkali Technology to Membrane Cell Technology” from	B4 Table B3 Power Company Emission Factors FuelCoal Short tons per kWh	Available on the internet at httpwwwepagovCAIRpdfsfinaltech01pdf US Environmental Protection Agency	Available on the internet at httpwwwepagovcleanenergydocumentsegridzipseGRID2007TechnicalSupportDoc umentpdf US Environmental Protection Agency
Prenatal Methylmercury Exposure As A Cardiovascular Risk Factor At Seven Years of Age	0.43999999999999995	0.5454545454545454	0.4285714285714286	0.5	0.5384615384615384	0.5675675675675675	0.5757575757575757	0.5	0.4722222222222222	0.38235294117647056	0.3783783783783784	0.4897959183673469	0.4651162790697675	0.5	0.75	0.7352941176470589	0.3783783783783784	0.4772727272727273	0.8387096774193549	0.42105263157894735	0.45238095238095233	0.36363636363636365	0.5294117647058824	0.6470588235294117	0.696969696969697	0.5263157894736843	0.6842105263157895	0.32432432432432434	0.6451612903225806	0.40476190476190477	0.41463414634146345	0.6363636363636364	0.4516129032258065	0.59375	0.38888888888888884	0.3142857142857143	0.28205128205128205	0.4444444444444444	0.3846153846153846	0.4545454545454546	0.3529411764705882	0.43999999999999995	0.42105263157894735	0.32432432432432434	0.40476190476190477
An Empirical Bayes Approach to Combining Estimates of the Value of Statistical Life for Environmental Policy Analysis	0.4693877551020408	0.5483870967741935	0.4242424242424242	0.5	0.4571428571428572	0.5714285714285714	0.5806451612903225	0.5	0.5142857142857142	0.32258064516129037	0.45945945945945943	0.5208333333333333	0.46341463414634143	0.5	0.8	0.7878787878787878	0.41666666666666663	0.47619047619047616	0.8620689655172413	0.37142857142857144	0.5238095238095238	0.3548387096774194	0.53125	0.6129032258064516	0.5714285714285714	0.4411764705882353	0.53125	0.4054054054054054	0.6071428571428572	0.4	0.44999999999999996	0.6	0.3928571428571429	0.6451612903225806	0.33333333333333337	0.4	0.3589743589743589	0.3939393939393939	0.42105263157894735	0.5227272727272727	0.34375	0.5	0.37142857142857144	0.3142857142857143	0.4
The Value of a Statistical Life A Critical Review of Market Estimates throughout the World	0.48	0.6060606060606061	0.48571428571428577	0.55	0.5135135135135135	0.6923076923076923	0.6363636363636364	0.5625	0.5675675675675675	0.48571428571428577	0.4736842105263158	0.5882352941176471	0.5777777777777777	0.5777777777777777	0.7714285714285715	0.7575757575757576	0.38888888888888884	0.5555555555555556	0.8275862068965517	0.5128205128205128	0.5348837209302326	0.375	0.6285714285714286	0.6666666666666667	0.6333333333333333	0.5789473684210527	0.6285714285714286	0.3783783783783784	0.6666666666666667	0.4883720930232558	0.5	0.65625	0.5625	0.6129032258064516	0.4864864864864865	0.5	0.45238095238095233	0.5405405405405406	0.09375	0.5333333333333333	0.4571428571428572	0.48	0.4736842105263158	0.42105263157894735	0.45238095238095233
Uncertainty and Variability in HealthRelated Damages from CoalFired Power Plants in the United States	0.5	0.59375	0.5142857142857142	0.5	0.5	0.5294117647058824	0.5806451612903225	0.5483870967741935	0.5142857142857142	0.4242424242424242	0.41666666666666663	0.5208333333333333	0.5	0.46341463414634143	0.7272727272727273	0.7096774193548387	0.5	0.5777777777777777	0.8620689655172413	0.5	0.4878048780487805	0.40625	0.5757575757575757	0.7352941176470589	0.6206896551724138	0.48571428571428577	0.6176470588235294	0.4054054054054054	0.7	0.5116279069767442	0.5238095238095238	0.6	0.5483870967741935	0.5517241379310345	0.4722222222222222	0.5263157894736843	0.4390243902439024	0.48571428571428577	0.5	0.5227272727272727	0.4411764705882353	0.5	0.45945945945945943	0.3142857142857143	0.4
Reduction in Fine Particulate Air Pollution and Mortality	0.6170212765957447	0.7037037037037037	0.6	0.6176470588235294	0.6666666666666667	0.5185185185185186	0.5217391304347826	0.5416666666666667	0.5	0.4444444444444444	0.4838709677419355	0.6444444444444444	0.6052631578947368	0.675	0.6666666666666667	0.6363636363636364	0.53125	0.5789473684210527	0.7894736842105263	0.5757575757575757	0.5555555555555556	0.5357142857142857	0.5769230769230769	0.625	0.6956521739130435	0.5666666666666667	0.6785714285714286	0.46875	0.6818181818181819	0.6153846153846154	0.5142857142857142	0.6666666666666667	0.40909090909090906	0.5454545454545454	0.5483870967741935	0.4137931034482759	0.5405405405405406	0.5172413793103448	0.6111111111111112	0.5897435897435898	0.4642857142857143	0.6458333333333333	0.5757575757575757	0.5588235294117647	0.5789473684210527
The Effects of Environmental Regulation on Technology Diffusion The Case of Chlorine Manufacturing	0.5510204081632653	0.4814814814814815	0.3448275862068966	0.6052631578947368	0.5294117647058824	0.6060606060606061	0.5185185185185186	0.4814814814814815	0.5882352941176471	0.3448275862068966	0.48571428571428577	0.574468085106383	0.5952380952380952	0.5609756097560976	0.7741935483870968	0.7586206896551724	0.4411764705882353	0.5365853658536586	0.8846153846153846	0.4411764705882353	0.55	0.04166666666666663	0.5666666666666667	0.5555555555555556	0.6666666666666667	0.6	0.65625	0.33333333333333337	0.5416666666666667	0.46153846153846156	0.4736842105263158	0.48	0.42307692307692313	0.5384615384615384	0.4545454545454546	0.47058823529411764	0.42105263157894735	0.5151515151515151	0.4	0.5121951219512195	0.3666666666666667	0.5208333333333333	0.48571428571428577	0.4285714285714286	0.42105263157894735
Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US	0.43999999999999995	0.5454545454545454	0.4722222222222222	0.5	0.45945945945945943	0.48571428571428577	0.53125	0.4516129032258065	0.4722222222222222	0.33333333333333337	0.42105263157894735	0.4897959183673469	0.4651162790697675	0.5	0.75	0.7352941176470589	0.42105263157894735	0.4418604651162791	0.8387096774193549	0.3783783783783784	0.4883720930232558	0.4571428571428572	0.5294117647058824	0.6470588235294117	0.65625	0.4	0.6111111111111112	0.368421052631579	0.6451612903225806	0.36585365853658536	0.375	0.6363636363636364	0.5	0.59375	0.38888888888888884	0.3142857142857143	0.13888888888888884	0.4444444444444444	0.5	0.5531914893617021	0.3529411764705882	0.43999999999999995	0.42105263157894735	0.2777777777777778	0.36585365853658536
PPG to Convert Chlorine Cells	0.7291666666666667	0.6521739130434783	0.5925925925925926	0.65625	0.6666666666666667	0.6666666666666667	0.6363636363636364	0.6521739130434783	0.6428571428571428	0.5925925925925926	0.5666666666666667	0.7608695652173914	0.6756756756756757	0.7105263157894737	0.7272727272727273	0.7	0.6129032258064516	0.6842105263157895	0.8823529411764706	0.6129032258064516	0.6666666666666667	0.52	0.5652173913043479	0.4736842105263158	0.7	0.7	0.7307692307692308	0.6363636363636364	0.6111111111111112	0.6486486486486487	0.7692307692307692	0.6	0.5238095238095238	0.5263157894736843	0.6333333333333333	0.6451612903225806	0.6486486486486487	0.6071428571428572	0.6857142857142857	0.725	0.5555555555555556	0.7291666666666667	0.6129032258064516	0.59375	0.6486486486486487
Intake of Mercury from Fish lipid Peroxidation and the risk of myocardial infarction and coronary cardiovascular and any death in Eastern Finnish men	0.5102040816326531	0.5172413793103448	0.5294117647058824	0.5135135135135135	0.5555555555555556	0.4516129032258065	0.4444444444444444	0.4642857142857143	0.4375	0.33333333333333337	0.38235294117647056	0.5625	0.5121951219512195	0.5121951219512195	0.7096774193548387	0.6896551724137931	0.4285714285714286	0.5238095238095238	0.8518518518518519	0.4285714285714286	0.5365853658536586	0.4193548387096774	0.5483870967741935	0.5357142857142857	0.6896551724137931	0.5	0.6764705882352942	0.41666666666666663	0.6296296296296297	0.44999999999999996	0.46153846153846156	0.5714285714285714	0.4642857142857143	0.5714285714285714	0.4411764705882353	0.36363636363636365	0.32432432432432434	0.5	0.5128205128205128	0.5348837209302326	0.40625	0.5102040816326531	0.4285714285714286	0.41666666666666663	0.44999999999999996
The Influence of Location Source and Emission Type in Estimates of the Human Health Benefits of Reducing a ton of Air Pollution	0.44897959183673475	0.5625	0.3939393939393939	0.5128205128205128	0.4285714285714286	0.5	0.5483870967741935	0.4137931034482759	0.4411764705882353	0.34375	0.5128205128205128	0.5306122448979591	0.47619047619047616	0.5116279069767442	0.7714285714285715	0.7575757575757576	0.38888888888888884	0.4883720930232558	0.8275862068965517	0.34285714285714286	0.46341463414634143	0.375	0.5882352941176471	0.5806451612903225	0.6333333333333333	0.4117647058823529	0.5882352941176471	0.42105263157894735	0.6666666666666667	0.45238095238095233	0.3421052631578947	0.5666666666666667	0.4666666666666667	0.6129032258064516	0.4	0.41666666666666663	0.375	0.4117647058823529	0.4358974358974359	0.4651162790697675	0.36363636363636365	0.44897959183673475	0.43243243243243246	0.33333333333333337	0.33333333333333337
