	On-Farm Energy Use Characterizations, Report Number IE052, Â©American Council for an Energy-Efficient	Characterization of the U.S. Industrial Commercial Boiler Population, submitted to Oak Ridge National Laboratory,	74 FR 16447, Mandatory Greenhouse Gas Reporting Regulations; Proposed Rule,	Memorandum from Chris Steuer, Marian Van Pelt and Robert Lanza regarding Methodology Description for Industrial Sector GHG Threshold Analysis,	National Laboratory (LBNL). Energy Data Sourcebook for the U.S. Residential Sector. Prepared by Energy Analysis Program, Environmental Energy Technologies Division, LBNL,	http://enduse.lbl.gov/info/Pubs95_99.html National Multi-Housing Council (NMHC), Quick Facts Apartment Stock: Distribution of Apartments by Size of Property, NMHC tabulation of unpublished data from the U.S. Census Bureau&apos;s	Economic Census,	Residential Energy Consumption Survey,	Environmental Protection Agency (EPA), Supporting Data for Threshold Analysis Subpart X â€“ PP, Greenhouse Gas Mandatory Reporting Rulemaking,	Environmental Protection Agency (EPA), Emissions & Generation Resource Integrated Database (eGRID)	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Adipic Acid Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Process Emissions from Cement: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Process Emissions From Electronics Manufacture (Semiconductors, MEMs, Liquid Crystal Displays, and Photovoltaics),	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Ethanol Facilities: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Emissions of HFC-23 from Production of HCFC-22: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Hydrogen Production: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Iron and Steel Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Lead Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Silicon Carbide Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Titanium Dioxide Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for Underground Coal Mines: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Environmental Protection Agency (EPA), Office of Air and Radiation, Technical Support Document for the Zinc Production Sector: Proposed Rule for Mandatory Reporting of Greenhouse Gases,	Emissions Thresholds Evaluation (GHG Thresholds TSD) and Methodology for Estimating New and Modified Sources that Would Be Subject to PSD Permitting for GHGs (GHG PSD Sources TSD), both of which can be found at EPA-HQ-OAR-2009-0517. Significant uncertainties exist in the following estimates due to the lack of historical record and permitting experience upon which to base resource needs for including GHG sources.	Evaluation of ICR-based Resource Requirements for Permitting Authorities at Different Possible GHG Permitting Thresholds aNew commercial/residential permits take 10% of the time needed for new industrial permits bSalaries from Title V ICR adjusted to 2007 dollars using	bLabor cost of $77.22/hr from Prevention of Significant Deterioration and Non-Attainment Area New Source Review (Renewal),
Technical Support Document for Ethanol Facilities Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.32258064516129037	0.2666666666666667	0.2075471698113207	0.16129032258064513	0.180327868852459	0.2615384615384615	0.4871794871794872	0.22448979591836737	0.1428571428571429	0.2075471698113207	0.06896551724137934	0.0847457627118644	0.11475409836065575	0.05084745762711862	0.11111111111111116	0.0847457627118644	0.0847457627118644	0.0847457627118644	0.26530612244897955	0.09999999999999998	0.0847457627118644	0.09999999999999998	0.0847457627118644	0.2702702702702703	0.2753623188405797	0.26315789473684215
Technical Support Document for Process Emissions from Cement Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.32258064516129037	0.23333333333333328	0.24528301886792447	0.12903225806451613	0.180327868852459	0.2615384615384615	0.4358974358974359	0.18367346938775508	0.1428571428571429	0.2075471698113207	0.06896551724137934	0.05084745762711862	0.11475409836065575	0.0847457627118644	0.11111111111111116	0.0847457627118644	0.0847457627118644	0.0847457627118644	0.26530612244897955	0.06666666666666665	0.0847457627118644	0.06666666666666665	0.0847457627118644	0.2702702702702703	0.24637681159420288	0.26315789473684215
Technical Support Document for Process Emissions From Electronics Manufacture Semiconductors MEMsLiquid Crystal Displays and Photovoltaics	0.3650793650793651	0.2786885245901639	0.33333333333333337	0.2063492063492064	0.19354838709677424	0.24242424242424243	0.44999999999999996	0.24	0.21875	0.2962962962962963	0.15254237288135597	0.1333333333333333	0.06451612903225812	0.1333333333333333	0.15625	0.16666666666666663	0.16666666666666663	0.1333333333333333	0.31999999999999995	0.14754098360655743	0.16666666666666663	0.14754098360655743	0.16666666666666663	0.33333333333333337	0.2857142857142857	0.27586206896551724
Technical Support Document for Process Emissions from Magnesium Production and Processing Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.34426229508196726	0.2542372881355932	0.23076923076923073	0.14754098360655743	0.16666666666666663	0.28125	0.4736842105263158	0.20833333333333337	0.12903225806451613	0.1923076923076923	0.052631578947368474	0.06896551724137934	0.1333333333333333	0.06896551724137934	0.12903225806451613	0.06896551724137934	0.06896551724137934	0.06896551724137934	0.25	0.0847457627118644	0.06896551724137934	0.0847457627118644	0.06896551724137934	0.26027397260273977	0.2647058823529411	0.25
Technical Support Document for Process Emissions from Primary Production of Aluminum Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.32258064516129037	0.2666666666666667	0.24528301886792447	0.12903225806451613	0.14754098360655743	0.2615384615384615	0.4871794871794872	0.22448979591836737	0.11111111111111116	0.16981132075471694	0.03448275862068961	0.05084745762711862	0.11475409836065575	0.05084745762711862	0.11111111111111116	0.05084745762711862	0.05084745762711862	0.05084745762711862	0.22448979591836737	0.06666666666666665	0.05084745762711862	0.06666666666666665	0.05084745762711862	0.2432432432432432	0.24637681159420288	0.22807017543859653
Technical Support Document for the Adipic Acid Production Sector Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.34426229508196726	0.2542372881355932	0.23076923076923073	0.11475409836065575	0.16666666666666663	0.25	0.5263157894736843	0.25	0.12903225806451613	0.1923076923076923	0.052631578947368474	0.06896551724137934	0.1333333333333333	0.06896551724137934	0.12903225806451613	0.06896551724137934	0.06896551724137934	0.06896551724137934	0.25	0.0847457627118644	0.06896551724137934	0.0847457627118644	0.06896551724137934	0.26027397260273977	0.2647058823529411	0.2142857142857143
Technical Support Document for the Ferroalloy Production Sector Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.34426229508196726	0.2542372881355932	0.1923076923076923	0.14754098360655743	0.19999999999999996	0.25	0.5263157894736843	0.25	0.16129032258064513	0.23076923076923073	0.08771929824561409	0.10344827586206895	0.1333333333333333	0.06896551724137934	0.12903225806451613	0.10344827586206895	0.10344827586206895	0.10344827586206895	0.29166666666666663	0.11864406779661019	0.10344827586206895	0.11864406779661019	0.10344827586206895	0.28767123287671237	0.2941176470588235	0.25
Technical Support Document for the Glass Manufacturing Sector Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.3666666666666667	0.24137931034482762	0.21568627450980393	0.1333333333333333	0.18644067796610164	0.2698412698412699	0.5135135135135135	0.23404255319148937	0.14754098360655743	0.21568627450980393	0.0714285714285714	0.08771929824561409	0.15254237288135597	0.08771929824561409	0.14754098360655743	0.08771929824561409	0.08771929824561409	0.08771929824561409	0.276595744680851	0.10344827586206895	0.08771929824561409	0.10344827586206895	0.08771929824561409	0.2777777777777778	0.28358208955223885	0.23636363636363633
Technical Support Document for the Hydrogen Production Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.3770491803278688	0.2542372881355932	0.23076923076923073	0.11475409836065575	0.19999999999999996	0.25	0.5263157894736843	0.25	0.16129032258064513	0.23076923076923073	0.08771929824561409	0.10344827586206895	0.16666666666666663	0.10344827586206895	0.12903225806451613	0.06896551724137934	0.10344827586206895	0.10344827586206895	0.29166666666666663	0.11864406779661019	0.10344827586206895	0.11864406779661019	0.10344827586206895	0.26027397260273977	0.2647058823529411	0.25
Technical Support Document for the Iron and Steel Sector Proposed Rule for Mandatory Reporting of Greenhouse Gases	0.34426229508196726	0.22033898305084743	0.23076923076923073	0.11475409836065575	0.19999999999999996	0.28125	0.5263157894736843	0.25	0.16129032258064513	0.1923076923076923	0.08771929824561409	0.10344827586206895	0.16666666666666663	0.10344827586206895	0.16129032258064513	0.10344827586206895	0.06896551724137934	0.10344827586206895	0.29166666666666663	0.11864406779661019	0.10344827586206895	0.11864406779661019	0.10344827586206895	0.28767123287671237	0.2647058823529411	0.25
