	Simplified Flow Sheet of Clinker and Cement Manufacture........................................ 2-2 2-2. Labor Costs per Metric Ton of Cement	Current Employment Statistics (National): Customizable Data Tables” Available at As obtained on	Consumer Price Index All Items – U.S. City Average Data: Customizable Data Tables.” Available at As obtained on	Cement Association.	Cement Association. 2008b. “Market Research: Producer Price Indices—Competitive Building Materials.” Available at	Cement Association (PCA).	Department of Commerce, Bureau of the Census.	DC: Government Printing Office. Available at As obtained on	the Census.	Optimal Tariffs and Market Power: The Evidence.” American Economic Review 98(5):2032-2065.	Estimating Particulate MatterMortality Dose-Response Curves and Threshold Levels: An Analysis of Daily TimeSeries for the 20 Largest	A Micro-Econometric Model of Capital Utilization and Retirement: The Case of the U.S.	D&B Million Dollar Directory.	Expanded Expert Judgment Assessment of the ConcentrationResponse Relationship Between	Multimarket Contact and Pricing: Evidence from the U.S.	Historical Statistics for Mineral and Material Commodities in the United States: Cement End Use Statistics.” U.S. Geological Survey Data Series 140, Version 1.2. Available at	Historical Statistics for Mineral and Material Commodities in the United States: Cement Supply and	Reanalysis of the Harvard Six Cities Study and the American Cancer Society Study of Particulate Air Pollution and Mortality. Special Report to the Health Effects Institute.	Reduction in Fine Particulate Air Pollution and Mortality.”	Estimating the Public Health Benefits of Proposed Air Pollution Regulations.	Price and Seller Concentration in Cement: Effective Oligopoly or	Circular A-4: Regulatory Analysis.	Invited Commentary: Particulate Matter-Mortality Exposure-Response Relations and Thresholds.”	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.”	U.S. and Canadian Portland Cement Industry: Plant Information Summary.	U.S. and Canadian Labor-Energy Input Survey	Flash Report: Capacity Expansion Update.” Available at < http://www.cement.org/econ/pdf/NONMEMBERCapacity Expansion.pdf>. As obtained on	Association (PCA). 2008a. “Cement and Concrete Basics: History & Manufacture of Portland Cement.” Available at concretebasics_history.asp>.	Association (PCA).	Cement Plant Operating Cost Study.”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S. Environ. Sci.	Air Pollution and Cause-Specific Mortality in Milan, Italy, 1980–1989.” Arch Environ Health	The Cost of Environmental Regulation in a Concentrated Industry.” Available at	The Concentration-Response Relation between PM(2.5) and Daily Deaths.” Environ Health Perspectives	The Effect of Dose and Timing of Dose on the Association between Airborne Particles and Survival.” Environmental Health Perspectives	Using Meta-Smoothing to Estimate Dose-Response Trends Across Multiple Studies, with Application to Air Pollution and Daily Death.”	Threshold Dependence of Mortality Effects for Fine and Coarse Particles in Phoenix,	of the Census.	of the Census; generated by RTI International; using American FactFinder; “Sector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Department of Commerce, Bureau of Economic Analysis.	Department of Energy, Energy Information Administration.	Department of the Interior, U.S. Geological Survey.	Department of the Interior, U.S. Geological Survey. 2008b. Minerals Commodity Summaries, Cement	Statistics (BLS). 2007b. “State and Area Employment, Hours and Earnings	Regulatory Impact Analysis of Cement Kiln Dust Rulemaking. Appendix C,	Environmental Protection Agency (EPA).	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Environmental Protection Agency Science Advisory	Advisory on Plans for Health Effects Analysis for EPA’s Second Prospective Analysis— Benefits and Costs of the Clean Air Act,	International Trade Commission (USITC). 2006. Gray Portland Cement and Cement Clinker from Japan Investigation No. 731-TA-461 (Second Review). Publication 3856. Available at	Trade Commission.	Cement Manufacture and the Environment Part I: Chemistry and	Microeconomic Analysis. 3rd Ed.
2001 Annual Survey of Manufactures	0.36170212765957444	0.3877551020408163	0.42307692307692313	0.4375	0.4181818181818182	0.4545454545454546	0.4054054054054054	0.39534883720930236	0.5714285714285714	0.4285714285714286	0.2692307692307693	0.37777777777777777	0.3529411764705882	0.4347826086956522	0.36363636363636365	0.29824561403508776	0.3023255813953488	0.30612244897959184	0.36585365853658536	0.4222222222222223	0.38095238095238093	0.3157894736842105	0.4285714285714286	0.41666666666666663	0.35	0.46341463414634143	0.4545454545454546	0.3207547169811321	0.4838709677419355	0.4418604651162791	0.34615384615384615	0.2962962962962963	0.3877551020408163	0.4509803921568627	0.4117647058823529	0.4117647058823529	0.40909090909090906	0.4666666666666667	0.34545454545454546	0.31707317073170727	0.4358974358974359	0.34883720930232553	0.2941176470588235	0.36	0.3913043478260869	0.3513513513513513	0.2727272727272727	0.30000000000000004	0.375	0.3870967741935484	0.5625	0.33333333333333337	0.3513513513513513
2001 Minerals Yearbook Cement	0.30434782608695654	0.45833333333333337	0.4901960784313726	0.3548387096774194	0.37037037037037035	0.375	0.4444444444444444	0.38095238095238093	0.5555555555555556	0.4545454545454546	0.4117647058823529	0.40909090909090906	0.3939393939393939	0.4666666666666667	0.39534883720930236	0.3928571428571429	0.38095238095238093	0.45833333333333337	0.5	0.4545454545454546	0.46341463414634143	0.4054054054054054	0.45833333333333337	0.44680851063829785	0.3846153846153846	0.5	0.4814814814814815	0.3846153846153846	0.4666666666666667	0.4285714285714286	0.4509803921568627	0.4716981132075472	0.45833333333333337	0.43999999999999995	0.52	0.52	0.4418604651162791	0.5172413793103448	0.4444444444444444	0.4	0.4736842105263158	0.5238095238095238	0.36	0.4285714285714286	0.4222222222222223	0.4444444444444444	0.4883720930232558	0.4358974358974359	0.5319148936170213	0.4426229508196722	0.3548387096774194	0.41463414634146345	0.38888888888888884
2003 Minerals Yearbook Cement	0.30434782608695654	0.45833333333333337	0.4901960784313726	0.3548387096774194	0.37037037037037035	0.375	0.4444444444444444	0.38095238095238093	0.5555555555555556	0.4181818181818182	0.4117647058823529	0.40909090909090906	0.3939393939393939	0.4666666666666667	0.39534883720930236	0.4285714285714286	0.38095238095238093	0.45833333333333337	0.5	0.4545454545454546	0.46341463414634143	0.4054054054054054	0.45833333333333337	0.44680851063829785	0.3846153846153846	0.5	0.4814814814814815	0.3846153846153846	0.4666666666666667	0.4285714285714286	0.4509803921568627	0.5094339622641509	0.45833333333333337	0.43999999999999995	0.52	0.52	0.4418604651162791	0.5172413793103448	0.4444444444444444	0.4	0.4736842105263158	0.5238095238095238	0.36	0.4285714285714286	0.4222222222222223	0.4444444444444444	0.4883720930232558	0.4358974358974359	0.5319148936170213	0.4426229508196722	0.3548387096774194	0.41463414634146345	0.33333333333333337
2004 Minerals Yearbook Cement	0.30434782608695654	0.45833333333333337	0.4901960784313726	0.3548387096774194	0.37037037037037035	0.375	0.4444444444444444	0.38095238095238093	0.5555555555555556	0.4545454545454546	0.4117647058823529	0.40909090909090906	0.3939393939393939	0.4666666666666667	0.39534883720930236	0.3928571428571429	0.38095238095238093	0.45833333333333337	0.5	0.4545454545454546	0.46341463414634143	0.3513513513513513	0.45833333333333337	0.44680851063829785	0.3846153846153846	0.5	0.4814814814814815	0.3846153846153846	0.4666666666666667	0.4285714285714286	0.4509803921568627	0.5094339622641509	0.45833333333333337	0.43999999999999995	0.52	0.52	0.4418604651162791	0.5172413793103448	0.4814814814814815	0.4	0.4736842105263158	0.5238095238095238	0.36	0.4285714285714286	0.4222222222222223	0.4444444444444444	0.4883720930232558	0.4358974358974359	0.5319148936170213	0.4426229508196722	0.3548387096774194	0.41463414634146345	0.38888888888888884
2005 Annual Survey of Manufactures	0.36170212765957444	0.3877551020408163	0.42307692307692313	0.4375	0.4181818181818182	0.4545454545454546	0.4054054054054054	0.39534883720930236	0.5714285714285714	0.3928571428571429	0.2692307692307693	0.37777777777777777	0.3529411764705882	0.4347826086956522	0.36363636363636365	0.33333333333333337	0.3023255813953488	0.30612244897959184	0.36585365853658536	0.4222222222222223	0.38095238095238093	0.3157894736842105	0.4285714285714286	0.41666666666666663	0.35	0.46341463414634143	0.4545454545454546	0.3207547169811321	0.4838709677419355	0.4418604651162791	0.34615384615384615	0.33333333333333337	0.3877551020408163	0.4117647058823529	0.4117647058823529	0.4117647058823529	0.40909090909090906	0.4666666666666667	0.38181818181818183	0.31707317073170727	0.4358974358974359	0.34883720930232553	0.2941176470588235	0.36	0.3913043478260869	0.3513513513513513	0.2727272727272727	0.30000000000000004	0.375	0.3870967741935484	0.5625	0.33333333333333337	0.3513513513513513
2005 Minerals Yearbook Cement	0.30434782608695654	0.45833333333333337	0.4901960784313726	0.3548387096774194	0.37037037037037035	0.375	0.4444444444444444	0.38095238095238093	0.5555555555555556	0.4181818181818182	0.4117647058823529	0.40909090909090906	0.3939393939393939	0.4666666666666667	0.39534883720930236	0.4285714285714286	0.38095238095238093	0.45833333333333337	0.5	0.4545454545454546	0.46341463414634143	0.4054054054054054	0.45833333333333337	0.44680851063829785	0.3846153846153846	0.5	0.4814814814814815	0.3846153846153846	0.4666666666666667	0.4285714285714286	0.4509803921568627	0.5094339622641509	0.45833333333333337	0.4	0.52	0.52	0.4418604651162791	0.5172413793103448	0.4814814814814815	0.4	0.4736842105263158	0.5238095238095238	0.36	0.4285714285714286	0.4222222222222223	0.4444444444444444	0.4883720930232558	0.4358974358974359	0.5319148936170213	0.4426229508196722	0.3548387096774194	0.41463414634146345	0.38888888888888884
2006 Minerals YearbookCrushed Stone	0.22448979591836737	0.4117647058823529	0.4444444444444444	0.47058823529411764	0.33333333333333337	0.48571428571428577	0.4358974358974359	0.4222222222222223	0.4666666666666667	0.4137931034482759	0.33333333333333337	0.36170212765957444	0.4444444444444444	0.41666666666666663	0.30434782608695654	0.35593220338983056	0.28888888888888886	0.37254901960784315	0.4418604651162791	0.4042553191489362	0.4545454545454546	0.4	0.4117647058823529	0.43999999999999995	0.33333333333333337	0.39534883720930236	0.4736842105263158	0.34545454545454546	0.5151515151515151	0.37777777777777777	0.37037037037037035	0.3928571428571429	0.4117647058823529	0.39622641509433965	0.4339622641509434	0.4339622641509434	0.3913043478260869	0.4375	0.4035087719298246	0.4418604651162791	0.5121951219512195	0.4666666666666667	0.28301886792452835	0.3846153846153846	0.41666666666666663	0.5384615384615384	0.4347826086956522	0.4285714285714286	0.43999999999999995	0.40625	0.4117647058823529	0.36363636363636365	0.4358974358974359
Advisory on Plans for Health Effects Analysis for EPA�s Second Prospective Analysis�Benefits and Costs of the Clean Air Act 1990�2020	0.368421052631579	0.35593220338983056	0.4193548387096774	0.47619047619047616	0.3538461538461538	0.4418604651162791	0.4042553191489362	0.3584905660377359	0.631578947368421	0.33333333333333337	0.22580645161290325	0.3090909090909091	0.4545454545454546	0.3214285714285714	0.33333333333333337	0.28358208955223885	0.28301886792452835	0.22033898305084743	0.4509803921568627	0.2727272727272727	0.2692307692307693	0.41666666666666663	0.35593220338983056	0.3793103448275862	0.36	0.4117647058823529	0.3538461538461538	0.23809523809523814	0.46341463414634143	0.39622641509433965	0.29032258064516125	0.1875	0.35593220338983056	0.3114754098360656	0.3114754098360656	0.3770491803278688	0.2962962962962963	0.55	0.3538461538461538	0.2941176470588235	0.3877551020408163	0.39622641509433965	0.3114754098360656	0.30000000000000004	0.3928571428571429	0.36170212765957444	0.2962962962962963	0.28	0.1724137931034483	0.36111111111111116	0.5238095238095238	0.3076923076923077	0.4042553191489362
Annual Energy Outlook 2008	0.5111111111111111	0.4893617021276596	0.52	0.5333333333333333	0.4339622641509434	0.5483870967741935	0.5428571428571429	0.46341463414634143	0.6153846153846154	0.4444444444444444	0.4	0.5348837209302326	0.4375	0.4545454545454546	0.4285714285714286	0.4545454545454546	0.5121951219512195	0.4893617021276596	0.4358974358974359	0.4418604651162791	0.4	0.33333333333333337	0.5319148936170213	0.4347826086956522	0.4736842105263158	0.4358974358974359	0.5094339622641509	0.4509803921568627	0.5862068965517242	0.41463414634146345	0.48	0.46153846153846156	0.44680851063829785	0.5510204081632653	0.5102040816326531	0.4693877551020408	0.5238095238095238	0.5714285714285714	0.5471698113207547	0.3846153846153846	0.4054054054054054	0.46341463414634143	0.4285714285714286	0.375	0.40909090909090906	0.3142857142857143	0.33333333333333337	0.368421052631579	0.5217391304347826	0.4666666666666667	0.6	0.5	0.4285714285714286
Annual Energy Outlook 2009	0.5111111111111111	0.4893617021276596	0.52	0.5333333333333333	0.4716981132075472	0.5483870967741935	0.5428571428571429	0.46341463414634143	0.6153846153846154	0.4444444444444444	0.4	0.5348837209302326	0.4375	0.4545454545454546	0.4285714285714286	0.4545454545454546	0.5121951219512195	0.4893617021276596	0.4358974358974359	0.4418604651162791	0.4	0.33333333333333337	0.5319148936170213	0.4347826086956522	0.4736842105263158	0.4358974358974359	0.5094339622641509	0.4901960784313726	0.5862068965517242	0.41463414634146345	0.48	0.46153846153846156	0.44680851063829785	0.5510204081632653	0.5102040816326531	0.4693877551020408	0.5238095238095238	0.5714285714285714	0.5471698113207547	0.3846153846153846	0.4054054054054054	0.46341463414634143	0.4693877551020408	0.375	0.40909090909090906	0.3142857142857143	0.33333333333333337	0.368421052631579	0.5217391304347826	0.5	0.6	0.5	0.4285714285714286
Characterizing Uncertainty in Particulate Matter Benefits Using Expert Elicitation	0.34615384615384615	0.37037037037037035	0.33333333333333337	0.45945945945945943	0.3666666666666667	0.42105263157894735	0.2857142857142857	0.375	0.5151515151515151	0.4426229508196722	0.26315789473684215	0.24	0.33333333333333337	0.21568627450980393	0.22448979591836737	0.3548387096774194	0.20833333333333337	0.2222222222222222	0.3913043478260869	0.24	0.276595744680851	0.3023255813953488	0.2592592592592593	0.24528301886792447	0.28888888888888886	0.34782608695652173	0.2666666666666667	0.31034482758620685	0.4444444444444444	0.33333333333333337	0.19298245614035092	0.3220338983050848	0.33333333333333337	0.3571428571428571	0.3571428571428571	0.2857142857142857	0.18367346938775508	0.4285714285714286	0.3666666666666667	0.21739130434782605	0.36363636363636365	0.29166666666666663	0.2857142857142857	0.38181818181818183	0.2941176470588235	0.33333333333333337	0.30612244897959184	0.33333333333333337	0.28301886792452835	0.4328358208955224	0.5135135135135135	0.23404255319148937	0.38095238095238093
