	Clash in Alabama Over Tennessee Coal Ash‚Äù The New York Times	Plantbyplant disaggregated data comparison to statewide benchmarks	Statebystate aggregated plant data comparison to statewide benchmarks	National aggregated plant data comparison to statewide benchmarks Step 3 On a plantbyplant basis EPA compared the plant ZCTA percentage children to the respective statewide average percentage children Step 4 For purpose of summary EPA aggregated the plant level children population comparison data for each state as displayed in Exhibit 7J below There are no data displayed for DC ID RI or VT because there are no coalfired electric utility plants in those states	administration and enforcement costs to RCRAauthorized state government programsagencies Consistent with the ‚Äúdirect cost‚Äù scope of EO 13132 not included in Exhibit 7L are potential indirect costs in the form of potential lost annual revenues to electricity plants associated with potential reductions in CCR sold by plants for beneficial use under the three Subtitle C options for which such an possible indirect effect is estimated in this RIA EPA‚Äôs 2008 guidance194 for compliance with EO 13132 describes two numerical methods ie numerical tests for evaluating whether an EPA rule may have federalism implications with respect to ‚Äúsubstantial direct compliance costs‚Äù	25 million test Annualized direct compliance cost expenditures to statelocal governments	1 test Annualized direct compliance costs faced by statelocal governments is likely to equal or exceed 1 of their annual revenues  Note Page 29 of ‚ÄúAttachment A Guidance for Implementing the Federalism 1 Test‚Äù to EPA‚Äôs Nov	Private sector 100 million direct cost threshold test	Statelocal government 100 million direct cost threshold test	25 million threshold test subtotal StateLocal govt cost 967	Statelocal govt cost as percentage of StateLocal government electric utility annual revenues	227 0131 0215 Type of owner entity assigned by EPA ORCR based on business type disclosed in owner name or plantbyplant internet research on type of ownership Size class determined according to the following numerical criteria consistent with EPA‚Äôs
State RCRA Subtitle C Core Hazardous Waste Management Program Implementation Costs Final Report	0.7894736842105263	0.7894736842105263	0.7157894736842105	0.857451403887689	0.8911764705882353	0.8315789473684211	0.7807017543859649	0.8105263157894737	0.7473684210526316	0.7684210526315789	0.7473684210526316	0.8032128514056225
Status of Coal Ash Production	0.7741935483870968	0.8181818181818182	0.782608695652174	0.9460043196544277	0.9602941176470589	0.8295454545454546	0.9078947368421053	0.7735849056603774	0.7666666666666667	0.8135593220338984	0.8043478260869565	0.9076305220883534
nan	0.9516129032258065	0.9545454545454546	0.9565217391304348	0.9935205183585313	0.9955882352941177	0.9659090909090909	0.9868421052631579	0.9622641509433962	0.9666666666666667	0.9661016949152542	0.967391304347826	0.9879518072289156
slide number TVA00007496 of “Kingston Fossil Plant Decision Matrix Pond or Peninsula	0.7976190476190477	0.8214285714285714	0.8214285714285714	0.8790496760259179	0.9117647058823529	0.875	0.8289473684210527	0.7380952380952381	0.7738095238095238	0.8214285714285714	0.8043478260869565	0.8273092369477911
2007 Directory of US Commercial Hazardous Waste Management Facilities	0.855072463768116	0.855072463768116	0.855072463768116	0.8920086393088553	0.9220588235294118	0.7954545454545454	0.8114035087719298	0.7536231884057971	0.8405797101449275	0.7971014492753623	0.7717391304347826	0.8353413654618473
Dry Fish Ash Systerm Conversion for an Existing 480MW Power Plant Justification Design and Construction	0.7961165048543689	0.8155339805825242	0.7961165048543689	0.8531317494600432	0.888235294117647	0.7864077669902912	0.793859649122807	0.7669902912621359	0.7864077669902912	0.7669902912621359	0.7864077669902912	0.7911646586345381
Kingston Fossil Plant Decision Matrix Pond or Peninsula	0.8548387096774194	0.803030303030303	0.7681159420289855	0.9006479481641468	0.9294117647058824	0.7954545454545454	0.8508771929824561	0.8181818181818182	0.7833333333333333	0.8305084745762712	0.7717391304347826	0.8554216867469879
Production and Utilisation of CCPs in 2007 in Europe EU 15	0.8548387096774194	0.8484848484848485	0.8405797101449275	0.9114470842332614	0.9279411764705883	0.7954545454545454	0.8552631578947368	0.7931034482758621	0.85	0.847457627118644	0.8152173913043478	0.8554216867469879
Public Health Issues Surrounding Coal as an Energy Source	0.7741935483870968	0.803030303030303	0.8115942028985508	0.9049676025917927	0.9308823529411765	0.75	0.8552631578947368	0.8596491228070176	0.8833333333333333	0.8305084745762712	0.7717391304347826	0.8634538152610441
Toxic Wastes and Race at Twenty 19872007	0.7903225806451613	0.803030303030303	0.7971014492753623	0.9416846652267818	0.9558823529411765	0.7954545454545454	0.8947368421052632	0.8490566037735849	0.85	0.7796610169491526	0.8152173913043478	0.8995983935742972
