	What determines the value of a life A Meta Analysis	IX17 61 million The range of this factor also shifts rightwards from 1 to 10 million to 16 to 106 million Figure IX4 Normal Distribution for Cost Per Fatalities M	Hyundai Accent 4door Car	Sentra 4door Car	Hyundai Azera 4door Car	Versa 5door Car	Volkswagen Jetta 4door Car	Dodge Caliber 4door Car	Hyundai Sonata 4door Car	Carlo 2door Car	Volkswagen New GTI 3door Car	Five Hundred 4door Car	Fit 5door Car	Volkswagen New Beetle 3door Car	Volvo S80 4door Car	Toyota Prius 5door Car	Pontiac G6 4door Car	Focus 4door Car	Accord 4door Car	Mazda Mazda3 4door Car	BMW 3Series 4door Car	Acura RL 4door Car	Dodge Charger 4door Car	Kia Spectra 4door Car	Saturn Ion 4door Car	BMW 5Series 4door Car	Chrysler 300 4door Car	Buick Lucerne 4door Car	Infiniti EX35 Stationwagon Car	Hyundai Elantra 4door Car	Chevrolet Aveo 4door Car	Subaru Legacy 4door Car	Volkswagen Passat 4door Car	Toyota Avalon 4door Car	Cadillac STS 4door Car	Fusion 4door Car	Lexus ES 4door Car	Matrix 5door Car	Hyundai Santa Fe SUV	Kia Sportage SUV	Toyota RAV4 SUV	Toyota 4Runner SUV	Vitara	Saturn Vue SUV	Expedition EL	Chevrolet 1500 Suburban SUV	Subaru Tribeca SUV	Mazda CX9 SUV	Cadillac Escalade SUV	Saturn Outlook SUV	Chevrolet 1500 Avalanche SUV 2010 923	Ford E250 Cargo Van
The Economic Impact of Motor Vehicle Crashes 2000	0.5172413793103448	0.4864864864864865	0.6551724137931034	0.6923076923076923	0.7333333333333334	0.6799999999999999	0.6206896551724138	0.7142857142857143	0.7241379310344828	0.7083333333333333	0.6	0.7241379310344828	0.7307692307692308	0.6333333333333333	0.7142857142857143	0.6785714285714286	0.6785714285714286	0.7407407407407407	0.7692307692307692	0.7777777777777778	0.6896551724137931	0.7931034482758621	0.7407407407407407	0.6296296296296297	0.7037037037037037	0.6896551724137931	0.6296296296296297	0.6896551724137931	0.6206896551724138	0.6428571428571428	0.6666666666666667	0.7741935483870968	0.6206896551724138	0.6785714285714286	0.6538461538461539	0.7037037037037037	0.7241379310344828	0.6923076923076923	0.7666666666666666	0.6666666666666667	0.7931034482758621	0.6896551724137931	0.782608695652174	0.7307692307692308	0.6923076923076923	0.6	0.7037037037037037	0.8275862068965517	0.6153846153846154	0.7142857142857143	0.5483870967741935	0.6296296296296297
Light Vehicle Rear Visibility Assessment	0.5	0.631578947368421	0.6	0.75	0.6923076923076923	0.7391304347826086	0.6153846153846154	0.6666666666666667	0.7307692307692308	0.8260869565217391	0.6896551724137931	0.7777777777777778	0.7916666666666666	0.6296296296296297	0.8148148148148149	0.7307692307692308	0.7307692307692308	0.8	0.782608695652174	0.8846153846153846	0.7857142857142857	0.7083333333333333	0.75	0.7307692307692308	0.8076923076923077	0.7857142857142857	0.6799999999999999	0.6923076923076923	0.7586206896551724	0.6923076923076923	0.6666666666666667	0.64	0.6153846153846154	0.6799999999999999	0.76	0.76	0.7777777777777778	0.8	0.6799999999999999	0.6666666666666667	0.7083333333333333	0.64	0.736842105263158	0.6818181818181819	0.75	0.6428571428571428	0.6521739130434783	0.8888888888888888	0.6666666666666667	0.72	0.6333333333333333	0.7777777777777778
NotinTraffic Surveillance	0.5	0.6	0.5454545454545454	0.5789473684210527	0.6521739130434783	0.7619047619047619	0.6799999999999999	0.6818181818181819	0.5714285714285714	0.736842105263158	0.6538461538461539	0.5714285714285714	0.7	0.64	0.6818181818181819	0.6363636363636364	0.6363636363636364	0.7142857142857143	0.75	0.8181818181818181	0.7083333333333333	0.7272727272727273	0.7727272727272727	0.5714285714285714	0.6	0.7083333333333333	0.75	0.5909090909090908	0.625	0.5909090909090908	0.6190476190476191	0.6521739130434783	0.6799999999999999	0.5714285714285714	0.5263157894736843	0.6666666666666667	0.6956521739130435	0.7142857142857143	0.6363636363636364	0.6190476190476191	0.7272727272727273	0.5238095238095238	0.7647058823529411	0.5555555555555556	0.7142857142857143	0.5416666666666667	0.5263157894736843	0.875	0.6818181818181819	0.55	0.5925925925925926	0.8
S REP 110275 and S Rep No 275	0.8064516129032258	0.717948717948718	0.7777777777777778	0.6666666666666667	0.7692307692307692	0.7142857142857143	0.7857142857142857	0.8	0.76	0.75	0.7586206896551724	0.76	0.7727272727272727	0.75	0.75	0.76	0.76	0.8333333333333334	0.8181818181818181	0.8260869565217391	0.7692307692307692	0.7916666666666666	0.782608695652174	0.7083333333333333	0.7391304347826086	0.72	0.76	0.7692307692307692	0.7407407407407407	0.7692307692307692	0.8	0.7692307692307692	0.7407407407407407	0.8076923076923077	0.7916666666666666	0.7916666666666666	0.7083333333333333	0.782608695652174	0.76	0.75	0.7916666666666666	0.72	0.9523809523809523	0.7727272727272727	0.6666666666666667	0.6666666666666667	0.84	0.8333333333333334	0.75	0.8	0.6551724137931034	0.5909090909090908
Vehicle Survivability and Travel Mileage Schedules Technical Report	0.4285714285714286	0.5384615384615384	0.5714285714285714	0.6538461538461539	0.6551724137931034	0.6923076923076923	0.5862068965517242	0.6296296296296297	0.5925925925925926	0.7692307692307692	0.6129032258064516	0.6428571428571428	0.7407407407407407	0.6	0.6785714285714286	0.5925925925925926	0.6896551724137931	0.7037037037037037	0.7777777777777778	0.7857142857142857	0.6551724137931034	0.7142857142857143	0.7037037037037037	0.5925925925925926	0.6666666666666667	0.6551724137931034	0.6428571428571428	0.6551724137931034	0.71875	0.6071428571428572	0.6296296296296297	0.5555555555555556	0.5862068965517242	0.5925925925925926	0.6153846153846154	0.6666666666666667	0.6896551724137931	0.7037037037037037	0.5925925925925926	0.5769230769230769	0.6666666666666667	0.5	0.7916666666666666	0.64	0.7037037037037037	0.5172413793103448	0.56	0.7931034482758621	0.6296296296296297	0.6296296296296297	0.6060606060606061	0.7333333333333334
A Suggested Approach for Discounting the Benefits and Costs of Environmental Regulation	0.4137931034482759	0.525	0.5517241379310345	0.6296296296296297	0.6333333333333333	0.7142857142857143	0.6129032258064516	0.6071428571428572	0.6206896551724138	0.7407407407407407	0.6764705882352942	0.6206896551724138	0.7142857142857143	0.5806451612903225	0.7	0.6666666666666667	0.6666666666666667	0.6785714285714286	0.7037037037037037	0.8	0.6333333333333333	0.6428571428571428	0.6296296296296297	0.5714285714285714	0.6428571428571428	0.6333333333333333	0.6666666666666667	0.5862068965517242	0.6129032258064516	0.5862068965517242	0.5555555555555556	0.6333333333333333	0.6129032258064516	0.6206896551724138	0.6428571428571428	0.6428571428571428	0.6206896551724138	0.7241379310344828	0.7096774193548387	0.6551724137931034	0.7741935483870968	0.6774193548387097	0.8518518518518519	0.7142857142857143	0.6785714285714286	0.59375	0.7333333333333334	0.84375	0.6071428571428572	0.7	0.5882352941176471	0.7096774193548387
Driver Performance Evaluations of Two Rear Parking Aids	0.4482758620689655	0.4736842105263158	0.5862068965517242	0.7142857142857143	0.6666666666666667	0.75	0.5517241379310345	0.6428571428571428	0.7	0.7777777777777778	0.5806451612903225	0.6551724137931034	0.75	0.5666666666666667	0.7741935483870968	0.6071428571428572	0.6551724137931034	0.7142857142857143	0.7407407407407407	0.8333333333333334	0.75	0.6785714285714286	0.7142857142857143	0.7	0.7241379310344828	0.75	0.7419354838709677	0.6206896551724138	0.6451612903225806	0.6206896551724138	0.6428571428571428	0.7096774193548387	0.5	0.6071428571428572	0.6785714285714286	0.6785714285714286	0.7	0.7586206896551724	0.7419354838709677	0.7333333333333334	0.7666666666666666	0.6666666666666667	0.8461538461538461	0.75	0.7142857142857143	0.7058823529411764	0.7241379310344828	0.9090909090909091	0.6896551724137931	0.6896551724137931	0.6944444444444444	0.7419354838709677
The  Danger to Young Pedestrians from Reversing Motor Vehicles 18th  International Technical Conference on the Enhanced Safety of  Vehicles	0.47058823529411764	0.41463414634146345	0.6285714285714286	0.696969696969697	0.6944444444444444	0.7272727272727273	0.6388888888888888	0.6764705882352942	0.6470588235294117	0.7878787878787878	0.6216216216216216	0.6857142857142857	0.7647058823529411	0.6486486486486487	0.6764705882352942	0.6060606060606061	0.6857142857142857	0.7352941176470589	0.7941176470588236	0.8	0.6944444444444444	0.7428571428571429	0.696969696969697	0.6857142857142857	0.6666666666666667	0.6944444444444444	0.6857142857142857	0.6944444444444444	0.6388888888888888	0.6176470588235294	0.6764705882352942	0.6571428571428571	0.6	0.6470588235294117	0.6666666666666667	0.7058823529411764	0.6857142857142857	0.7352941176470589	0.6857142857142857	0.7142857142857143	0.7428571428571429	0.6176470588235294	0.84375	0.7272727272727273	0.7714285714285715	0.5833333333333333	0.7058823529411764	0.8055555555555556	0.6363636363636364	0.7142857142857143	0.6153846153846154	0.7222222222222222
nan	0.9	0.9393939393939394	0.875	0.8181818181818181	0.8666666666666667	0.9090909090909091	0.8823529411764706	0.9285714285714286	0.8571428571428572	0.8888888888888888	0.8947368421052632	0.8571428571428572	0.9090909090909091	0.8888888888888888	0.9285714285714286	0.9333333333333333	0.8571428571428572	0.9166666666666666	0.9	0.9090909090909091	0.9375	0.9230769230769231	0.9166666666666666	0.9333333333333333	0.8333333333333334	0.9375	0.9333333333333333	0.8666666666666667	0.8823529411764706	0.8666666666666667	0.9285714285714286	0.9375	0.8823529411764706	0.8571428571428572	0.9230769230769231	0.8333333333333334	0.9333333333333333	0.9166666666666666	0.8571428571428572	0.9285714285714286	0.9230769230769231	0.8666666666666667	0.8333333333333334	0.8	0.9166666666666666	0.8947368421052632	0.9230769230769231	0.9166666666666666	0.9285714285714286	0.8461538461538461	0.9090909090909091	0.8571428571428572
Driver Performance Research into Systems for the Reduction of Backing Incidents at General Motors	0.4	0.475	0.625	0.7	0.696969696969697	0.7741935483870968	0.6363636363636364	0.6774193548387097	0.6451612903225806	0.8	0.6176470588235294	0.6875	0.7741935483870968	0.6060606060606061	0.7575757575757576	0.6451612903225806	0.6451612903225806	0.7419354838709677	0.8064516129032258	0.8125	0.65625	0.75	0.7	0.6875	0.6666666666666667	0.65625	0.6875	0.6129032258064516	0.6764705882352942	0.65625	0.6774193548387097	0.65625	0.59375	0.6875	0.7096774193548387	0.7096774193548387	0.7272727272727273	0.7419354838709677	0.6875	0.71875	0.7878787878787878	0.65625	0.8620689655172413	0.7333333333333334	0.78125	0.6571428571428571	0.75	0.8529411764705882	0.71875	0.6774193548387097	0.6842105263157895	0.8
